2024 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Easthampton,00860000,1.0,0.0,0.0,       5,       5,100.0,     116,     102,87.9
Easton,00880000,1.0,1.0,100.0,       4,       4,100.0,     268,     248,92.5
Edgartown,00890000,1.0,1.0,100.0,       1,       1,100.0,      56,      45,80.4
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,1.0,1.0,100.0,       1,       1,100.0,      38,      34,89.5
Erving,00910000,1.0,1.0,100.0,       1,       0,0.0,      21,      17,81.0
Essex North Shore Agricultural and Technical School District,08170000,1.0,1.0,100.0,       1,       1,100.0,     159,     132,83.0
Everett,00930000,1.0,1.0,100.0,      12,      11,91.7,     611,     511,83.6
Excel Academy Charter (District),04100000,1.0,1.0,100.0,       4,       4,100.0,     130,      90,69.2
Fairhaven,00940000,1.0,1.0,100.0,       4,       3,75.0,     154,     125,81.2
Fall River,00950000,1.0,1.0,100.0,      17,      12,70.6,     860,     652,75.8
Falmouth,00960000,1.0,1.0,100.0,       7,       6,85.7,     316,     285,90.2
Farmington River Reg,06620000,1.0,0.0,0.0,       1,       1,100.0,      15,      13,86.7
Fitchburg,00970000,1.0,0.0,0.0,       9,       5,55.6,     426,     363,85.2
Florida,00980000,1.0,1.0,100.0,       1,       1,100.0,      13,      10,76.9
Four Rivers Charter Public (District),04130000,1.0,1.0,100.0,       1,       1,100.0,      31,      21,67.7
Foxborough,00990000,1.0,1.0,100.0,       5,       5,100.0,     217,     199,91.7
Foxborough Regional Charter (District),04460000,,,,,,,,,
Framingham,01000000,1.0,1.0,100.0,      14,      10,71.4,     797,     622,78.0
Francis W. Parker Charter Essential (District),04780000,1.0,1.0,100.0,       1,       1,100.0,      52,      38,73.1
Franklin,01010000,1.0,1.0,100.0,      10,       7,70.0,     402,     350,87.1
Franklin County Regional Vocational Technical,08180000,1.0,1.0,100.0,       1,       1,100.0,      59,      50,84.7
Freetown-Lakeville,06650000,1.0,1.0,100.0,       5,       5,100.0,     216,     191,88.4
Frontier,06700000,1.0,1.0,100.0,       1,       1,100.0,      62,      51,82.3
Gardner,01030000,1.0,1.0,100.0,       4,       3,75.0,     192,     154,80.2
Gateway,06720000,1.0,1.0,100.0,       3,       2,66.7,      89,      64,71.9
Georgetown,01050000,1.0,0.0,0.0,       2,       2,100.0,     101,      91,90.1
Gill-Montague,06740000,1.0,1.0,100.0,       4,       4,100.0,      94,      85,90.4
Global Learning Charter Public (District),04960000,1.0,1.0,100.0,       1,       1,100.0,      46,      34,73.9
Gloucester,01070000,1.0,1.0,100.0,       8,       6,75.0,     268,     234,87.3
Gosnold,01090000,,,,,,,,,
Grafton,01100000,1.0,1.0,100.0,       7,       6,85.7,     256,     225,87.9
Granby,01110000,1.0,1.0,100.0,       2,       2,100.0,      64,      51,79.7
Greater Commonwealth Virtual District,39010000,1.0,1.0,100.0,       1,       1,100.0,      74,      62,83.8
Greater Fall River Regional Vocational Technical,08210000,1.0,1.0,100.0,       1,       1,100.0,     145,     131,90.3
Greater Lawrence Regional Vocational Technical,08230000,1.0,1.0,100.0,       1,       1,100.0,     151,     138,91.4
Greater Lowell Regional Vocational Technical,08280000,1.0,1.0,100.0,       1,       1,100.0,     216,     204,94.4
Greater New Bedford Regional Vocational Technical,08250000,1.0,1.0,100.0,       1,       1,100.0,     194,     169,87.1
Greenfield,01140000,1.0,1.0,100.0,       6,       5,83.3,     138,     111,80.4
Groton-Dunstable,06730000,1.0,1.0,100.0,       5,       5,100.0,     189,     170,89.9
Hadley,01170000,1.0,1.0,100.0,       2,       2,100.0,      49,      40,81.6
Halifax,01180000,1.0,1.0,100.0,       1,       1,100.0,      40,      35,87.5
Hamilton-Wenham,06750000,1.0,1.0,100.0,       5,       5,100.0,     155,     132,85.2
Hampden Charter School of Science East (District),04990000,1.0,1.0,100.0,       1,       1,100.0,      51,      36,70.6
Hampden Charter School of Science West (District),35160000,1.0,1.0,100.0,       1,       1,100.0,      36,      27,75.0
Hampden-Wilbraham,06800000,1.0,1.0,100.0,       6,       6,100.0,     219,     195,89.0
