2020 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Gardner,01030000,1,1,100.0,       5,       5,100.0,     181,     151,83.4
Gateway,06720000,1,1,100.0,       2,       2,100.0,      84,      75,89.3
Georgetown,01050000,1,1,100.0,       2,       2,100.0,     100,      91,91.0
Gill-Montague,06740000,1,1,100.0,       4,       3,75.0,      89,      75,84.3
Global Learning Charter Public (District),04960000,1,1,100.0,       1,       1,100.0,      47,      42,89.4
Gloucester,01070000,1,1,100.0,       8,       8,100.0,     254,     224,88.2
Gosnold,01090000,1,0,0.0,       1,       0,0.0,       1,       0,0.0
Grafton,01100000,1,1,100.0,       6,       6,100.0,     244,     221,90.6
Granby,01110000,1,1,100.0,       2,       2,100.0,      63,      61,96.8
Greater Fall River Regional Vocational Technical,08210000,1,0,0.0,       1,       1,100.0,     141,     133,94.3
Greater Lawrence Regional Vocational Technical,08230000,1,1,100.0,       1,       1,100.0,     142,     116,81.7
Greater Lowell Regional Vocational Technical,08280000,1,1,100.0,       1,       1,100.0,     187,     168,89.8
Greater New Bedford Regional Vocational Technical,08250000,1,1,100.0,       2,       2,100.0,     197,     191,97.0
Greenfield,01140000,1,1,100.0,       6,       4,66.7,     153,     120,78.4
Greenfield Commonwealth Virtual District,39010000,1,0,0.0,       1,       1,100.0,      38,      34,89.5
Groton-Dunstable,06730000,1,1,100.0,       5,       5,100.0,     184,     166,90.2
Hadley,01170000,1,1,100.0,       2,       2,100.0,      50,      42,84.0
Halifax,01180000,1,1,100.0,       1,       1,100.0,      39,      33,84.6
Hamilton-Wenham,06750000,1,0,0.0,       5,       4,80.0,     157,     138,87.9
Hampden Charter School of Science East (District),04990000,1,1,100.0,       1,       0,0.0,      46,      35,76.1
Hampden Charter School of Science West (District),35160000,1,1,100.0,       1,       0,0.0,      21,      12,57.1
Hampden-Wilbraham,06800000,1,1,100.0,       7,       5,71.4,     221,     186,84.2
Hampshire,06830000,1,1,100.0,       1,       1,100.0,      75,      69,92.0
Hancock,01210000,1,1,100.0,       1,       1,100.0,       9,       8,88.9
Hanover,01220000,1,1,100.0,       4,       4,100.0,     205,     189,92.2
Harvard,01250000,1,1,100.0,       2,       2,100.0,      91,      87,95.6
Hatfield,01270000,1,1,100.0,       2,       0,0.0,      45,      39,86.7
Haverhill,01280000,1,1,100.0,      15,      10,66.7,     583,     498,85.4
Hawlemont,06850000,1,1,100.0,       1,       1,100.0,      11,      10,90.9
Helen Y. Davis Leadership Academy Charter Public (District),04190000,1,1,100.0,       1,       0,0.0,      16,       8,50.0
Hill View Montessori Charter Public (District),04550000,1,1,100.0,       1,       0,0.0,      22,      15,68.2
Hilltown Cooperative Charter Public (District),04500000,1,1,100.0,       1,       1,100.0,      24,      20,83.3
Hingham,01310000,1,0,0.0,       6,       6,100.0,     307,     290,94.5
Holbrook,01330000,1,1,100.0,       2,       2,100.0,      95,      88,92.6
Holland,01350000,1,1,100.0,       1,       1,100.0,      21,      18,85.7
Holliston,01360000,1,1,100.0,       4,       4,100.0,     229,     209,91.3
Holyoke,01370000,1,1,100.0,      13,       9,69.2,     396,     276,69.7
Holyoke Community Charter (District),04530000,1,1,100.0,       1,       1,100.0,      52,      33,63.5
Hoosac Valley Regional,06030000,1,0,0.0,       3,       2,66.7,      87,      72,82.8
