2012-13 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Pittsfield,02360000,"     $30,668,602","  $63,853",    480.3
Plainville,02380000,"      $3,336,536","  $65,939",     50.6
Plymouth,02390000,"     $38,931,535","  $62,864",    619.3
Plympton,02400000,"      $1,177,341","  $72,675",     16.2
Provincetown,02420000,"      $1,414,105","  $72,892",     19.4
Quabbin,07530000,"     $12,499,524","  $68,603",    182.2
Quaboag,07780000,"      $6,497,957","  $67,828",     95.8
Quincy,02430000,"     $48,715,555","  $74,375",    655.0
Ralph C Mahar,07550000,"      $3,922,166","  $59,880",     65.5
Randolph,02440000,"     $16,377,300","  $69,425",    235.9
Reading,02460000,"     $20,435,261","  $66,048",    309.4
Revere,02480000,"     $38,261,748","  $78,309",    488.6
Richmond,02490000,"      $1,380,617","  $78,444",     17.6
Rochester,02500000,"      $2,963,079","  $76,764",     38.6
Rockland,02510000,"     $10,052,804","  $68,997",    145.7
Rockport,02520000,"      $6,111,139","  $78,650",     77.7
Rowe,02530000,"        $492,548","  $67,472",      7.3
Salem,02580000,"     $31,827,371","  $72,467",    439.2
Sandwich,02610000,"     $16,815,462","  $79,281",    212.1
Saugus,02620000,"     $14,511,157","  $69,967",    207.4
Savoy,02630000,"        $207,434","  $51,859",      4.0
Scituate,02640000,"     $18,323,221","  $83,744",    218.8
Seekonk,02650000,"     $10,452,025","  $73,399",    142.4
Sharon,02660000,"     $18,492,539","  $75,387",    245.3
Shawsheen Valley             ,08710000,"     $10,117,915","  $78,070",    129.6
Sherborn,02690000,"      $3,040,174","  $91,848",     33.1
Shrewsbury,02710000,"     $26,747,387","  $74,298",    360.0
Shutesbury,02720000,"        $846,283","  $53,903",     15.7
Silver Lake,07600000,"     $10,264,366","  $77,234",    132.9
Somerset,02730000,"      $8,809,185","  $67,763",    130.0
Somerset Berkley,07630000,"      $5,220,484","  $63,279",     82.5
Somerville,02740000,"     $27,869,159","  $68,173",    408.8
South Hadley,02780000,"     $10,318,930","  $66,919",    154.2
South Middlesex              ,08290000,"      $5,587,306","  $72,562",     77.0
South Shore                  ,08730000,"      $4,450,054","  $76,858",     57.9
