2010-11 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Concord-Carlisle,06400000,     490,  18.5,"      1,212",  53.1,  46.9,   0.2,  14.0,   4.2
Conservatory Lab Charter (District),04390000,      10,  15.4,        154,  48.1,  51.9,  17.5,   7.8,  66.2
Conway,00680000,      38,  18.2,        177,  46.9,  53.1,   0.0,  19.2,  21.5
Danvers,00710000,"   1,141",  19.5,"      3,642",  51.2,  48.8,   0.6,  14.9,  15.4
Dartmouth,00720000,"   1,885",  19.8,"      3,975",  48.3,  51.7,   1.8,  11.0,  17.0
Dedham,00730000,     991,  17.6,"      2,882",  47.5,  52.5,   4.8,  20.8,  23.2
Deerfield,00740000,     153,  19.5,        480,  48.1,  51.9,   0.8,  16.0,  15.6
Dennis-Yarmouth,06450000,"   1,253",  16.6,"      3,182",  47.9,  52.1,   4.9,  14.7,  38.3
Dighton-Rehoboth,06500000,"   1,296",  18.5,"      3,195",  46.8,  53.2,   0.3,  14.0,  12.4
Dorchester Collegiate Academy Charter (District),04750000,      16,  17.5,         70,  40.0,  60.0,   0.0,   8.6,  90.0
Douglas,00770000,     696,  20.1,"      1,714",  49.9,  50.1,   0.0,  15.7,  14.4
Dover,00780000,     179,  19.0,        548,  49.5,  50.5,   1.1,  10.6,   3.1
Dover-Sherborn,06550000,     602,  15.2,"      1,157",  48.8,  51.2,   0.3,  10.9,   2.7
Dracut,00790000,"   1,475",  22.7,"      3,978",  48.5,  51.5,   1.1,  10.5,  16.6
Dudley-Charlton Reg,06580000,"   1,549",  19.9,"      4,220",  50.2,  49.8,   1.5,  11.5,  14.5
Duxbury,00820000,"   1,330",  20.9,"      3,254",  48.6,  51.4,   0.0,  13.5,   3.3
East Bridgewater,00830000,     595,  22.2,"      2,299",  50.4,  49.6,   0.3,  13.0,  15.5
East Longmeadow,00870000,     669,  20.8,"      2,845",  49.9,  50.1,   0.2,  18.6,  11.0
Eastham,00850000,      66,  16.4,        209,  54.1,  45.9,   1.4,  15.8,  27.8
Easthampton,00860000,     406,  18.4,"      1,564",  49.9,  50.1,   2.4,  16.6,  31.1
Easton,00880000,"   1,514",  19.8,"      3,900",  49.5,  50.5,   1.2,  17.3,   7.7
Edgartown,00890000,     214,  16.4,        324,  45.4,  54.6,   7.1,  19.1,  24.1
Edward Brooke Charter (District),04280000,      77,  34.7,        447,  57.0,  43.0,   0.2,   7.4,  77.9
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      87,  16.8,        218,  69.7,  30.3,   5.5,   5.5,  77.1
Erving,00910000,      45,  18.6,        163,  51.5,  48.5,   0.0,  17.8,  33.7
Essex Agricultural Technical,09130000,     265,  18.1,        486,  64.8,  35.2,   0.0,  16.5,  24.5
Everett,00930000,"   2,857",  18.6,"      6,122",  48.1,  51.9,  11.7,  14.4,  69.3
Excel Academy Charter (District),04100000,      30,  42.4,        212,  51.9,  48.1,   2.8,  13.7,  72.2
Fairhaven,00940000,     609,  17.1,"      1,991",  48.6,  51.4,   0.5,  14.7,  30.0
Fall River,00950000,"   3,701",  19.5,"      9,865",  48.2,  51.8,   5.4,  19.1,  76.6
Falmouth,00960000,"   1,366",  16.4,"      3,715",  48.3,  51.7,   0.8,  16.3,  23.4
Farmington River Reg,06620000,      78,  17.0,        142,  55.6,  44.4,   0.0,  13.4,  24.6
Fitchburg,00970000,"   1,347",  21.1,"      4,857",  49.4,  50.6,  12.3,  19.9,  67.9
Florida,00980000,      58,  12.1,        109,  56.0,  44.0,   0.0,  17.4,  33.0
Four Rivers Charter Public (District),04130000,     132,  15.6,        207,  50.7,  49.3,   0.5,  11.6,  23.7
Foxborough,00990000,"   1,083",  17.7,"      2,854",  48.6,  51.4,   0.5,  15.7,  11.6
Foxborough Regional Charter (District),04460000,     484,  24.5,"      1,179",  53.3,  46.7,   3.0,   7.9,   6.3
Framingham,01000000,"   3,438",  19.6,"      8,226",  49.5,  50.5,  16.7,  19.8,  32.9
Francis W. Parker Charter Essential (District),04780000,     183,  12.6,        393,  44.0,  56.0,   0.0,  15.0,   2.8
Franklin,01010000,"   1,987",  20.8,"      6,029",  49.6,  50.4,   1.1,  14.9,   7.1
Franklin County Regional Vocational Technical,08180000,     318,  12.0,        497,  35.8,  64.2,   0.0,  23.3,  44.3
Freetown,01020000,      59,  25.2,        553,  49.2,  50.8,   0.0,  15.7,  12.5
Freetown-Lakeville,06650000,     744,  19.5,"      1,919",  49.1,  50.9,   0.2,  17.5,  11.3
Frontier,06700000,     278,  13.8,        683,  50.7,  49.3,   1.5,  19.6,  20.1
Gardner,01030000,     656,  19.4,"      2,558",  47.8,  52.2,   3.8,  18.3,  49.3
Gateway,06720000,     319,  17.8,"      1,105",  50.1,  49.9,   1.0,  13.4,  31.7
Georgetown,01050000,     394,  25.1,"      1,663",  48.2,  51.8,   0.1,  12.9,   5.3
Gill-Montague,06740000,     383,  14.9,"      1,052",  48.2,  51.8,   5.1,  20.1,  52.1
Global Learning Charter Public  (District),04960000,     202,  16.8,        465,  52.0,  48.0,   0.0,  11.2,  74.0
Gloucester,01070000,     862,  17.9,"      3,164",  49.2,  50.8,   2.3,  20.4,  33.7
Gloucester Community Arts Charter (District),04480000,      34,  13.3,         68,  50.0,  50.0,   0.0,  23.5,  44.1
Gosnold,01090000,       4,   4.0,          4,  25.0,  75.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,337",  19.0,"      2,868",  49.6,  50.4,   0.4,  16.0,  10.4
Granby,01110000,     446,  16.9,"      1,125",  49.8,  50.2,   1.1,  16.4,  14.9
Granville,01120000,,,,,,,,
Greater Fall River Regional Vocational Technical,08210000,     735,  14.2,"      1,342",  43.0,  57.0,   0.2,   9.8,  41.2
Greater Lawrence Regional Vocational Technical,08230000,     670,  12.8,"      1,201",  48.0,  52.0,   2.8,  21.5,  75.9
Greater Lowell Regional Vocational Technical,08280000,"   1,128",  14.6,"      2,067",  45.5,  54.5,   4.3,  22.7,  55.5
Greater New Bedford Regional Vocational Technical,08250000,"   1,212",  18.7,"      2,132",  50.8,  49.2,   0.8,   8.8,  53.1
Greenfield,01140000,     651,  18.3,"      1,802",  48.6,  51.4,   3.4,  17.2,  55.2
Groton-Dunstable,06730000,     611,  21.3,"      2,770",  47.0,  53.0,   0.5,  12.8,   3.3
Hadley,01170000,     362,  16.8,        713,  50.5,  49.5,   2.5,  12.2,  16.7
Halifax,01180000,     242,  19.0,        628,  47.0,  53.0,   0.0,  11.3,  11.3
Hamilton-Wenham,06750000,     576,  19.7,"      1,999",  51.7,  48.3,   1.6,  14.6,   5.9
Hampden Charter School of Science (District),04990000,     134,  16.9,        234,  52.1,  47.9,   5.6,  10.3,  54.7
Hampden-Wilbraham,06800000,     924,  19.4,"      3,573",  49.4,  50.6,   0.7,  17.6,   9.8
Hampshire,06830000,     329,  15.4,        808,  54.3,  45.7,   0.2,  16.2,  12.0
Hancock,01210000,      15,  10.6,         48,  50.0,  50.0,   0.0,   8.3,  10.4
Hanover,01220000,,,,,,,,
Harvard,01250000,     415,  18.0,"      1,260",  50.4,  49.6,   0.2,  12.5,   0.1
Harwich,01260000,,,,,,,,
Hatfield,01270000,     266,  14.1,        466,  48.5,  51.5,   0.2,  12.7,  11.6
Haverhill,01280000,"   3,100",  19.1,"      6,804",  47.0,  53.0,   7.0,  21.1,  40.3
Hawlemont,06850000,      26,  13.2,         97,  51.5,  48.5,   1.0,  24.7,  48.5
Hill View Montessori Charter Public (District),04550000,      35,  35.5,        289,  53.6,  46.4,   1.7,  18.7,  19.7
Hilltown Cooperative Charter  Public (District),04500000,      17,  37.1,        165,  49.1,  50.9,   0.6,  13.3,  24.8
Hingham,01310000,"   1,551",  19.7,"      4,107",  48.6,  51.4,   0.1,  12.8,   4.1
Holbrook,01330000,     304,  19.3,"      1,187",  48.3,  51.7,   2.0,  16.8,  35.5
Holland,01350000,      76,  16.7,        243,  51.0,  49.0,   0.4,  17.3,  33.7
Holliston,01360000,"   1,115",  17.0,"      2,862",  49.8,  50.2,   1.3,  15.2,   3.9
Holyoke,01370000,"   1,940",  15.0,"      5,595",  48.2,  51.8,  26.0,  24.9,  82.5
Holyoke Community Charter (District),04530000,     234,  26.5,        710,  52.5,  47.5,   6.6,   9.3,  83.5
Hopedale,01380000,     518,  19.2,"      1,279",  48.7,  51.3,   0.9,  15.8,   9.5
Hopkinton,01390000,"   1,206",  20.1,"      3,448",  49.9,  50.1,   0.8,  12.2,   1.8
Hudson,01410000,,,,,,,,
Hull,01420000,     361,  20.3,"      1,151",  46.9,  53.1,   0.2,  15.6,  31.4
