2013-14 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Northampton-Smith Vocational Agricultural,04060000,     360,  11.5,        413,  39.5,  60.5,   3.1,  35.1,  44.1
Northboro-Southboro,07300000,     752,  17.7,"      1,489",  52.5,  47.5,   0.7,   7.8,   6.6
Northborough,02130000,     669,  17.2,"      1,804",  49.3,  50.7,   5.1,  15.6,  12.2
Northbridge,02140000,"   1,134",  19.2,"      2,634",  47.6,  52.4,   1.2,  18.0,  32.2
Northeast Metropolitan Regional Vocational Technical,08530000,     888,  19.9,"      1,257",  44.1,  55.9,   1.8,  25.0,  51.5
Northern Berkshire Regional Vocational Technical,08510000,     365,  14.1,        500,  42.0,  58.0,   0.0,  11.8,  39.2
Norton,02180000,"   1,217",  18.4,"      2,594",  48.9,  51.1,   0.8,  20.2,  22.1
Norwell,02190000,     965,  18.7,"      2,209",  49.3,  50.7,   0.4,  13.4,   4.2
Norwood,02200000,"   1,392",  16.9,"      3,524",  48.5,  51.5,   5.5,  17.8,  30.6
Oak Bluffs,02210000,     231,  12.8,        396,  52.0,  48.0,  12.1,  22.7,  26.3
Old Colony Regional Vocational Technical,08550000,     481,  13.0,        580,  41.7,  58.3,   0.0,  21.4,  21.0
Old Rochester,07400000,     633,  18.4,"      1,225",  49.8,  50.2,   0.0,  13.4,  14.9
Orange,02230000,     318,  17.9,        680,  46.9,  53.1,   0.0,  20.0,  59.9
Orleans,02240000,     167,  16.0,        212,  46.2,  53.8,   0.5,  16.0,  26.9
Oxford,02260000,     761,  16.2,"      1,939",  48.3,  51.7,   0.4,  13.5,  35.9
Palmer,02270000,     861,  15.3,"      1,498",  48.3,  51.7,   1.1,  17.4,  48.9
Pathfinder Regional Vocational Technical,08600000,     468,  11.0,        609,  40.6,  59.4,   0.0,  27.8,  44.0
Paulo Freire Social Justice Charter School (District),35010000,      98,  14.5,        148,  56.8,  43.2,   8.1,  16.2,  81.8
Peabody,02290000,"   2,659",  17.8,"      5,919",  48.7,  51.3,   5.9,  19.0,  35.9
Pelham,02300000,      39,  18.3,        127,  52.8,  47.2,   0.0,  27.6,  20.5
Pembroke,02310000,"   1,271",  20.5,"      3,313",  47.9,  52.1,   0.3,  12.3,  16.4
Pentucket,07450000,"   1,057",  18.3,"      2,834",  50.2,  49.8,   0.1,  17.3,  12.1
Petersham,02340000,      31,  15.6,        111,  53.2,  46.8,   0.0,  16.2,  28.8
Phoenix Charter Academy (District),04930000,     548,  10.5,        265,  43.0,  57.0,  22.6,  17.0,  80.8
Pioneer Charter School of Science (District),04940000,     182,  16.6,        350,  50.3,  49.7,   4.3,  11.7,  68.9
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      86,  16.1,        171,  49.1,  50.9,   8.8,  13.5,  66.1
Pioneer Valley,07500000,     596,  14.0,"      1,016",  48.2,  51.8,   0.0,  15.8,  32.3
Pioneer Valley Chinese Immersion Charter(District),04970000,      71,  17.5,        320,  55.0,  45.0,   2.8,   7.2,  18.4
Pioneer Valley Performing Arts Charter Public (District),04790000,     448,  11.5,        410,  64.6,  35.4,   0.0,  19.8,  18.3
Pittsfield,02360000,"   2,429",  15.6,"      5,894",  49.1,  50.9,   4.1,  19.1,  59.2
Plainville,02380000,     157,  20.4,        771,  46.0,  54.0,   2.6,  15.7,  15.3
Plymouth,02390000,"   4,174",  17.2,"      7,833",  48.1,  51.9,   0.9,  18.3,  28.6
Plympton,02400000,     104,  16.5,        237,  52.3,  47.7,   0.4,  13.9,  20.3
Prospect Hill Academy Charter (District),04870000,     516,  22.2,"      1,164",  50.3,  49.7,   9.1,  15.4,  62.9
Provincetown,02420000,      95,  11.2,        116,  54.3,  45.7,   2.6,  19.8,  60.3
Quabbin,07530000,"   1,369",  17.7,"      2,493",  50.5,  49.5,   0.1,  16.4,  28.7
Quaboag Regional,07780000,     624,  18.6,"      1,434",  49.1,  50.9,   1.1,  16.2,  45.5
Quincy,02430000,"   3,988",  15.6,"      9,298",  47.7,  52.3,  11.9,  15.5,  47.9
Ralph C Mahar,07550000,     741,  13.9,        726,  49.2,  50.8,   0.3,  15.7,  51.5
Randolph,02440000,"   1,108",  18.3,"      3,007",  46.6,  53.4,  12.6,  22.5,  58.6
Reading,02460000,"   1,664",  19.4,"      4,452",  47.8,  52.2,   0.7,  17.1,   8.4
Revere,02480000,"   4,548",  20.0,"      6,940",  50.2,  49.8,  14.7,  14.0,  79.0
Richmond,02490000,     127,  16.0,        158,  58.2,  41.8,   0.0,   5.1,  24.7
Rising Tide Charter Public (District),04830000,     281,  18.1,        511,  54.2,  45.8,   0.0,  10.0,  11.9
River Valley Charter (District),04820000,      72,  18.3,        287,  57.5,  42.5,   0.3,  16.0,   1.4
Rochester,02500000,     173,  19.8,        497,  46.5,  53.5,   0.4,  18.1,  18.3
Rockland,02510000,     976,  18.7,"      2,285",  47.4,  52.6,   2.3,  15.2,  46.0
Rockport,02520000,     603,  16.9,        974,  48.6,  51.4,   0.3,  18.4,  14.4
Rowe,02530000,      34,  11.6,         58,  60.3,  39.7,   0.0,  15.5,  34.5
Roxbury Preparatory Charter (District),04840000,     217,  25.8,        704,  51.3,  48.7,   9.4,  15.1,  80.0
Sabis International Charter (District),04410000,     558,  25.7,"      1,568",  52.0,  48.0,   2.4,  13.8,  52.5
Salem,02580000,"   2,310",  16.2,"      4,420",  48.8,  51.2,  12.9,  21.3,  61.9
Salem Academy Charter (District),04850000,     213,  17.6,        388,  49.5,  50.5,   4.6,  13.7,  41.0
Salem Community Charter School (District),04670000,      28,  32.6,         73,  47.9,  52.1,   6.8,  46.6,  90.4
Sandwich,02610000,"   1,094",  17.1,"      3,029",  49.2,  50.8,   0.4,  15.1,  12.8
Saugus,02620000,"   1,486",  17.6,"      2,825",  49.7,  50.3,   2.9,  14.6,  29.0
Savoy,02630000,      59,   5.0,         37,  56.8,  43.2,   0.0,  27.0,  37.8
Scituate,02640000,"   1,517",  18.3,"      3,121",  51.6,  48.4,   0.6,  13.8,  10.2
Seekonk,02650000,     781,  18.5,"      2,046",  51.3,  48.7,   1.2,  14.6,  19.0
Seven Hills Charter Public (District),04860000,     296,  23.0,        664,  50.2,  49.8,  26.5,  10.4,  84.3
Sharon,02660000,"   1,525",  18.6,"      3,511",  48.4,  51.6,   2.9,  14.2,   7.8
Shawsheen Valley Regional Vocational Technical,08710000,     570,  17.2,"      1,378",  41.9,  58.1,   0.1,  23.8,  16.4
Sherborn,02690000,     145,  18.9,        399,  50.9,  49.1,   2.5,  12.8,   3.0
Shrewsbury,02710000,"   2,135",  23.1,"      6,110",  50.2,  49.8,   3.0,  12.8,  16.2
Shutesbury,02720000,      51,  14.7,        161,  53.4,  46.6,   0.6,  19.3,  19.3
Silver Hill Horace Mann Charter (District),04770000,     306,  20.0,        595,  50.8,  49.2,   3.7,  17.6,  42.5
Silver Lake,07600000,     687,  20.1,"      1,907",  48.4,  51.6,   0.2,  15.2,  16.3
Smith Leadership Academy Charter Public (District),04190000,     131,  18.2,        226,  57.1,  42.9,   8.8,  16.4,  82.3
Somerset,02730000,     604,  20.9,"      1,855",  47.7,  52.3,   0.2,  14.8,  18.8
Somerset Berkley Regional School District,07630000,     573,  13.8,        938,  49.9,  50.1,   0.0,  10.2,  11.8
Somerville,02740000,"   1,775",  17.6,"      4,972",  47.3,  52.7,  18.1,  20.1,  66.0
South Hadley,02780000,     812,  16.7,"      1,957",  51.3,  48.7,   1.8,  13.2,  31.6
South Middlesex Regional Vocational Technical,08290000,     443,  13.7,        678,  43.1,  56.9,   5.2,  45.9,  69.9
South Shore Charter Public (District),04880000,     275,  17.0,        567,  49.0,  51.0,   9.0,  15.0,  29.1
South Shore Regional Vocational Technical,08730000,     263,  13.5,        590,  39.3,  60.7,   0.0,  26.1,  30.5
Southampton,02750000,     142,  18.6,        560,  48.0,  52.0,   2.9,  19.5,  16.8
Southborough,02760000,     566,  17.4,"      1,404",  47.4,  52.6,   5.3,  12.1,   3.3
Southbridge,02770000,     811,  19.4,"      2,282",  47.9,  52.1,  15.4,  18.0,  76.3
Southeastern Regional Vocational Technical,08720000,     595,  16.7,"      1,264",  46.1,  53.9,   1.0,  22.1,  58.0
Southern Berkshire,07650000,     663,  12.0,        760,  47.0,  53.0,   1.3,  17.1,  27.8
Southern Worcester County Regional Vocational Technical,08760000,     946,  13.9,"      1,106",  38.5,  61.5,   0.2,  19.9,  35.4
Southwick-Tolland-Granville Regional School District,07660000,     850,  16.7,"      1,720",  48.8,  51.2,   2.0,  16.6,  27.3
Spencer-E Brookfield,07670000,     645,  18.6,"      1,791",  46.7,  53.3,   0.6,  16.9,  46.1
Springfield,02810000,"  14,010",  17.4,"     25,514",  48.0,  52.0,  17.1,  19.3,  89.3
Stoneham,02840000,     948,  16.1,"      2,383",  50.3,  49.7,   2.7,  17.5,  24.1
Stoughton,02850000,"   1,950",  16.9,"      3,673",  47.9,  52.1,   4.2,  15.4,  35.7
Sturbridge,02870000,     250,  23.1,        995,  46.2,  53.8,   0.0,  12.7,  18.1
Sturgis Charter Public (District),04890000,     475,  14.9,        806,  56.0,  44.0,   0.0,  11.8,   6.2
Sudbury,02880000,"   1,145",  20.2,"      2,950",  47.7,  52.3,   0.9,  14.7,   5.6
Sunderland,02890000,      54,  14.6,        203,  44.3,  55.7,  10.3,  16.7,  28.6
Sutton,02900000,     500,  21.4,"      1,593",  49.0,  51.0,   0.5,  17.6,  12.1
Swampscott,02910000,"   1,120",  19.7,"      2,332",  50.0,  50.0,   3.6,  13.6,  15.6
Swansea,02920000,"   1,399",  16.5,"      2,105",  48.1,  51.9,   0.3,  12.4,  32.4
Tantasqua,07700000,"   1,079",  15.7,"      1,788",  47.9,  52.1,   0.1,  11.4,  24.3
Taunton,02930000,"   3,162",  20.6,"      7,934",  48.5,  51.5,   2.9,  18.9,  53.6
Tewksbury,02950000,"   1,539",  20.0,"      3,762",  49.0,  51.0,   0.7,  15.3,  19.3
Tisbury,02960000,     266,  12.5,        334,  47.0,  53.0,  13.8,  15.3,  36.5
Topsfield,02980000,     164,  16.3,        624,  49.5,  50.5,   0.3,  19.6,   2.9
Tri County Regional Vocational Technical,08780000,     600,  17.0,"      1,032",  42.5,  57.5,   0.0,  24.9,  28.2
Triton,07730000,"   1,402",  18.0,"      2,793",  48.5,  51.5,   0.5,  13.2,  22.7
Truro,03000000,      95,  16.5,        148,  50.0,  50.0,   0.0,  16.2,  24.3
Tyngsborough,03010000,     988,  19.6,"      1,848",  49.0,  51.0,   0.6,  14.1,  16.8
UP Academy Charter School of Boston (District),04800000,     129,  22.1,        459,  49.5,  50.5,  24.4,  25.3, 100.0
UP Academy Charter School of Dorchester (District),35050000,     195,  18.7,        557,  50.6,  49.4,  18.5,  18.1,  94.4
Up-Island Regional,07740000,     176,  13.8,        343,  45.2,  54.8,   2.3,  21.9,  16.0
Upper Cape Cod Regional Vocational Technical,08790000,     314,  16.6,        671,  42.8,  57.2,   0.0,  16.7,  33.2
Uxbridge,03040000,     763,  20.2,"      1,913",  47.5,  52.5,   0.7,  13.7,  21.7
Veritas Preparatory Charter School (District),04980000,      24,  26.4,        159,  44.0,  56.0,  10.7,  15.1,  87.4
Wachusett,07750000,"   3,287",  19.6,"      7,463",  49.5,  50.5,   1.6,  14.0,  10.9
Wakefield,03050000,"   1,365",  18.6,"      3,385",  50.1,  49.9,   0.9,  15.6,  12.8
Wales,03060000,      47,  18.8,        160,  55.0,  45.0,   0.0,  15.6,  42.5
Walpole,03070000,"   1,365",  20.2,"      4,001",  50.6,  49.4,   2.6,  14.9,  16.3
Waltham,03080000,"   3,079",  16.1,"      5,189",  47.6,  52.4,  15.2,  20.4,  44.5
Ware,03090000,     423,  20.8,"      1,344",  48.4,  51.6,   1.3,  16.6,  60.6
Wareham,03100000,"   1,621",  16.9,"      2,806",  47.3,  52.7,   0.5,  23.3,  56.2
Watertown,03140000,"   1,096",  17.1,"      2,713",  48.2,  51.8,   6.5,  22.1,  27.1
Wayland,03150000,"   1,137",  17.1,"      2,698",  48.9,  51.1,   1.1,  19.2,   6.7
Webster,03160000,     660,  19.5,"      1,871",  49.0,  51.0,   3.5,  17.5,  57.2
Wellesley,03170000,"   2,016",  17.4,"      5,059",  50.7,  49.3,   1.9,  16.4,   5.6
Wellfleet,03180000,     112,  12.7,        125,  58.4,  41.6,   0.0,  16.8,  36.0
West Boylston,03220000,     559,  16.3,        942,  52.1,  47.9,   1.4,  15.1,   9.3
West Bridgewater,03230000,     795,  19.9,"      1,338",  51.0,  49.0,   0.9,   9.3,  18.4
West Springfield,03320000,"   1,808",  16.0,"      3,971",  48.4,  51.6,   8.6,  21.2,  53.9
Westborough,03210000,"   1,743",  17.3,"      3,647",  48.0,  52.0,   7.4,  14.7,   9.5
Westfield,03250000,"   3,170",  17.7,"      5,830",  47.9,  52.1,   4.2,  16.9,  42.0
Westford,03260000,"   2,242",  19.1,"      5,225",  49.1,  50.9,   1.1,  12.0,   4.5
Westhampton,03270000,      33,  18.1,        146,  54.1,  45.9,   1.4,  26.7,  12.3
Weston,03300000,"   1,159",  17.2,"      2,363",  48.9,  51.1,   3.6,  17.2,   4.8
Westport,03310000,     802,  16.7,"      1,623",  47.1,  52.9,   0.4,  15.5,  27.9
Westwood,03350000,"   1,360",  19.6,"      3,231",  50.3,  49.7,   1.1,  16.9,   4.2
Weymouth,03360000,"   2,311",  19.0,"      6,889",  48.9,  51.1,   3.6,  15.4,  29.2
Whately,03370000,      39,  15.3,        143,  45.5,  54.5,   0.0,  15.4,  30.1
Whitman-Hanson,07800000,"   1,722",  23.1,"      4,207",  48.6,  51.4,   0.2,  14.3,  23.9
Whittier Regional Vocational Technical,08850000,     700,  13.4,"      1,278",  44.6,  55.4,   0.5,  24.3,  37.5
Williamsburg,03400000,      41,  14.1,        154,  51.9,  48.1,   1.3,  18.8,  25.3
Williamstown,03410000,     148,  18.1,        448,  48.0,  52.0,   1.3,  14.5,  16.3
Wilmington,03420000,"   1,836",  18.8,"      3,527",  49.4,  50.6,   0.7,  15.3,   9.6
Winchendon,03430000,     585,  17.7,"      1,389",  47.8,  52.2,   1.2,  19.4,  47.7
Winchester,03440000,"   1,976",  19.0,"      4,464",  49.4,  50.6,   3.6,  15.0,   6.1
Winthrop,03460000,     835,  19.9,"      1,997",  51.0,  49.0,   6.3,  17.5,  30.9
Woburn,03470000,"   3,384",  17.5,"      4,893",  49.2,  50.8,   4.1,  17.0,  28.7
Worcester,03480000,"   9,868",  16.6,"     25,186",  48.3,  51.7,  32.7,  20.0,  73.0
Wrentham,03500000,     445,  20.4,"      1,156",  46.4,  53.6,   0.6,  17.6,   8.0
State Totals,00000000," 430,652",  18.1,"    959,244",  48.7,  51.3,   8.0,  16.8,  39.4
