2016-17 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Norton,02180000,"   1,225",  18.6,"      2,526",  49.5,  50.5,   1.1,  18.1,  17.2
Norwell,02190000,"   1,008",  17.6,"      2,212",  49.1,  50.9,   0.1,  14.5,   3.4
Norwood,02200000,"   1,295",  17.2,"      3,506",  49.3,  50.7,   7.7,  20.5,  22.0
Oak Bluffs,02210000,     173,  15.7,        452,  52.4,  47.6,  17.3,  21.0,  21.2
Old Colony Regional Vocational Technical,08550000,     343,  15.9,        540,  38.1,  61.9,   0.2,  22.6,  18.1
Old Rochester,07400000,     671,  17.9,"      1,243",  50.8,  49.2,   0.0,  11.7,  10.9
Orange,02230000,     288,  20.2,        617,  44.6,  55.4,   1.6,  25.1,  54.0
Orleans,02240000,     154,  17.4,        224,  47.3,  52.7,   4.9,  21.4,  21.0
Oxford,02260000,     674,  19.3,"      1,784",  48.8,  51.2,   0.4,  14.7,  32.2
Palmer,02270000,     892,  15.2,"      1,477",  47.4,  52.6,   1.9,  20.3,  39.0
Pathfinder Regional Vocational Technical,08600000,     470,  12.4,        607,  39.2,  60.8,   0.0,  25.0,  34.3
Paulo Freire Social Justice Charter School (District),35010000,     177,  14.7,        339,  54.0,  46.0,  10.9,  17.7,  70.5
Peabody,02290000,"   2,744",  18.1,"      5,976",  48.7,  51.3,   7.2,  18.8,  28.5
Pelham,02300000,      43,  17.2,        126,  50.0,  50.0,   0.0,  27.0,  23.8
Pembroke,02310000,"   1,306",  18.2,"      3,005",  48.6,  51.4,   0.8,  13.1,  12.2
Pentucket,07450000,"   1,066",  16.1,"      2,512",  48.2,  51.8,   0.2,  19.2,  10.3
Petersham,02340000,      49,  16.8,        128,  46.9,  53.1,   1.6,  19.5,  18.8
Phoenix Academy Public Charter High School Springfield (District),35080000,      55,  16.1,        170,  44.7,  55.3,  17.1,  33.5,  79.4
Phoenix Charter Academy (District),04930000,      79,  19.1,        211,  38.9,  61.1,  62.1,  12.8,  33.2
Pioneer Charter School of Science (District),04940000,     208,  18.9,        535,  50.1,  49.9,  38.1,  10.7,  35.7
Pioneer Charter School of Science II (PCSS-II) (District),35060000,     153,  18.5,        321,  53.6,  46.4,  26.2,  14.0,  26.5
Pioneer Valley,07500000,     534,  13.2,        857,  51.3,  48.7,   0.1,  16.8,  21.6
Pioneer Valley Chinese Immersion Charter (District),04970000,     256,  16.5,        460,  54.3,  45.4,   2.6,   5.9,  13.7
Pioneer Valley Performing Arts Charter Public (District),04790000,     387,  12.7,        405,  67.9,  31.9,   0.0,  20.7,  21.5
Pittsfield,02360000,"   2,476",  14.8,"      5,484",  49.0,  51.0,   4.1,  22.8,  48.4
Plainville,02380000,     177,  18.8,        713,  47.4,  52.6,   4.5,  16.5,  13.5
Plymouth,02390000,"   4,892",  17.2,"      7,730",  47.6,  52.4,   1.2,  19.4,  22.5
Plympton,02400000,     104,  15.2,        212,  51.4,  48.6,   0.0,  17.0,  21.7
Prospect Hill Academy Charter (District),04870000,     455,  21.3,"      1,141",  48.9,  51.1,  10.3,  15.4,  35.5
Provincetown,02420000,     112,  11.9,        130,  50.0,  50.0,  16.9,  22.3,  41.5
Quabbin,07530000,     955,  20.4,"      2,269",  50.8,  49.2,   0.2,  18.9,  24.8
Quaboag Regional,07780000,     601,  18.5,"      1,422",  50.0,  49.9,   2.5,  15.8,  35.6
Quincy,02430000,"   4,917",  16.6,"      9,435",  47.8,  52.2,  15.6,  17.9,  34.2
Ralph C Mahar,07550000,     767,  12.9,        640,  49.2,  50.8,   1.3,  17.0,  39.8
Randolph,02440000,"   1,166",  18.1,"      2,946",  46.9,  53.1,  14.4,  22.8,  43.4
Reading,02460000,"   1,576",  19.6,"      4,325",  48.3,  51.7,   1.2,  17.4,   7.3
Revere,02480000,"   4,701",  20.3,"      7,666",  49.3,  50.7,  22.0,  14.8,  42.9
Richmond,02490000,     122,  17.4,        167,  55.1,  44.9,   0.0,   4.8,  18.6
Rising Tide Charter Public (District),04830000,     328,  18.6,        665,  51.6,  48.4,   0.0,  14.9,   7.7
River Valley Charter (District),04820000,     116,  15.5,        288,  59.0,  41.0,   0.0,  13.9,   5.2
Rochester,02500000,     174,  18.3,        463,  46.2,  53.8,   0.4,  18.1,  10.6
Rockland,02510000,"   1,008",  19.1,"      2,351",  48.4,  51.6,   4.5,  15.7,  29.3
Rockport,02520000,     635,  15.4,        942,  47.7,  52.2,   0.4,  20.8,  17.0
Rowe,02530000,      27,  14.5,         66,  54.5,  45.5,   0.0,  30.3,  22.7
Roxbury Preparatory Charter (District),04840000,     342,  23.1,"      1,257",  50.4,  49.6,  22.4,  17.4,  55.8
Sabis International Charter (District),04410000,     557,  25.3,"      1,571",  50.0,  50.0,   5.3,  13.1,  35.8
Salem,02580000,"   1,951",  14.5,"      3,860",  48.4,  51.5,  13.4,  22.2,  45.8
Salem Academy Charter (District),04850000,     233,  18.5,        438,  54.8,  45.2,  10.0,  14.4,  28.8
Sandwich,02610000,"   1,518",  18.4,"      2,719",  49.3,  50.7,   0.9,  17.9,  14.6
Saugus,02620000,"   1,417",  17.0,"      2,691",  47.9,  52.1,   4.6,  17.3,  25.2
Savoy,02630000,      37,   7.2,         52,  51.9,  48.1,   0.0,  19.2,  53.8
Scituate,02640000,"   1,525",  18.8,"      3,032",  49.7,  50.3,   0.8,  13.2,  10.7
Seekonk,02650000,     796,  17.0,"      1,976",  50.8,  49.1,   2.9,  16.1,  14.0
Seven Hills Charter Public (District),04860000,     229,  24.2,        661,  47.8,  52.2,  27.8,  15.6,  54.6
Sharon,02660000,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,   0.0
Shawsheen Valley Regional Vocational Technical,08710000,     770,  16.4,"      1,334",  42.7,  57.3,   0.0,  23.3,  12.5
Sherborn,02690000,     124,  19.6,        443,  46.7,  53.3,   1.6,  13.5,   3.8
Shrewsbury,02710000,"   2,497",  21.2,"      6,248",  49.6,  50.3,   4.2,  13.1,   9.3
Shutesbury,02720000,      46,  13.4,        123,  55.3,  44.7,   0.8,  18.7,  26.8
Silver Hill Horace Mann Charter (District),04770000,     226,  22.1,        557,  49.2,  50.8,   4.5,  17.6,  23.7
Silver Lake,07600000,     763,  19.7,"      1,886",  47.8,  52.2,   0.2,  15.6,  15.3
Sizer School: A North Central Charter Essential (District),04740000,     392,  12.5,        367,  52.0,  48.0,   0.5,  22.6,  30.0
Somerset,02730000,     896,  22.1,"      1,836",  48.4,  51.6,   0.9,  13.0,  21.1
Somerset Berkley Regional School District,07630000,     574,  14.6,"      1,014",  53.3,  46.7,   0.2,   9.7,  13.4
Somerville,02740000,"   1,848",  16.7,"      4,951",  46.2,  53.8,  20.6,  20.8,  38.6
South Hadley,02780000,     702,  15.6,"      1,896",  49.8,  50.2,   4.0,  16.7,  25.3
South Middlesex Regional Vocational Technical,08290000,     453,  13.7,        700,  43.4,  56.6,   7.6,  42.1,  36.7
South Shore Charter Public (District),04880000,     368,  17.5,        757,  49.9,  50.1,  15.3,  15.6,  14.8
South Shore Regional Vocational Technical,08730000,     529,  13.4,        620,  32.9,  67.1,   0.0,  30.8,  22.4
Southampton,02750000,     185,  18.5,        523,  47.8,  52.2,   1.9,  20.8,  14.0
Southborough,02760000,     475,  17.1,"      1,336",  48.1,  51.9,   6.3,  14.6,   4.4
Southbridge,02770000,"   1,027",  17.2,"      2,205",  48.8,  51.2,  23.0,  20.1,  65.4
Southeastern Regional Vocational Technical,08720000,     704,  16.5,"      1,413",  48.8,  51.2,   1.6,  19.3,  36.5
Southern Berkshire,07650000,     564,  12.7,        716,  48.2,  51.8,   1.8,  15.2,  29.1
Southern Worcester County Regional Vocational Technical,08760000,     951,  14.0,"      1,121",  41.9,  58.1,   0.0,  14.3,  25.9
Southwick-Tolland-Granville Regional School District,07660000,     921,  14.4,"      1,559",  49.5,  50.5,   2.1,  19.3,  21.6
Spencer-E Brookfield,07670000,     636,  16.5,"      1,495",  46.6,  53.4,   1.1,  20.7,  31.7
Springfield,02810000,"  14,864",  17.4,"     25,941",  47.7,  52.3,  16.4,  21.0,  73.7
Springfield Preparatory Charter School (District),35100000,      31,  25.7,        156,  50.6,  49.4,  24.4,  13.5,  64.7
Stoneham,02840000,"   1,258",  17.4,"      2,395",  49.3,  50.7,   3.8,  17.5,  15.7
Stoughton,02850000,"   1,934",  16.9,"      3,649",  48.0,  52.0,   4.9,  14.7,  26.8
Sturbridge,02870000,     241,  22.6,        923,  43.6,  56.4,   0.3,  13.0,  15.2
Sturgis Charter Public (District),04890000,     517,  14.1,        809,  58.8,  41.2,   0.1,  12.7,  11.2
Sudbury,02880000,     987,  21.6,"      2,818",  47.6,  52.4,   1.4,  16.1,   5.0
Sunderland,02890000,     169,  18.8,        259,  43.6,  56.4,   6.6,  18.1,  29.7
Sutton,02900000,     510,  20.9,"      1,461",  49.7,  50.3,   1.0,  17.5,   9.0
Swampscott,02910000,"   1,425",  16.0,"      2,265",  49.7,  50.3,   3.7,  14.9,  13.7
Swansea,02920000,"   1,175",  17.3,"      2,083",  47.1,  52.9,   0.3,  12.0,  19.6
TEC Connections Academy Commonwealth Virtual School District,39020000,     421,  33.2,"      1,441",  57.8,  42.1,   2.1,  20.1,  37.5
Tantasqua,07700000,"   1,208",  14.7,"      1,846",  50.3,  49.7,   0.2,  10.4,  17.4
Taunton,02930000,"   3,252",  20.4,"      8,257",  48.8,  51.2,   4.5,  19.1,  41.4
Tewksbury,02950000,"   1,447",  20.5,"      3,564",  48.6,  51.4,   1.7,  16.3,  13.5
Tisbury,02960000,     163,  17.1,        326,  46.6,  53.4,  27.3,  13.8,  28.5
Topsfield,02980000,     181,  15.0,        629,  50.9,  49.1,   0.0,  18.9,   6.0
Tri-County Regional Vocational Technical,08780000,     585,  17.0,"      1,003",  44.7,  55.2,   0.3,  27.5,  19.5
Triton,07730000,"   1,216",  18.6,"      2,597",  49.4,  50.6,   0.8,  14.7,  19.1
Truro,03000000,      87,  13.8,        115,  53.9,  46.1,   0.0,  20.0,  20.0
Tyngsborough,03010000,"   1,029",  18.5,"      1,743",  48.5,  51.5,   1.8,  15.0,  12.7
UP Academy Charter School of Boston (District),04800000,     128,  22.4,        456,  45.2,  54.8,  16.9,  19.3,  62.9
UP Academy Charter School of Dorchester (District),35050000,     212,  22.5,        749,  50.9,  49.1,  21.8,  20.6,  59.9
Up-Island Regional,07740000,     191,  15.4,        388,  44.8,  55.2,   4.9,  28.1,  17.8
Upper Cape Cod Regional Vocational Technical,08790000,     319,  15.4,        690,  38.3,  61.7,   0.0,  15.9,  22.5
Uxbridge,03040000,     679,  19.1,"      1,812",  46.1,  53.9,   1.3,  14.6,  18.1
Veritas Preparatory Charter School (District),04980000,      83,  27.7,        308,  49.0,  51.0,  10.7,  20.8,  69.2
Wachusett,07750000,"   3,234",  18.7,"      7,396",  49.6,  50.4,   1.5,  14.1,   9.9
Wakefield,03050000,"   1,414",  18.6,"      3,536",  49.7,  50.3,   1.9,  16.0,  12.4
Wales,03060000,      39,  20.4,        165,  47.3,  52.7,   0.0,  13.9,  28.5
Walpole,03070000,"   1,359",  19.4,"      3,896",  49.4,  50.5,   3.0,  13.3,  10.0
Waltham,03080000,"   3,173",  16.7,"      5,595",  47.3,  52.7,  21.0,  16.7,  27.9
Ware,03090000,     408,  19.8,"      1,274",  48.5,  51.5,   1.3,  16.2,  47.8
Wareham,03100000,"   1,680",  15.9,"      2,487",  47.9,  52.1,   1.0,  25.7,  48.1
Watertown,03140000,"   1,131",  15.6,"      2,604",  49.2,  50.8,  10.8,  20.8,  22.7
Wayland,03150000,"   1,150",  16.7,"      2,669",  48.6,  51.4,   3.0,  18.9,   5.1
Webster,03160000,     710,  20.4,"      1,876",  49.0,  51.0,   6.2,  21.3,  49.5
Wellesley,03170000,"   2,011",  17.3,"      5,037",  50.5,  49.5,   2.0,  15.5,   5.5
Wellfleet,03180000,      83,  13.6,        124,  52.4,  47.6,   1.6,  24.2,  34.7
West Boylston,03220000,     557,  16.0,        915,  50.6,  49.4,   2.3,  15.3,  17.8
West Bridgewater,03230000,     822,  18.6,"      1,311",  52.6,  47.4,   0.8,   9.6,  15.6
West Springfield,03320000,"   1,709",  17.6,"      4,136",  48.2,  51.8,  10.9,  18.4,  44.3
Westborough,03210000,"   1,893",  17.6,"      3,867",  49.0,  51.0,   8.7,  15.3,   8.1
Westfield,03250000,"   2,818",  18.3,"      5,645",  48.6,  51.4,   4.9,  17.9,  35.3
Westford,03260000,"   2,126",  18.9,"      5,168",  49.1,  50.9,   2.2,  13.8,   5.2
Westhampton,03270000,      50,  16.9,        135,  49.6,  50.4,   0.7,  21.5,  13.3
Weston,03300000,"   1,125",  16.1,"      2,179",  49.2,  50.8,   4.3,  16.2,   4.7
Westport,03310000,     771,  16.6,"      1,454",  45.0,  55.0,   1.0,  18.6,  22.2
Westwood,03350000,"   1,403",  18.7,"      3,181",  49.6,  50.3,   0.8,  17.4,   4.8
Weymouth,03360000,"   2,529",  18.9,"      6,360",  48.8,  51.2,   3.7,  16.6,  26.2
Whately,03370000,     101,  18.0,        134,  47.8,  52.2,   0.0,  17.9,  22.4
Whitman-Hanson,07800000,"   1,431",  21.7,"      4,011",  48.9,  51.1,   0.7,  14.7,  17.8
Whittier Regional Vocational Technical,08850000,     705,  13.5,"      1,311",  45.2,  54.8,   0.6,  24.8,  26.5
Williamsburg,03400000,      82,  16.2,        160,  46.3,  53.8,   1.3,  19.4,  15.6
Williamstown,03410000,     192,  16.8,        443,  46.0,  54.0,   0.2,  13.3,  17.8
Wilmington,03420000,"   1,865",  18.0,"      3,428",  48.9,  51.1,   0.9,  18.5,   9.3
Winchendon,03430000,     544,  17.9,"      1,299",  47.4,  52.6,   1.2,  19.6,  40.5
Winchester,03440000,"   2,388",  19.3,"      4,626",  49.8,  50.2,   3.4,  17.2,   4.7
Winthrop,03460000,     699,  20.5,"      2,015",  48.5,  51.5,   8.7,  17.3,  26.1
Woburn,03470000,"   2,795",  16.6,"      4,640",  50.0,  50.0,   6.6,  16.3,  24.1
Worcester,03480000,"  10,839",  17.7,"     25,721",  48.5,  51.5,  35.1,  19.1,  56.0
Worthington,03490000,      50,   6.4,         58,  55.2,  44.8,   0.0,  20.7,  32.8
Wrentham,03500000,     421,  19.9,"      1,054",  47.9,  52.1,   1.3,  16.1,  10.5
State Totals,00000000," 448,895",  18.1,"    958,339",  48.7,  51.3,  10.0,  17.4,  29.6
