2017-18 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Old Rochester,07400000,      90.7, 100.0,  13.9 to 1,  90.2,  96.7
Old Sturbridge Academy Charter Public School (District),35150000,      14.2, 100.0,  11.2 to 1,  15.7,  78.9
Orange,02230000,      45.0, 100.0,  13.2 to 1,  73.4,  88.9
Orleans,02240000,      21.6, 100.0,  10.3 to 1,  92.1,  97.7
Oxford,02260000,     123.1, 100.0,  13.7 to 1,  90.2,  89.0
Palmer,02270000,     119.0, 100.0,  11.8 to 1,  86.9,  95.8
Pathfinder Regional Vocational Technical,08600000,      73.7,  91.9,   8.3 to 1,  82.4,  85.8
Paulo Freire Social Justice Charter School (District),35010000,      35.0,  57.9,   7.7 to 1,  40.8,  74.3
Peabody,02290000,     439.6,  98.1,  13.4 to 1,  86.7,  94.0
Pelham,02300000,      11.5,  98.3,  11.0 to 1,  67.0,  91.3
Pembroke,02310000,     198.3,  99.5,  14.6 to 1,  88.8,  93.9
Pentucket,07450000,     194.3, 100.0,  12.7 to 1,  87.2,  93.2
Petersham,02340000,      11.3,  82.5,  10.3 to 1,  79.4,  96.9
Phoenix Academy Public Charter High School Springfield (District),35080000,      13.3,  63.9,  15.3 to 1,   0.0,  62.4
Phoenix Charter Academy (District),04930000,      16.0,  43.8,  12.3 to 1,  31.3,  68.8
Pioneer Charter School of Science (District),04940000,      66.5,  71.0,  10.0 to 1,  19.4,  87.9
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      30.7,  65.8,  11.6 to 1,  16.3,  71.5
Pioneer Valley,07500000,      74.0,  97.9,  10.7 to 1,  89.1,  96.6
Pioneer Valley Chinese Immersion Charter (District),04970000,      63.6,  72.2,   7.8 to 1,  50.3,  78.3
Pioneer Valley Performing Arts Charter Public (District),04790000,      44.1,  67.3,   9.1 to 1,  81.3,  72.8
Pittsfield,02360000,     463.3,  98.5,  11.8 to 1,  84.4,  88.7
Plainville,02380000,      48.3,  97.9,  14.6 to 1,  81.1,  97.1
Plymouth,02390000,     637.2,  98.5,  11.8 to 1,  82.7,  93.5
Plympton,02400000,      18.3, 100.0,  11.3 to 1,  88.5, 100.0
Prospect Hill Academy Charter (District),04870000,     111.1,  81.6,  10.2 to 1,  49.9,  88.8
Provincetown,02420000,      19.1, 100.0,   6.3 to 1,  80.6,  85.9
Quabbin,07530000,     147.5,  99.3,  15.1 to 1,  85.8,  96.6
Quaboag Regional,07780000,     104.2,  91.4,  13.0 to 1,  84.3,  90.4
Quincy,02430000,     706.1,  99.0,  13.3 to 1,  89.3,  92.8
