2019-20 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Phoenix Academy Public Charter High School Lawrence (District),35180000,      15.1,  86.8,   8.2 to 1,  13.2,  73.5,  46.7
Phoenix Academy Public Charter High School Springfield (District),35080000,      12.5,  84.0,  15.0 to 1,   8.0,  92.0,   8.3
Phoenix Charter Academy (District),04930000,      15.6,  69.2,  13.8 to 1,  24.4,  80.8,  41.2
Pioneer Charter School of Science (District),04940000,      75.4,  78.8,  10.5 to 1,  18.2,  71.7,  61.3
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      33.9,  78.5,  10.6 to 1,  49.6,  63.1,  53.7
Pioneer Valley,07500000,      59.8,  99.7,  11.7 to 1,  86.0,  96.0,  89.2
Pioneer Valley Chinese Immersion Charter (District),04970000,      73.2,  72.0,   7.4 to 1,  60.8,  86.5,  58.2
Pioneer Valley Performing Arts Charter Public (District),04790000,      44.9,  70.6,   8.8 to 1,  66.1,  73.3,  47.3
Pittsfield,02360000,     491.1,  91.2,  10.7 to 1,  72.5,  84.5,  88.0
Plainville,02380000,      52.0, 100.0,  13.6 to 1,  86.9, 100.0, 100.0
Plymouth,02390000,     633.7,  98.4,  11.6 to 1,  84.8,  94.9,  94.6
Plympton,02400000,      17.3, 100.0,  12.7 to 1, 100.0, 100.0, 100.0
Prospect Hill Academy Charter (District),04870000,     103.8,  80.7,  10.7 to 1,  50.8,  93.3,  58.9
Provincetown,02420000,      19.4,  94.8,   6.8 to 1,  89.7,  89.7,  90.0
Quabbin,07530000,     142.0,  99.3,  15.1 to 1,  87.5,  97.2,  92.6
Quaboag Regional,07780000,      99.9,  90.4,  12.3 to 1,  84.2,  92.7,  85.7
Quincy,02430000,     708.7,  99.6,  13.6 to 1,  86.2,  93.7,  96.8
Ralph C Mahar,07550000,      63.3,  96.2,   9.9 to 1,  93.0,  95.2,  72.0
Randolph,02440000,     248.6,  99.2,  11.0 to 1,  87.4,  92.8,  95.3
Reading,02460000,     315.2,  99.7,  13.2 to 1,  88.5,  95.1,  94.8
Revere,02480000,     569.5,  98.6,  13.2 to 1,  77.4,  94.7,  97.0
Richmond,02490000,      20.1,  99.0,   8.5 to 1,  74.1,  92.5,  72.0
Rising Tide Charter Public (District),04830000,      58.2,  79.0,  11.3 to 1,  59.8,  81.1,  59.4
River Valley Charter (District),04820000,      21.9,  78.1,  13.2 to 1,  72.6,  77.1,  60.9
Rochester,02500000,      37.7, 100.0,  13.5 to 1,  92.6,  97.9, 100.0
Rockland,02510000,     176.4, 100.0,  12.9 to 1,  81.2,  92.8,  92.7
Rockport,02520000,      90.1,  98.9,   9.4 to 1,  81.2,  91.3,  85.3
Rowe,02530000,       8.3, 100.0,   8.8 to 1,  88.0, 100.0,  90.0
Roxbury Preparatory Charter (District),04840000,     128.0,  72.7,  12.3 to 1,  20.9,  85.4,  34.6
Sabis International Charter (District),04410000,      84.4,  85.1,  18.6 to 1,  70.4,  82.7,  75.0
Salem,02580000,     329.0,  97.3,  11.0 to 1,  74.7,  88.6,  90.0
Salem Academy Charter (District),04850000,      45.8,  85.8,  10.8 to 1,  59.7,  74.7,  71.2
Sandwich,02610000,     199.8,  98.4,  12.3 to 1,  82.2,  92.4,  91.4
Saugus,02620000,     210.9,  99.5,  12.4 to 1,  85.3,  94.4,  95.2
Savoy,02630000,       6.5,  84.6,   8.9 to 1,  84.6,  93.8,  44.4
Scituate,02640000,     244.6,  99.6,  12.2 to 1,  88.2,  96.6,  95.4
Seekonk,02650000,     161.7,  99.9,  12.9 to 1,  93.7,  96.3,  95.9
Seven Hills Charter Public (District),04860000,      35.8,  86.0,  18.7 to 1,  52.4,  72.0,  88.9
Sharon,02660000,     268.3,  99.4,  13.4 to 1,  88.9,  94.4,  93.8
Shawsheen Valley Regional Vocational Technical,08710000,     127.2,  98.4,   9.9 to 1,  91.6,  90.6,  92.4
Sherborn,02690000,      33.4,  97.0,  12.4 to 1,  88.0, 100.0,  84.8
Shrewsbury,02710000,     416.5,  99.3,  15.0 to 1,  86.6,  97.1,  94.0
Shutesbury,02720000,      15.9, 100.0,   7.8 to 1,  84.9,  93.7,  88.2
Silver Lake,07600000,     135.8,  99.3,  12.8 to 1,  88.8,  93.4,  96.6
Sizer School: A North Central Charter Essential (District),04740000,      40.0,  84.5,   8.9 to 1,  62.5,  76.8,  57.1
Somerset,02730000,     130.6, 100.0,  13.3 to 1,  90.7,  98.3,  98.5
Somerset Berkley Regional School District,07630000,      80.6, 100.0,  12.7 to 1,  90.1,  93.8,  95.3
Somerville,02740000,     445.1,  98.3,  11.1 to 1,  81.1,  93.4,  87.7
South Hadley,02780000,     148.1, 100.0,  12.8 to 1,  85.5,  94.4,  92.7
South Middlesex Regional Vocational Technical,08290000,      81.1,  92.6,   9.9 to 1,  82.6,  79.0,  92.7
South Shore Charter Public (District),04880000,      91.7,  83.3,  10.9 to 1,  64.9,  81.4,  67.9
South Shore Regional Vocational Technical,08730000,      63.7,  95.3,  10.0 to 1,  81.2,  73.3,  87.5
Southampton,02750000,      38.4, 100.0,  12.8 to 1,  94.8, 100.0, 100.0
Southborough,02760000,     105.7, 100.0,  12.1 to 1,  95.3,  98.8,  94.7
Southbridge,02770000,     160.7,  94.1,  11.9 to 1,  58.5,  80.1,  84.2
Southeastern Regional Vocational Technical,08720000,     122.3,  97.5,  11.9 to 1,  87.7,  86.5,  89.4
Southern Berkshire,07650000,      76.9,  99.7,   8.8 to 1,  89.6,  93.4,  93.8
Southern Worcester County Regional Vocational Technical,08760000,     112.0,  96.4,  10.2 to 1,  84.8,  86.6,  99.1
Southwick-Tolland-Granville Regional School District,07660000,     127.5, 100.0,  11.7 to 1,  91.0,  97.0,  96.3
Spencer-E Brookfield,07670000,     112.1,  99.6,  12.3 to 1,  88.3,  92.0,  94.1
Springfield,02810000,"   2,040.2",  93.5,  12.3 to 1,  73.8,  84.2,  75.6
Springfield Preparatory Charter School (District),35100000,      27.4,  78.3,  11.8 to 1,  35.0,  90.0,  60.7
Stoneham,02840000,     197.3, 100.0,  12.0 to 1,  80.0,  93.7,  96.2
Stoughton,02850000,     304.2, 100.0,  11.5 to 1,  86.0,  93.8,  95.8
Sturbridge,02870000,      69.5, 100.0,  12.8 to 1,  91.4,  95.7,  97.1
Sturgis Charter Public (District),04890000,      89.5,  50.5,   9.3 to 1,  60.9,  84.5,  37.0
Sudbury,02880000,     195.9, 100.0,  13.6 to 1,  92.3,  99.0,  99.5
Sunderland,02890000,      21.8,  95.4,  10.2 to 1,  86.2,  95.4,  92.6
Sutton,02900000,     100.9,  99.8,  13.5 to 1,  91.0,  97.0,  91.6
Swampscott,02910000,     184.7, 100.0,  12.0 to 1,  91.6,  97.3,  96.9
Swansea,02920000,     159.1,  99.8,  13.2 to 1,  91.5,  94.6,  95.7
TEC Connections Academy Commonwealth Virtual School District,39020000,      65.8,  98.5,  33.2 to 1,  75.6,  80.3,  83.8
Tantasqua,07700000,     137.1, 100.0,  13.1 to 1,  87.6,  92.6,  95.1
Taunton,02930000,     541.0,  99.6,  14.9 to 1,  88.4,  94.5,  96.0
Tewksbury,02950000,     261.3, 100.0,  12.8 to 1,  90.4,  96.1,  97.0
Tisbury,02960000,      38.4,  99.5,   7.8 to 1,  82.3,  83.8,  97.9
Topsfield,02980000,      55.5, 100.0,  11.7 to 1,  86.3,  98.9,  98.3
Tri-County Regional Vocational Technical,08780000,      86.2,  97.7,  11.2 to 1,  89.8,  93.3,  92.2
Triton,07730000,     195.2, 100.0,  12.1 to 1,  89.1,  93.0,  96.0
Truro,03000000,      15.7,  96.2,   7.2 to 1,  83.4, 100.0,  88.9
Tyngsborough,03010000,     128.1, 100.0,  12.7 to 1,  91.2,  95.4,  93.2
UP Academy Charter School of Boston (District),04800000,      40.5,  77.8,  10.4 to 1,  25.9,  55.5,  73.2
UP Academy Charter School of Dorchester (District),35050000,      51.5,  78.6,  13.8 to 1,  13.6,  72.8,  68.6
Up-Island Regional,07740000,      52.3,  97.6,   7.9 to 1,  76.3,  84.6,  92.1
Upper Cape Cod Regional Vocational Technical,08790000,      71.8,  91.6,   9.8 to 1,  81.9,  79.1,  83.3
Uxbridge,03040000,     130.1, 100.0,  13.2 to 1,  86.2,  95.3,  91.7
Veritas Preparatory Charter School (District),04980000,      34.9,  57.3,  10.5 to 1,  37.2,  91.4,  16.2
Wachusett,07750000,     449.0, 100.0,  15.6 to 1,  90.1,  93.3,  98.1
Wakefield,03050000,     263.8, 100.0,  13.2 to 1,  90.4,  96.6,  95.6
Wales,03060000,      10.4, 100.0,  13.9 to 1,  98.1,  98.1, 100.0
Walpole,03070000,     289.7, 100.0,  12.7 to 1,  89.0,  97.0,  97.4
Waltham,03080000,     529.7,  99.6,  10.8 to 1,  77.1,  92.5,  93.9
Ware,03090000,      94.7,  99.5,  12.0 to 1,  85.7,  92.6,  94.8
Wareham,03100000,     184.1,  99.3,  11.6 to 1,  85.8,  96.2,  91.9
Watertown,03140000,     268.7,  98.9,   9.9 to 1,  80.3,  96.0,  93.6
Wayland,03150000,     220.8,  99.8,  12.3 to 1,  89.6,  97.1,  94.3
Webster,03160000,     139.3,  99.3,  13.2 to 1,  86.2,  92.8,  93.2
Wellesley,03170000,     393.2,  99.6,  12.4 to 1,  88.7,  95.8,  95.7
Wellfleet,03180000,      11.2, 100.0,   9.5 to 1,  86.2, 100.0, 100.0
West Boylston,03220000,      82.5, 100.0,  11.0 to 1,  82.3,  95.2,  93.1
West Bridgewater,03230000,      91.8, 100.0,  15.0 to 1,  89.1,  97.8,  94.8
West Springfield,03320000,     327.8,  99.7,  12.5 to 1,  90.9,  98.5,  95.6
Westborough,03210000,     331.5,  99.1,  11.9 to 1,  82.7,  92.6,  96.1
Westfield,03250000,     430.2,  97.4,  12.2 to 1,  88.4,  95.2,  93.3
Westford,03260000,     364.8,  99.7,  13.5 to 1,  92.3,  96.5,  96.3
Westhampton,03270000,      14.6, 100.0,   8.2 to 1,  93.2,  93.2,  94.1
Weston,03300000,     180.4,  99.0,  11.3 to 1,  90.1,  94.3,  93.0
Westport,03310000,     113.6, 100.0,  12.5 to 1,  89.7,  94.3,  90.0
Westwood,03350000,     242.1,  99.6,  12.4 to 1,  86.7,  94.1,  98.0
Weymouth,03360000,     450.4,  99.0,  12.8 to 1,  86.5,  94.6,  95.6
Whately,03370000,      12.4, 100.0,  10.2 to 1, 100.0, 100.0, 100.0
Whitman-Hanson,07800000,     242.0, 100.0,  15.5 to 1,  88.6,  96.3,  97.2
Whittier Regional Vocational Technical,08850000,     113.8,  98.2,  11.0 to 1,  90.8,  85.9,  95.0
Williamsburg,03400000,      16.7, 100.0,   8.2 to 1,  88.0, 100.0,  84.2
Wilmington,03420000,     272.6, 100.0,  11.6 to 1,  89.9,  97.8,  94.9
Winchendon,03430000,      88.1, 100.0,  13.9 to 1,  79.6,  91.7,  96.7
Winchester,03440000,     356.3,  99.5,  13.1 to 1,  82.2,  94.7,  96.6
Winthrop,03460000,     149.5,  99.2,  13.1 to 1,  76.2,  85.7,  95.5
Woburn,03470000,     365.4, 100.0,  12.2 to 1,  90.6,  95.3,  94.9
Worcester,03480000,"   1,889.0",  96.3,  13.3 to 1,  78.4,  92.0,  85.6
Worthington,03490000,       7.4, 100.0,  11.9 to 1,  73.0,  83.8,  88.9
Wrentham,03500000,      78.7, 100.0,  12.1 to 1,  91.1,  97.5, 100.0
State Totals,00000000,"  75,152.1",  97.0,  12.6 to 1,  82.6,  92.6,  90.3
