2019-20 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      36.8,  91.9,  10.5 to 1,  76.6,  91.6,  78.0
Erving,00910000,      19.2,  97.4,   6.9 to 1,  92.2,  97.4,  90.5
Essex North Shore Agricultural and Technical School District,08170000,     124.8,  95.3,  12.0 to 1,  76.2,  79.4,  86.5
Everett,00930000,     550.8,  99.3,  12.8 to 1,  78.6,  90.0,  96.3
Excel Academy Charter (District),04100000,     118.0,  78.3,  11.6 to 1,  43.0,  82.1,  39.9
Fairhaven,00940000,     146.0, 100.0,  14.0 to 1,  92.2,  99.0,  98.0
Fall River,00950000,     707.9,  94.6,  14.4 to 1,  74.1,  82.2,  88.9
Falmouth,00960000,     288.5,  99.0,  11.3 to 1,  88.2,  94.7,  97.7
Farmington River Reg,06620000,      12.2, 100.0,   8.6 to 1,  91.8,  91.8, 100.0
Fitchburg,00970000,     380.8,  97.9,  14.0 to 1,  80.7,  91.9,  94.3
Florida,00980000,      10.8,  81.5,   8.8 to 1,  90.7,  96.3,  76.9
Four Rivers Charter Public (District),04130000,      20.8,  59.1,  10.4 to 1,  83.1,  95.2,  39.4
Foxborough,00990000,     204.9, 100.0,  12.5 to 1,  90.0,  97.2,  92.6
Foxborough Regional Charter (District),04460000,     134.5,  86.3,  12.3 to 1,  58.7,  77.3,  70.3
Framingham,01000000,     703.2,  96.2,  12.9 to 1,  76.1,  93.5,  87.9
Francis W. Parker Charter Essential (District),04780000,      45.0,  68.0,   8.8 to 1,  57.7,  97.8,  59.2
Franklin,01010000,     394.5,  99.6,  12.8 to 1,  88.4,  97.2,  96.4
Franklin County Regional Vocational Technical,08180000,      51.6,  95.2,   9.8 to 1,  84.3,  87.2,  83.6
Freetown-Lakeville,06650000,     199.9, 100.0,  14.2 to 1,  86.6,  94.6,  97.5
Frontier,06700000,      52.3,  99.2,  12.5 to 1,  89.4,  90.4,  76.7
Gardner,01030000,     173.6,  98.5,  13.5 to 1,  81.3,  86.2,  93.0
Gateway,06720000,      81.3,  97.5,  10.2 to 1,  89.5,  97.5,  85.1
Georgetown,01050000,     107.3,  99.1,  12.7 to 1,  84.5,  94.4,  90.9
Gill-Montague,06740000,      85.9, 100.0,  10.8 to 1,  88.1,  92.3,  94.2
Global Learning Charter Public (District),04960000,      45.5,  91.2,  11.1 to 1,  61.5,  81.8,  81.6
Gloucester,01070000,     252.6,  98.4,  11.3 to 1,  84.3,  95.6,  95.7
Gosnold,01090000,       0.0,   0.0,N/A,,,
Grafton,01100000,     237.9,  99.5,  13.5 to 1,  86.9,  95.0,  96.6
Granby,01110000,      60.4, 100.0,  12.5 to 1,  90.0,  98.3,  90.6
Greater Fall River Regional Vocational Technical,08210000,     128.0,  98.0,  11.2 to 1,  89.8,  87.1,  89.7
Greater Lawrence Regional Vocational Technical,08230000,     151.4,  92.1,  10.5 to 1,  78.5,  81.8,  87.0
Greater Lowell Regional Vocational Technical,08280000,     188.0,  98.9,  12.1 to 1,  91.0,  86.7,  96.8
Greater New Bedford Regional Vocational Technical,08250000,     173.9,  99.4,  12.2 to 1,  95.4,  92.8,  90.8
Greenfield,01140000,     153.9,  97.9,  11.2 to 1,  82.4,  91.6,  92.3
Greenfield Commonwealth Virtual District,39010000,      42.0, 100.0,  15.8 to 1,  71.2,  86.9,  89.1
Groton-Dunstable,06730000,     184.3, 100.0,  12.8 to 1,  84.5,  96.5,  95.8
Hadley,01170000,      50.0, 100.0,  10.6 to 1,  80.0,  84.0,  94.1
Halifax,01180000,      35.0, 100.0,  16.7 to 1,  94.3, 100.0, 100.0
Hamilton-Wenham,06750000,     146.6, 100.0,  12.5 to 1,  88.6,  97.5,  93.8
Hampden Charter School of Science East (District),04990000,      43.5,  72.4,  12.0 to 1,  67.8,  72.4,  65.2
Hampden Charter School of Science West (District),35160000,      26.2,  64.9,  10.0 to 1,  26.7,  59.9,  67.9
Hampden-Wilbraham,06800000,     211.6, 100.0,  14.2 to 1,  88.8,  96.7,  99.1
Hampshire,06830000,      74.6,  97.3,   9.8 to 1,  89.3,  91.7,  87.0
Hancock,01210000,       9.0,  88.9,   5.2 to 1,  88.9,  77.8,  66.7
Hanover,01220000,     194.3,  99.7,  13.6 to 1,  88.1,  96.9,  93.0
Harvard,01250000,      92.0, 100.0,  11.4 to 1,  97.8,  96.7,  94.8
Hatfield,01270000,      41.7,  96.6,  10.3 to 1,  84.2,  92.6,  91.3
Haverhill,01280000,     598.9,  98.7,  13.5 to 1,  80.4,  94.1,  96.1
Hawlemont,06850000,      12.0, 100.0,  11.9 to 1,  83.3,  84.2,  84.6
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      17.0,  35.3,  12.2 to 1,  23.5,  88.2,  28.6
Hill View Montessori Charter Public (District),04550000,      21.0,  66.7,  14.6 to 1,  52.4,  85.7,  68.2
Hilltown Cooperative Charter Public (District),04500000,      19.7,  87.6,  11.1 to 1,  77.9, 100.0,  54.2
Hingham,01310000,     299.8,  99.7,  14.2 to 1,  92.3,  97.5,  96.8
Holbrook,01330000,      92.9,  98.9,  14.1 to 1,  86.1,  93.7,  94.8
Holland,01350000,      16.4, 100.0,  14.1 to 1, 100.0, 100.0, 100.0
