2009-10 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Barnstable Community Horace Mann Charter Public (District),04270000,      25.4, 100.0,      81, 100.0,  13.2 to 1
Barnstable Horace Mann Charter (District),04230000,      57.1,  98.2,     272, 100.0,  13.9 to 1
Bedford,00230000,     197.5,  98.4,     775,  98.5,  12.3 to 1
Belchertown,00240000,     166.6, 100.0,     709, 100.0,  15.7 to 1
Bellingham,00250000,     172.1,  98.3,     683,  96.9,  15.3 to 1
Belmont,00260000,     253.1,  96.0,"   1,163",  95.5,  15.7 to 1
Benjamin Banneker Charter Public (District),04200000,      22.0, 100.0,      83, 100.0,  14.8 to 1
Benjamin Franklin Classical Charter Public (District),04470000,      30.7,  86.6,     213,  91.5,  14.1 to 1
Berkley,00270000,      65.5, 100.0,     304, 100.0,  14.1 to 1
Berkshire Arts and Technology Charter Public (District),04140000,      22.2,  49.5,      67,  95.5,   9.7 to 1
Berkshire Hills,06180000,     125.3,  97.6,     480,  95.6,  11.0 to 1
Berlin,00280000,      19.4, 100.0,      85, 100.0,  10.9 to 1
Berlin-Boylston,06200000,      36.8, 100.0,     142, 100.0,  12.1 to 1
Beverly,00300000,     299.9,  98.8,"   1,079",  99.6,  14.2 to 1
Billerica,00310000,     403.5,  97.0,"   1,405",  92.2,  14.7 to 1
Blackstone Valley Regional Vocational Technical,08050000,      91.4,  92.7,     284,  90.5,  12.4 to 1
Blackstone-Millville,06220000,     141.5,  99.0,     560,  98.8,  14.6 to 1
Blue Hills Regional Vocational Technical,08060000,      78.2,  93.6,     203,  94.1,  10.8 to 1
Boston,00350000,"   4,169.7",  98.8,"  16,438",  96.2,  13.3 to 1
Boston Collegiate Charter (District),04490000,      39.0,  52.1,     157,  98.1,  13.1 to 1
Boston Day and Evening Academy Charter (District),04240000,      21.8,  95.4,      65, 100.0,  12.8 to 1
Boston Preparatory Charter Public (District),04160000,      31.2,  42.3,      85,  76.5,  10.7 to 1
Boston Renaissance Charter Public (District),04810000,      95.0,  86.3,     346,  96.8,  12.7 to 1
Bourne,00360000,     157.9,  98.1,     777,  96.9,  15.0 to 1
Boxborough,00370000,      37.7, 100.0,     176, 100.0,  13.1 to 1
Boxford,00380000,      64.2, 100.0,     265, 100.0,  14.3 to 1
Boylston,00390000,      26.4, 100.0,     143, 100.0,  14.3 to 1
Braintree,00400000,     379.2,  98.7,"   1,821",  99.5,  14.2 to 1
Brewster,00410000,      42.4, 100.0,     145, 100.0,  11.9 to 1
Bridgewater-Raynham,06250000,     291.0, 100.0,"   1,249",  98.7,  19.9 to 1
Brimfield,00430000,      28.8, 100.0,     129, 100.0,  11.9 to 1
Bristol County Agricultural,09100000,      33.4,  91.0,      75, 100.0,  13.2 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      91.0,  98.9,     316, 100.0,  13.2 to 1
Brockton,00440000,"   1,099.8",  94.8,"   3,782",  90.0,  14.1 to 1
Brookfield,00450000,      26.2,  98.1,     103, 100.0,  11.6 to 1
Brookline,00460000,     512.6,  99.3,"   1,685",  99.5,  12.6 to 1
Burlington,00480000,     292.8,  97.6,"   1,520",  97.1,  12.7 to 1
Cambridge,00490000,     564.8,  96.9,"   2,096",  93.6,  10.5 to 1
Canton,00500000,     232.4,  98.5,     763,  99.3,  13.4 to 1
Cape Cod Lighthouse Charter (District),04320000,      19.5,  74.9,      51,  98.0,  11.7 to 1
Cape Cod Regional Vocational Technical,08150000,      67.7, 100.0,     185, 100.0,  10.1 to 1
Carlisle,00510000,      57.4,  99.0,     240,  97.5,  12.2 to 1
Carver,00520000,     134.8, 100.0,     650, 100.0,  13.7 to 1
Central Berkshire,06350000,     145.2,  99.3,     759,  98.6,  13.7 to 1
Chatham,00550000,      66.6,  98.5,     210, 100.0,  10.1 to 1
Chelmsford,00560000,     343.9,  99.1,"   1,504",  98.7,  15.8 to 1
Chelsea,00570000,     420.9,  99.5,"   1,446",  99.7,  13.4 to 1
Chesterfield-Goshen,06320000,      14.8,  93.2,      68,  92.6,  12.6 to 1
Chicopee,00610000,     620.5,  95.5,"   2,251",  94.2,  12.6 to 1
Christa McAuliffe Regional Charter Public (District),04180000,      22.4,  69.4,      62,  74.2,   9.0 to 1
City On A Hill Charter Public (District),04370000,      20.2,  46.5,      64,  98.4,  14.1 to 1
Clarksburg,00630000,      15.1,  95.4,      84,  78.6,  11.6 to 1
Clinton,00640000,     141.9,  97.9,     626,  97.9,  14.1 to 1
Codman Academy Charter Public (District),04380000,      15.1,  59.6,      27, 100.0,   8.3 to 1
Cohasset,00650000,     110.2,  98.2,     456,  99.3,  13.6 to 1
Community Charter School of Cambridge (District),04360000,      24.6,  83.4,     130, 100.0,  11.3 to 1
Community Day Charter Public (District),04400000,      34.6,  62.1,     103, 100.0,   9.6 to 1
Concord,00670000,     149.2, 100.0,     596,  99.8,  12.7 to 1
Concord-Carlisle,06400000,      89.8, 100.0,     312, 100.0,  13.9 to 1
Conservatory Lab Charter (District),04390000,      14.4,  52.8,      56,  76.8,  10.6 to 1
Conway,00680000,      12.6, 100.0,      68, 100.0,  13.9 to 1
Danvers,00710000,     259.1,  97.6,"   1,067",  98.8,  14.0 to 1
Dartmouth,00720000,     268.7,  96.0,"   1,120",  95.0,  14.9 to 1
Dedham,00730000,     219.6,  98.6,     987,  99.0,  13.3 to 1
Deerfield,00740000,      38.4, 100.0,     164, 100.0,  12.8 to 1
Dennis-Yarmouth,06450000,     278.4,  99.6,"   1,081",  97.5,  12.0 to 1
Dighton-Rehoboth,06500000,     219.2,  97.9,     963,  98.7,  14.8 to 1
Dorchester Collegiate Academy Charter (District),04750000,       2.2,  90.9,       7,  85.7,  18.2 to 1
Douglas,00770000,     112.8, 100.0,     492,  98.0,  15.7 to 1
Dover,00780000,      41.9, 100.0,     202, 100.0,  13.7 to 1
Dover-Sherborn,06550000,      99.0,  99.9,     451, 100.0,  11.6 to 1
Dracut,00790000,     241.0,  99.6,"   1,005",  99.0,  17.0 to 1
Dudley-Charlton Reg,06580000,     284.2,  98.6,"   1,307",  99.5,  15.3 to 1
Duxbury,00820000,     231.9,  98.3,"   1,010",  99.0,  14.2 to 1
East Bridgewater,00830000,     146.5, 100.0,     670,  99.9,  16.2 to 1
East Longmeadow,00870000,     204.3,  99.5,     461, 100.0,  14.0 to 1
Eastham,00850000,      21.6, 100.0,      78, 100.0,  10.4 to 1
Easthampton,00860000,     125.2,  99.2,     514,  99.8,  12.6 to 1
Easton,00880000,     259.6,  99.2,"   1,015",  99.0,  15.0 to 1
Edgartown,00890000,      37.3,  96.7,     161,  93.2,   8.8 to 1
Edward Brooke Charter (District),04280000,      36.0,  44.4,     116,  87.9,  12.2 to 1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      18.9,  96.8,      57,  96.5,  11.2 to 1
Erving,00910000,      12.6, 100.0,      72,  93.1,  13.8 to 1
Essex Agricultural Technical,09130000,      43.8, 100.0,     112, 100.0,  10.5 to 1
Everett,00930000,     415.5,  99.0,"   2,003",  99.1,  14.2 to 1
Excel Academy Charter (District),04100000,      17.8,  15.7,      24,  95.8,  11.9 to 1
Fairhaven,00940000,     138.4,  98.6,     587,  98.1,  14.4 to 1
Fall River,00950000,     696.9,  94.7,"   3,024",  93.8,  14.2 to 1
Falmouth,00960000,     307.9,  99.8,"   1,240", 100.0,  12.2 to 1
Farmington River Reg,06620000,      16.5, 100.0,      54, 100.0,   9.0 to 1
Fitchburg,00970000,     347.7,  98.9,"   1,124",  99.3,  14.4 to 1
Florida,00980000,      11.8,  94.9,      72,  76.4,   9.7 to 1
Four Rivers Charter Public (District),04130000,      19.1,  54.3,      66,  87.9,  10.1 to 1
Foxborough,00990000,     210.3,  98.6,     859,  98.8,  13.6 to 1
Foxborough Regional Charter (District),04460000,      77.4,  75.2,     241,  91.7,  14.7 to 1
Framingham,01000000,     647.7,  99.4,"   2,418",  98.8,  12.6 to 1
Francis W. Parker Charter Essential (District),04780000,      45.0,  69.0,      97, 100.0,   8.7 to 1
Franklin,01010000,     416.1,  96.0,"   1,639",  94.3,  14.7 to 1
Franklin County Regional Vocational Technical,08180000,      56.1, 100.0,     174, 100.0,   9.1 to 1
Freetown,01020000,      27.0,  96.3,     108,  95.4,  19.7 to 1
Freetown-Lakeville,06650000,     138.4, 100.0,     538,  99.8,  13.9 to 1
Frontier,06700000,      61.2,  98.4,     294,  97.6,  11.5 to 1
Gardner,01030000,     178.6,  98.9,     857,  99.4,  14.6 to 1
Gateway,06720000,      87.7,  99.1,     267,  99.3,  13.7 to 1
Georgetown,01050000,     109.6,  98.5,     485,  94.6,  15.4 to 1
Gill-Montague,06740000,      94.6,  97.4,     374,  96.0,  11.5 to 1
Global Learning Charter Public  (District),04960000,      28.5,  89.5,      98,  92.9,  15.3 to 1
Gloucester,01070000,     252.6,  97.2,     855,  99.3,  13.3 to 1
Gosnold,01090000,       1.0, 100.0,       5, 100.0,   4.0 to 1
Grafton,01100000,     200.2,  96.2,"   1,191",  98.4,  14.5 to 1
Granby,01110000,      82.1,  97.6,     350,  98.6,  13.7 to 1
Granville,01120000,      15.6, 100.0,      66, 100.0,  10.5 to 1
Greater Fall River Regional Vocational Technical,08210000,     124.0,  96.0,     385,  98.4,  10.9 to 1
Greater Lawrence Regional Vocational Technical,08230000,     126.9,  97.6,     262,  96.2,   9.4 to 1
Greater Lowell Regional Vocational Technical,08280000,     181.6,  98.4,     641, 100.0,  11.1 to 1
Greater New Bedford Regional Vocational Technical,08250000,     191.0,  94.3,     587, 100.0,  11.0 to 1
Greenfield,01140000,     105.4,  95.8,     405,  93.8,  14.2 to 1
Groton-Dunstable,06730000,     169.6,  98.9,     687,  99.1,  16.5 to 1
Hadley,01170000,      50.0,  98.0,     262, 100.0,  14.3 to 1
Halifax,01180000,      44.0, 100.0,     184, 100.0,  14.9 to 1
Hamilton-Wenham,06750000,     163.6,  97.9,     649,  95.2,  12.4 to 1
Hampden Charter School of Science (District),04990000,      14.5,  40.0,      95, 100.0,  13.1 to 1
Hampden-Wilbraham,06800000,     244.2,  99.6,"   1,023",  99.3,  14.7 to 1
Hampshire,06830000,      66.3,  98.5,     232,  97.8,  12.3 to 1
Hancock,01210000,       5.5,  58.2,      18,  61.1,   7.5 to 1
Hanover,01220000,     203.1,  98.0,     920,  98.5,  13.3 to 1
Harvard,01250000,      84.7, 100.0,     285, 100.0,  15.1 to 1
Harwich,01260000,     114.0,  99.1,     447,  95.1,  11.7 to 1
Hatfield,01270000,      38.5, 100.0,     168,  94.6,  11.8 to 1
Haverhill,01280000,     455.8,  95.6,"   2,100",  91.2,  15.0 to 1
Hawlemont,06850000,      12.5, 100.0,      74, 100.0,   8.7 to 1
Hill View Montessori Charter Public (District),04550000,      23.7,  66.3,      70,  90.0,  11.5 to 1
Hilltown Cooperative Charter  Public (District),04500000,      13.7,  83.6,      49, 100.0,  11.8 to 1
Hingham,01310000,     269.6, 100.0,"   1,337",  98.0,  15.1 to 1
Holbrook,01330000,      84.5,  94.1,     396,  96.0,  13.7 to 1
Holland,01350000,      19.0, 100.0,      81, 100.0,  13.2 to 1
Holliston,01360000,     215.1,  99.5,     938,  98.4,  13.3 to 1
Holyoke,01370000,     533.6,  93.5,"   1,621",  92.9,  11.1 to 1
Holyoke Community Charter (District),04530000,      45.0,  64.4,     139,  86.3,  15.7 to 1
Hopedale,01380000,      82.7,  98.8,     374,  99.7,  15.8 to 1
Hopkinton,01390000,     235.1,  99.6,"   1,047",  98.4,  14.7 to 1
Hudson,01410000,     225.8,  98.5,     759,  98.2,  13.6 to 1
Hull,01420000,      85.4, 100.0,     285, 100.0,  14.1 to 1
Innovation Academy Charter (District),04350000,      42.6,  39.9,     147,  97.3,  12.6 to 1
Ipswich,01440000,     149.0,  99.1,     621,  98.9,  14.3 to 1
KIPP Academy Lynn Charter (District),04290000,      26.0,  34.6,      37, 100.0,  13.5 to 1
King Philip,06900000,     118.0,  98.3,     467,  97.4,  17.6 to 1
Kingston,01450000,      66.8, 100.0,     259, 100.0,  17.7 to 1
Lakeville,01460000,      36.0, 100.0,     146, 100.0,  20.6 to 1
Lanesborough,01480000,      19.9, 100.0,      76, 100.0,  13.6 to 1
Lawrence,01490000,     928.8,  99.0,"   3,772",  97.7,  13.2 to 1
Lawrence Family Development Charter (District),04540000,      51.0,  76.5,     191,  92.1,  11.7 to 1
Lee,01500000,      74.8,  94.7,     285,  84.9,  11.2 to 1
Leicester,01510000,     122.0,  99.2,     478,  99.4,  15.4 to 1
Lenox,01520000,      69.0,  96.2,     358,  89.9,  12.0 to 1
Leominster,01530000,     424.9,  96.8,"   1,499",  97.6,  14.8 to 1
Leverett,01540000,      16.6,  95.9,      87,  90.8,   9.9 to 1
Lexington,01550000,     524.2,  99.6,"   1,800",  99.0,  11.8 to 1
Lincoln,01570000,     112.9,  99.1,     543,  99.1,   9.3 to 1
Lincoln-Sudbury,06950000,     124.8,  97.3,     385,  99.0,  12.9 to 1
Littleton,01580000,     100.0,  99.8,     427, 100.0,  16.1 to 1
Longmeadow,01590000,     233.5,  98.1,     840,  98.2,  13.3 to 1
Lowell,01600000,     969.7,  99.4,"   3,788",  98.8,  13.7 to 1
Lowell Community Charter Public (District),04560000,      79.0,  93.7,     366,  98.1,  12.0 to 1
Lowell Middlesex Academy Charter (District),04580000,       9.6,  27.1,      30, 100.0,  12.6 to 1
Ludlow,01610000,     216.4,  99.0,     850,  96.9,  14.1 to 1
Lunenburg,01620000,     120.4, 100.0,     433, 100.0,  14.1 to 1
Lynn,01630000,     901.4,  98.8,"   3,306",  89.4,  14.8 to 1
Lynnfield,01640000,     150.0,  99.5,     659,  98.8,  15.7 to 1
MATCH Charter Public School (District),04690000,      23.2,  25.8,      84,  86.9,  16.4 to 1
Ma Academy for Math and Science,04680000,       6.9,  85.7,      23,  87.0,  13.1 to 1
Malden,01650000,     429.8, 100.0,"   1,697",  99.1,  14.7 to 1
Manchester Essex Regional,06980000,     104.8,  97.3,     444,  95.7,  13.9 to 1
Mansfield,01670000,     299.0,  97.7,"   1,407",  99.3,  16.3 to 1
Marblehead,01680000,     235.9,  96.0,     927,  90.0,  13.7 to 1
Marblehead Community Charter Public (District),04640000,      20.5,  80.5,      85,  90.6,  11.2 to 1
Marion,01690000,      34.6,  97.1,     115, 100.0,  12.8 to 1
Marlborough,01700000,     350.7,  98.8,"   1,664",  98.2,  12.9 to 1
Marshfield,01710000,     325.4,  99.4,"   1,153",  98.4,  14.6 to 1
Martha's Vineyard Charter (District),04660000,      18.8,  71.9,      61,  91.8,   9.6 to 1
Marthas Vineyard,07000000,      73.5,  97.3,     263,  95.4,   9.5 to 1
Martin Luther King Jr. Charter School of Excellence (District),04920000,      31.8,  67.1,     183,  86.3,  11.8 to 1
Masconomet,07050000,     134.4,  99.4,     613,  98.9,  15.5 to 1
Mashpee,01720000,     146.3,  98.9,     573,  99.5,  12.7 to 1
Mattapoisett,01730000,      38.2,  97.4,     134, 100.0,  13.5 to 1
Maynard,01740000,      92.1,  97.2,     455,  97.8,  14.4 to 1
Medfield,01750000,     196.9, 100.0,     958,  99.9,  15.3 to 1
Medford,01760000,     339.9,  97.6,"   1,532",  97.0,  14.3 to 1
Medway,01770000,     189.2,  98.9,     615,  97.1,  14.2 to 1
Melrose,01780000,     237.9,  98.7,"   1,005",  98.6,  15.8 to 1
Mendon-Upton,07100000,     184.3,  95.1,     896,  98.0,  15.5 to 1
Methuen,01810000,     493.6,  97.8,"   2,106",  96.8,  14.6 to 1
Middleborough,01820000,     227.5,  99.1,     951,  98.5,  15.4 to 1
Middleton,01840000,      66.9, 100.0,     285, 100.0,  12.8 to 1
Milford,01850000,     313.6,  97.8,"   1,188",  98.4,  13.1 to 1
Millbury,01860000,     134.7,  99.3,     589,  98.3,  14.1 to 1
Millis,01870000,      91.2,  98.9,     388,  94.3,  15.7 to 1
Milton,01890000,     258.8,  98.0,"   1,246",  98.6,  15.3 to 1
Minuteman Regional Vocational Technical,08300000,      79.2,  91.7,     242,  97.1,   7.4 to 1
Mohawk Trail,07170000,     104.9,  95.7,     363,  98.6,  10.8 to 1
Monson,01910000,      95.5,  98.4,     292,  99.7,  14.9 to 1
Montachusett Regional Vocational Technical,08320000,     104.0,  99.0,     286,  99.0,  13.0 to 1
Mount Greylock,07150000,      49.8,  98.0,     273,  97.1,  12.9 to 1
Mystic Valley Regional Charter (District),04700000,      95.0,  54.7,     327,  71.3,  14.2 to 1
Nahant,01960000,      15.8, 100.0,      70, 100.0,  15.1 to 1
Nantucket,01970000,     114.6,  97.7,     545,  97.1,  10.8 to 1
Narragansett,07200000,     110.9, 100.0,     526, 100.0,  14.2 to 1
Nashoba,07250000,     241.4, 100.0,"   1,091",  99.8,  14.2 to 1
Nashoba Valley Regional Vocational Technical,08520000,      55.5,  96.4,     187, 100.0,  11.9 to 1
Natick,01980000,     336.6,  99.6,"   1,235",  96.9,  14.1 to 1
Nauset,06600000,     121.8,  99.2,     513, 100.0,  12.6 to 1
Needham,01990000,     350.3,  99.1,"   1,295",  98.4,  15.2 to 1
Neighborhood House Charter (District),04440000,      40.8,  51.5,     193,  96.9,   9.8 to 1
New Bedford,02010000,     878.7,  96.9,"   3,624",  94.0,  14.4 to 1
New Leadership Charter (District),04710000,      42.9,  85.1,     197,  76.6,  10.5 to 1
New Salem-Wendell,07280000,      12.3, 100.0,      38, 100.0,  11.8 to 1
Newburyport,02040000,     169.4,  98.5,     574,  99.0,  13.3 to 1
Newton,02070000,     891.7,  98.0,"   4,066",  97.2,  13.2 to 1
Norfolk,02080000,      75.3,  98.7,     279, 100.0,  14.2 to 1
Norfolk County Agricultural,09150000,      43.4, 100.0,      58,  98.3,  10.8 to 1
North Adams,02090000,     147.8,  94.6,     430,  96.5,  10.9 to 1
North Andover,02110000,     295.9,  98.0,"   1,019",  98.4,  15.6 to 1
North Attleborough,02120000,     289.4,  99.0,"   1,447",  99.0,  16.4 to 1
North Brookfield,02150000,      49.5, 100.0,     214, 100.0,  12.7 to 1
North Central Charter Essential (District),04740000,      34.1,  90.0,      44, 100.0,  11.0 to 1
North Middlesex,07350000,     271.7,  97.8,"   1,176",  99.2,  15.0 to 1
North Reading,02170000,     191.9,  96.4,     604,  94.5,  14.3 to 1
North Shore Regional Vocational Technical,08540000,      52.8, 100.0,      94, 100.0,   8.5 to 1
Northampton,02100000,     202.8,  99.5,     655,  98.8,  13.3 to 1
Northampton-Smith Vocational Agricultural,04060000,      49.9,  89.0,     135,  93.3,   9.3 to 1
Northboro-Southboro,07300000,     101.4, 100.0,     410, 100.0,  13.9 to 1
Northborough,02130000,     136.7,  99.3,     737,  99.3,  13.8 to 1
Northbridge,02140000,     167.9, 100.0,     804, 100.0,  15.1 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     118.0,  94.9,     234,  98.3,  10.6 to 1
Northern Berkshire Regional Vocational Technical,08510000,      46.0,  91.3,     131, 100.0,  10.9 to 1
Norton,02180000,     184.1,  97.3,     732,  95.2,  15.4 to 1
Norwell,02190000,     143.7,  99.3,     712,  97.3,  16.3 to 1
Norwood,02200000,     267.6,  97.5,"   1,127",  97.2,  12.8 to 1
Oak Bluffs,02210000,      44.0,  99.3,     121,  95.0,   9.2 to 1
Old Colony Regional Vocational Technical,08550000,      49.5,  88.9,     124, 100.0,  11.8 to 1
Old Rochester,07400000,      83.8,  94.5,     224,  97.8,  13.7 to 1
Orange,02230000,      52.4, 100.0,     262, 100.0,  16.0 to 1
Orleans,02240000,      25.4, 100.0,     100, 100.0,   7.5 to 1
Oxford,02260000,     141.2,  97.2,     588,  99.0,  14.5 to 1
Palmer,02270000,     121.2,  99.0,     478,  97.7,  14.4 to 1
Pathfinder Regional Vocational Technical,08600000,      79.9,  92.5,     224,  85.3,   8.3 to 1
Peabody,02290000,     421.7,  98.3,"   1,787",  96.7,  14.4 to 1
Pelham,02300000,      11.0, 100.0,      55, 100.0,  11.4 to 1
Pembroke,02310000,     210.9,  98.1,     960,  99.0,  16.3 to 1
Pentucket,07450000,     225.8, 100.0,"   1,017", 100.0,  14.3 to 1
Petersham,02340000,       8.9,  96.1,      54, 100.0,  12.0 to 1
Phoenix Charter Academy (District),04930000,      21.4,  43.8,      53,  77.4,   7.7 to 1
Pioneer Charter School of Science (District),04940000,      21.2,  40.1,      83, 100.0,  11.1 to 1
Pioneer Valley,07500000,      92.4,  97.8,     419,  96.7,  12.6 to 1
Pioneer Valley Chinese Immersion Charter(District),04970000,      20.5,  48.8,      57, 100.0,   7.4 to 1
Pioneer Valley Performing Arts Charter Public (District),04790000,      35.9,  65.7,     101, 100.0,  11.4 to 1
Pittsfield,02360000,     508.8,  97.6,"   2,185",  96.9,  11.9 to 1
Plainville,02380000,      51.6, 100.0,     211, 100.0,  15.9 to 1
Plymouth,02390000,     592.1,  99.2,"   1,991",  99.5,  13.9 to 1
Plympton,02400000,      15.8, 100.0,      73, 100.0,  15.5 to 1
Prospect Hill Academy Charter (District),04870000,      80.8,  64.1,     314,  93.6,  12.1 to 1
Provincetown,02420000,      31.1,  94.9,      88, 100.0,   4.9 to 1
Quabbin,07530000,     204.3,  99.0,"   1,006",  99.5,  14.7 to 1
Quaboag Regional,07780000,      91.5,  98.9,     378,  98.4,  15.9 to 1
Quincy,02430000,     680.5,  97.7,"   3,567",  98.4,  13.2 to 1
Ralph C Mahar,07550000,      63.3,  94.3,     235,  91.9,  12.3 to 1
Randolph,02440000,     217.7,  98.2,"   1,044",  97.0,  13.1 to 1
Reading,02460000,     303.5,  99.1,"   1,087",  99.3,  14.5 to 1
Revere,02480000,     425.1,  99.1,"   1,982",  99.1,  14.5 to 1
Richmond,02490000,      18.6,  96.7,      79, 100.0,   9.2 to 1
Rising Tide Charter Public (District),04830000,      24.4,  72.6,     104, 100.0,  12.8 to 1
River Valley Charter (District),04820000,      21.0,  66.7,      79, 100.0,  13.7 to 1
Robert M. Hughes Academy Charter Public (District),04510000,       8.5,  17.7,      21,  42.9,  21.9 to 1
Rochester,02500000,      41.4, 100.0,     156, 100.0,  14.5 to 1
Rockland,02510000,     140.0,  98.9,     600, 100.0,  16.3 to 1
Rockport,02520000,      78.4,  99.4,     366,  97.3,  12.5 to 1
Rowe,02530000,       8.0, 100.0,      45, 100.0,   8.1 to 1
Roxbury Preparatory Charter (District),04840000,      26.3,  29.5,      89, 100.0,   9.4 to 1
Sabis International Charter (District),04410000,      70.1,  74.5,     272,  94.9,  22.4 to 1
Salem,02580000,     408.2,  98.8,"   2,138",  99.5,  11.0 to 1
Salem Academy Charter (District),04850000,      36.7,  70.6,      95,  90.5,   8.5 to 1
Sandwich,02610000,     234.7,  97.9,     863,  80.6,  15.2 to 1
Saugus,02620000,     204.3,  98.0,     843,  97.2,  14.0 to 1
Savoy,02630000,       5.2,  98.1,      18, 100.0,   8.1 to 1
Scituate,02640000,     231.2,  99.7,     938,  99.1,  14.2 to 1
Seekonk,02650000,     144.6,  99.9,     541, 100.0,  14.9 to 1
Seven Hills Charter Public (District),04860000,      41.5,  78.3,     125,  88.8,  16.2 to 1
Sharon,02660000,     251.8,  98.5,"   1,139",  98.2,  13.6 to 1
Shawsheen Valley Regional Vocational Technical,08710000,     121.9,  95.9,     259,  98.8,  10.7 to 1
Sherborn,02690000,      34.2, 100.0,     157, 100.0,  13.2 to 1
Shirley,02700000,      41.2,  97.5,     207, 100.0,  12.9 to 1
Shrewsbury,02710000,     369.2,  99.2,"   1,451",  99.9,  15.8 to 1
Shutesbury,02720000,      13.6, 100.0,      56, 100.0,  11.3 to 1
Silver Hill Horace Mann Charter (District),04770000,      38.8, 100.0,     127,  96.1,  14.5 to 1
Silver Lake,07600000,     138.4,  98.6,     580,  99.1,  13.8 to 1
Smith Leadership Academy Charter Public (District),04190000,      15.3,  55.6,      73,  89.0,  10.8 to 1
Somerset,02730000,     216.9,  98.6,"   1,032",  99.4,  12.6 to 1
Somerville,02740000,     389.1,  98.1,"   1,276",  98.0,  12.4 to 1
South Hadley,02780000,     167.4, 100.0,     652,  98.9,  12.7 to 1
South Middlesex Regional Vocational Technical,08290000,      78.0,  97.4,     239, 100.0,   8.2 to 1
South Shore Charter Public (District),04880000,      40.8,  71.2,     157,  98.1,  12.8 to 1
South Shore Regional Vocational Technical,08730000,      58.0,  91.4,     152,  96.1,  10.3 to 1
Southampton,02750000,      40.2,  97.0,     151, 100.0,  13.9 to 1
Southborough,02760000,     112.6, 100.0,     618, 100.0,  13.8 to 1
Southbridge,02770000,     178.5,  95.8,     835,  91.7,  12.1 to 1
Southeastern Regional Vocational Technical,08720000,     116.1,  97.8,     363, 100.0,  10.8 to 1
Southern Berkshire,07650000,      82.6,  88.7,     380,  91.1,  10.9 to 1
Southern Worcester County Regional Vocational Technical,08760000,     110.1,  93.6,     326,  98.2,  10.1 to 1
Southwick-Tolland,07660000,     136.2,  99.3,     460,  99.3,  13.2 to 1
Spencer-E Brookfield,07670000,     136.9, 100.0,     489, 100.0,  14.3 to 1
Springfield,02810000,"   2,143.7",  92.2,"   6,966",  91.2,  11.7 to 1
Stoneham,02840000,     198.9,  98.0,     845,  98.1,  13.3 to 1
Stoughton,02850000,     297.4,  98.0,     815,  99.3,  12.7 to 1
Sturbridge,02870000,      69.0, 100.0,     270, 100.0,  13.3 to 1
Sturgis Charter Public (District),04890000,      40.2,  37.0,     198, 100.0,  10.0 to 1
