2016-17 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Southbridge,02770000,     175.5,  97.7,     813,  93.4,  12.1 to 1
Southeastern Regional Vocational Technical,08720000,     116.0,  96.9,     379, 100.0,  12.2 to 1
Southern Berkshire,07650000,      75.2, 100.0,     432,  99.3,   9.6 to 1
Southern Worcester County Regional Vocational Technical,08760000,     109.9, 100.0,     326, 100.0,  10.1 to 1
Southwick-Tolland-Granville Regional School District,07660000,     100.7,  99.0,     653,  96.6,  15.4 to 1
Spencer-E Brookfield,07670000,     116.0, 100.0,     656,  99.7,  12.0 to 1
Springfield,02810000,"   2,031.9",  92.1,"  11,791",  84.4,  12.6 to 1
Springfield Preparatory Charter School (District),35100000,      13.0,  61.5,      31,  51.6,  12.5 to 1
Stoneham,02840000,     185.7, 100.0,     877,  99.9,  12.7 to 1
Stoughton,02850000,     297.8, 100.0,"   1,447", 100.0,  11.9 to 1
Sturbridge,02870000,      67.1, 100.0,     278, 100.0,  13.7 to 1
Sturgis Charter Public (District),04890000,      89.2,  42.6,     411, 100.0,   9.0 to 1
Sudbury,02880000,     206.9, 100.0,     969, 100.0,  13.5 to 1
Sunderland,02890000,      21.3,  99.1,     126,  99.2,  12.1 to 1
Sutton,02900000,      98.2,  98.9,     414,  99.5,  14.7 to 1
Swampscott,02910000,     193.3,  99.0,     975,  98.6,  11.5 to 1
Swansea,02920000,     157.8, 100.0,     998, 100.0,  13.0 to 1
TEC Connections Academy Commonwealth Virtual School District,39020000,      37.0, 100.0,     424,  97.9,  30.2 to 1
Tantasqua,07700000,     134.2, 100.0,     863, 100.0,  13.7 to 1
Taunton,02930000,     449.2,  99.8,"   2,607",  99.8,  17.8 to 1
Tewksbury,02950000,     258.6,  99.7,"   1,149", 100.0,  13.7 to 1
Tisbury,02960000,      35.5, 100.0,     150, 100.0,   9.0 to 1
Topsfield,02980000,      51.6, 100.0,     265, 100.0,  12.1 to 1
Tri-County Regional Vocational Technical,08780000,      85.9,  96.5,     237, 100.0,  11.9 to 1
Triton,07730000,     204.5,  99.0,     890,  99.4,  12.3 to 1
Truro,03000000,      15.9, 100.0,      73, 100.0,   7.3 to 1
Tyngsborough,03010000,     127.9, 100.0,     848, 100.0,  13.4 to 1
UP Academy Charter School of Boston (District),04800000,      38.6,  79.2,     100,  79.0,  12.2 to 1
UP Academy Charter School of Dorchester (District),35050000,      62.8,  85.7,     158,  81.6,  11.8 to 1
Up-Island Regional,07740000,      44.7,  99.5,     168,  96.4,   8.8 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      68.9,  97.1,     121,  97.5,  10.3 to 1
Uxbridge,03040000,     130.7, 100.0,     581,  98.8,  14.0 to 1
Veritas Preparatory Charter School (District),04980000,      27.5,  54.5,      72,  65.3,  11.4 to 1
Wachusett,07750000,     473.7, 100.0,"   2,438", 100.0,  15.4 to 1
Wakefield,03050000,     265.6, 100.0,"   1,125",  98.7,  13.3 to 1
Wales,03060000,      10.4, 100.0,      46, 100.0,  15.8 to 1
Walpole,03070000,     283.3, 100.0,"   1,225", 100.0,  13.6 to 1
Waltham,03080000,     478.1, 100.0,"   2,304",  99.8,  11.4 to 1
Ware,03090000,      89.6,  98.9,     399,  95.7,  13.7 to 1
Wareham,03100000,     188.8,  99.5,     952,  97.4,  13.0 to 1
Watertown,03140000,     232.2,  99.6,     969, 100.0,  11.2 to 1
Wayland,03150000,     206.8,  98.9,"   1,065",  99.5,  12.8 to 1
Webster,03160000,     132.3,  98.5,     584,  99.0,  14.0 to 1
Wellesley,03170000,     377.1,  99.9,"   1,929",  99.9,  13.3 to 1
Wellfleet,03180000,      17.0, 100.0,      52, 100.0,   6.6 to 1
West Boylston,03220000,      65.5, 100.0,     380, 100.0,  14.0 to 1
West Bridgewater,03230000,      88.6, 100.0,     526,  94.3,  14.5 to 1
West Springfield,03320000,     320.6, 100.0,"   1,638", 100.0,  12.8 to 1
Westborough,03210000,     283.9,  99.7,"   1,294", 100.0,  13.4 to 1
Westfield,03250000,     422.3,  99.5,"   1,790",  91.3,  13.1 to 1
Westford,03260000,     363.9, 100.0,"   1,737",  99.9,  14.1 to 1
Westhampton,03270000,      12.4,  91.9,      43,  74.4,  10.5 to 1
Weston,03300000,     189.4,  99.4,     918,  96.4,  11.4 to 1
Westport,03310000,      95.2,  99.2,     582,  99.7,  15.2 to 1
Westwood,03350000,     234.9,  99.6,"   1,119", 100.0,  13.5 to 1
Weymouth,03360000,     422.2, 100.0,"   2,189",  97.3,  14.9 to 1
Whately,03370000,      11.3,  99.1,      75,  98.7,  11.4 to 1
Whitman-Hanson,07800000,     252.8,  99.6,"   1,049",  99.2,  15.8 to 1
Whittier Regional Vocational Technical,08850000,     113.2,  97.4,     461, 100.0,  11.6 to 1
Williamsburg,03400000,      15.7, 100.0,      68,  79.4,  10.1 to 1
Williamstown,03410000,      38.2,  97.4,     175,  97.1,  11.8 to 1
Wilmington,03420000,     273.9,  99.3,"   1,198", 100.0,  12.4 to 1
Winchendon,03430000,      97.8, 100.0,     436,  99.8,  12.8 to 1
Winchester,03440000,     351.8,  99.3,"   1,994",  99.3,  13.1 to 1
Winthrop,03460000,     151.0, 100.0,     729,  99.5,  13.1 to 1
Woburn,03470000,     375.4, 100.0,"   1,919",  99.5,  12.3 to 1
Worcester,03480000,"   1,792.8",  97.6,"   8,768",  97.9,  14.2 to 1
Worthington,03490000,       6.4,  96.9,      47,  70.2,   9.4 to 1
Wrentham,03500000,      77.3, 100.0,     266, 100.0,  13.3 to 1
State Totals,00000000,"  72,090.0",  97.4," 349,066",  96.3,  13.2 to 1
