2020-21 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Plymouth,02390000,     633.7,  99.8,  11.2 to 1,  86.5,  96.2,  97.4
Plympton,02400000,      19.3, 100.0,  10.8 to 1,  87.6, 100.0, 100.0
Prospect Hill Academy Charter (District),04870000,     109.0,  78.5,  10.2 to 1,  48.0,  94.5,  67.8
Provincetown,02420000,      18.2, 100.0,   7.3 to 1,  89.0,  94.5,  95.0
Quabbin,07530000,     140.8, 100.0,  14.9 to 1,  92.1,  97.2,  95.9
Quaboag Regional,07780000,      95.8,  91.7,  12.1 to 1,  85.8,  92.6,  90.4
Quincy,02430000,     737.2,  99.3,  12.9 to 1,  85.2,  94.7,  97.8
Ralph C Mahar,07550000,      57.6,  94.8,  10.7 to 1,  91.3,  96.5,  91.9
Randolph,02440000,     212.4, 100.0,  12.5 to 1,  85.6,  92.9,  96.6
Reading,02460000,     316.0,  99.7,  12.5 to 1,  86.5,  94.9,  96.8
Revere,02480000,     561.1,  99.5,  12.8 to 1,  81.6,  95.2,  98.4
Richmond,02490000,      19.3,  97.2,   7.9 to 1,  73.9,  94.8,  78.3
Rising Tide Charter Public (District),04830000,      60.2,  79.7,  11.1 to 1,  74.8,  71.8,  65.2
River Valley Charter (District),04820000,      24.7,  79.2,  11.7 to 1,  70.5,  79.8,  53.8
Rochester,02500000,      41.1, 100.0,  11.6 to 1,  95.1,  96.8,  97.6
Rockland,02510000,     175.2, 100.0,  12.4 to 1,  78.0,  92.9,  94.8
Rockport,02520000,      89.2,  99.4,   8.5 to 1,  83.5,  94.1,  92.5
Rowe,02530000,       8.3, 100.0,   7.6 to 1,  88.0, 100.0,  90.0
Roxbury Preparatory Charter (District),04840000,      86.3,  76.8,  18.5 to 1,  39.2,  84.8,  46.1
Sabis International Charter (District),04410000,      85.3,  85.9,  18.3 to 1,  75.4,  76.6,  80.0
Salem,02580000,     323.6,  99.2,  11.5 to 1,  79.4,  90.5,  93.6
Salem Academy Charter (District),04850000,      44.4,  83.3,  11.1 to 1,  61.0,  76.1,  60.7
Sandwich,02610000,     209.1,  99.0,  11.1 to 1,  87.4,  92.1,  94.1
Saugus,02620000,     174.3,  98.7,  13.2 to 1,  88.2,  93.6,  96.1
Savoy,02630000,       5.6, 100.0,   7.9 to 1,  86.5,  96.4,  75.0
Scituate,02640000,     241.1,  99.6,  11.8 to 1,  90.4,  97.3,  98.0
Seekonk,02650000,     165.8,  99.9,  12.3 to 1,  95.2,  97.0,  94.9
Sharon,02660000,     244.8, 100.0,  14.3 to 1,  86.7,  94.4,  97.1
Shawsheen Valley Regional Vocational Technical,08710000,     124.6,  98.4,  10.5 to 1,  92.9,  92.7,  93.0
Sherborn,02690000,      33.5, 100.0,  11.7 to 1,  77.8,  99.4, 100.0
Shrewsbury,02710000,     400.8,  99.8,  14.9 to 1,  90.7,  96.1,  96.0
Shutesbury,02720000,      15.6, 100.0,   7.2 to 1,  84.6,  87.2,  94.4
Silver Lake,07600000,     133.6, 100.0,  12.7 to 1,  90.6,  91.8,  98.0
Sizer School: A North Central Charter Essential (District),04740000,      38.7,  89.4,   9.4 to 1,  60.8,  71.5,  83.7
Somerset,02730000,     124.1, 100.0,  12.9 to 1,  90.5,  96.0, 100.0
Somerset Berkley Regional School District,07630000,      77.2,  98.7,  13.0 to 1,  89.5,  93.4,  93.0
Somerville,02740000,     424.1,  98.1,  11.1 to 1,  85.6,  95.9,  90.0
South Hadley,02780000,     142.0, 100.0,  12.4 to 1,  90.7,  92.2,  96.0
South Middlesex Regional Vocational Technical,08290000,      83.1,  97.6,   9.8 to 1,  77.0,  81.9,  96.6
South Shore Charter Public (District),04880000,     101.3,  87.4,  10.0 to 1,  72.2,  82.8,  78.6
South Shore Regional Vocational Technical,08730000,      60.2,  93.4,  10.7 to 1,  86.7,  71.8,  90.3
Southampton,02750000,      38.4, 100.0,  11.7 to 1,  94.8, 100.0, 100.0
Southborough,02760000,     107.3, 100.0,  11.3 to 1,  90.7,  98.8,  98.3
Southbridge,02770000,     156.8,  98.1,  11.9 to 1,  63.8,  79.6,  90.9
Southeastern Regional Vocational Technical,08720000,     115.3,  95.7,  13.2 to 1,  82.6,  87.0,  87.7
Southern Berkshire,07650000,      73.7, 100.0,   8.8 to 1,  85.1,  93.2, 100.0
Southern Worcester County Regional Vocational Technical,08760000,     110.2,  99.1,  10.6 to 1,  85.3,  89.8,  99.1
Southwick-Tolland-Granville Regional School District,07660000,     124.7, 100.0,  11.2 to 1,  89.6,  97.6,  97.7
Spencer-E Brookfield,07670000,     104.4,  99.0,  12.7 to 1,  89.0,  93.3,  93.0
Springfield,02810000,"   2,096.7",  97.5,  11.6 to 1,  73.7,  90.0,  91.6
Springfield Preparatory Charter School (District),35100000,      31.4,  55.5,  12.0 to 1,  36.4,  93.6,  50.0
Stoneham,02840000,     207.3,  99.5,  10.9 to 1,  77.8,  94.6,  96.9
Stoughton,02850000,     300.1,  99.7,  11.3 to 1,  88.8,  95.3,  99.0
Sturbridge,02870000,      72.2,  97.2,  11.0 to 1,  87.5,  97.2,  94.4
Sturgis Charter Public (District),04890000,      91.8,  55.1,   9.3 to 1,  66.3,  84.6,  45.5
Sudbury,02880000,     200.9, 100.0,  12.5 to 1,  87.8,  98.2,  99.5
Sunderland,02890000,      23.1,  95.7,   8.0 to 1,  82.2,  95.7,  96.3
Sutton,02900000,      92.6, 100.0,  13.8 to 1,  90.8,  97.8,  96.0
Swampscott,02910000,     185.7, 100.0,  11.5 to 1,  90.0,  98.4,  96.4
Swansea,02920000,     161.8, 100.0,  12.5 to 1,  91.8,  97.3, 100.0
TEC Connections Academy Commonwealth Virtual School District,39020000,      86.9, 100.0,  28.9 to 1,  79.3,  90.7,  91.1
Tantasqua,07700000,     131.3, 100.0,  13.5 to 1,  90.4,  94.4,  98.6
Taunton,02930000,     531.2,  99.6,  14.6 to 1,  90.6,  94.0,  98.0
Tewksbury,02950000,     252.6, 100.0,  12.6 to 1,  92.2,  96.4,  96.9
Tisbury,02960000,      39.8, 100.0,   7.3 to 1,  92.7,  86.9,  98.1
Topsfield,02980000,      55.7, 100.0,  10.5 to 1,  85.6,  99.1, 100.0
Tri-County Regional Vocational Technical,08780000,      84.2,  98.8,  11.3 to 1,  88.4,  92.0,  94.2
Triton,07730000,     194.5, 100.0,  11.2 to 1,  90.0,  92.8,  97.6
Truro,03000000,      14.2, 100.0,   8.0 to 1,  85.9, 100.0,  93.8
Tyngsborough,03010000,     124.2, 100.0,  12.6 to 1,  89.2,  94.4,  94.9
UP Academy Charter School of Boston (District),04800000,      35.3,  85.8,   9.9 to 1,  39.7,  71.6,  94.6
UP Academy Charter School of Dorchester (District),35050000,      45.7,  85.3,  15.0 to 1,  30.6,  85.8,  92.5
Up-Island Regional,07740000,      50.0, 100.0,   8.0 to 1,  75.5,  78.3,  98.3
Upper Cape Cod Regional Vocational Technical,08790000,      71.7,  90.2,  10.1 to 1,  79.1,  80.5,  85.1
Uxbridge,03040000,     135.1,  99.3,  12.1 to 1,  81.3,  96.3,  95.0
Veritas Preparatory Charter School (District),04980000,      31.0,  67.7,  13.5 to 1,  51.6,  93.5,  29.4
Wachusett,07750000,     453.6,  99.7,  14.5 to 1,  93.0,  95.4,  98.9
Wakefield,03050000,     265.6,  99.6,  12.5 to 1,  88.5,  96.0,  94.5
Wales,03060000,       9.5, 100.0,  13.1 to 1,  97.9,  97.9, 100.0
Walpole,03070000,     282.5, 100.0,  12.9 to 1,  87.6,  98.1,  98.7
Waltham,03080000,     506.2,  99.9,  10.9 to 1,  78.1,  93.7,  97.6
Ware,03090000,      88.6,  99.8,  12.9 to 1,  89.6,  92.1,  98.9
Wareham,03100000,     172.0,  99.5,  11.6 to 1,  90.3,  96.7,  94.4
Watertown,03140000,     259.6,  99.2,   9.7 to 1,  84.6,  96.7,  93.8
Wayland,03150000,     228.5,  99.8,  11.8 to 1,  88.1,  96.2,  95.7
Webster,03160000,     132.9, 100.0,  12.7 to 1,  89.0,  93.1,  96.5
Wellesley,03170000,     420.3,  98.3,  10.5 to 1,  83.4,  94.8,  96.9
Wellfleet,03180000,      15.2,  93.4,   6.8 to 1,  80.2, 100.0,  90.0
West Boylston,03220000,      86.7, 100.0,  10.2 to 1,  84.7,  94.5,  96.7
West Bridgewater,03230000,      97.6, 100.0,  14.1 to 1,  83.2,  96.9,  98.0
West Springfield,03320000,     323.9, 100.0,  12.1 to 1,  92.8,  97.9,  95.1
Westborough,03210000,     336.1,  99.2,  11.4 to 1,  88.2,  94.0,  94.3
Westfield,03250000,     413.6,  98.0,  11.9 to 1,  90.2,  95.4,  95.3
Westford,03260000,     345.0,  99.7,  13.7 to 1,  93.5,  96.5,  97.4
Westhampton,03270000,      15.5, 100.0,   6.7 to 1,  87.1,  93.5,  94.4
Weston,03300000,     179.5,  98.4,  10.6 to 1,  84.1,  96.2,  94.7
Westport,03310000,     117.4, 100.0,  11.5 to 1,  89.9,  94.4,  96.9
Westwood,03350000,     242.5, 100.0,  12.2 to 1,  81.6,  94.4,  97.3
Weymouth,03360000,     426.5,  99.4,  13.1 to 1,  88.9,  95.5,  97.8
Whately,03370000,      12.6, 100.0,   9.2 to 1,  92.1, 100.0, 100.0
Whitman-Hanson,07800000,     246.2, 100.0,  14.6 to 1,  87.0,  96.8,  98.8
Whittier Regional Vocational Technical,08850000,     106.0, 100.0,  11.8 to 1,  91.0,  89.1,  91.5
Williamsburg,03400000,      17.3,  97.1,   6.9 to 1,  73.9,  94.2,  90.0
Wilmington,03420000,     268.9, 100.0,  10.5 to 1,  89.6,  97.5,  97.2
Winchendon,03430000,      77.9,  98.7,  15.1 to 1,  82.8,  91.0,  96.3
Winchester,03440000,     348.7, 100.0,  12.9 to 1,  81.3,  95.5,  98.4
Winthrop,03460000,     150.2,  99.2,  12.4 to 1,  79.2,  86.7,  97.4
Woburn,03470000,     361.5,  98.6,  11.8 to 1,  85.8,  96.5,  96.2
Worcester,03480000,"   1,840.6",  97.9,  13.0 to 1,  80.2,  92.2,  92.3
Worthington,03490000,       7.4, 100.0,   8.5 to 1,  59.5,  83.8,  88.9
Wrentham,03500000,      74.2, 100.0,  11.6 to 1,  90.6,  97.3, 100.0
State Totals,00000000,"  75,146.7",  97.6,  12.1 to 1,  83.1,  93.5,  93.7
