2011-12 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Southern Berkshire,07650000,      75.5,  98.6,     541,  98.0,  10.7 to 1
Southern Worcester County Regional Vocational Technical,08760000,     108.2, 100.0,     326,  98.2,   9.9 to 1
Southwick-Tolland,07660000,     134.7, 100.0,     629, 100.0,  12.3 to 1
Spencer-E Brookfield,07670000,     134.6,  99.3,     766,  98.7,  14.7 to 1
Spirit of Knowledge Charter School (District),04760000,      13.8,  78.1,      61,  83.6,  11.4 to 1
Springfield,02810000,"   2,078.0",  95.9,"  10,746",  95.9,  12.1 to 1
Stoneham,02840000,     183.5,  99.7,     959, 100.0,  13.4 to 1
Stoughton,02850000,     292.3,  99.0,"   1,400",  98.9,  13.1 to 1
Sturbridge,02870000,      67.6, 100.0,     292, 100.0,  14.1 to 1
Sturgis Charter Public (District),04890000,      60.0,  38.3,     321, 100.0,  10.5 to 1
Sudbury,02880000,     214.5,  99.5,"   1,071",  99.1,  14.3 to 1
Sunderland,02890000,      15.5, 100.0,      66, 100.0,  11.1 to 1
Sutton,02900000,      95.3,  99.6,     490,  99.8,  16.7 to 1
Swampscott,02910000,     174.4, 100.0,     794, 100.0,  13.1 to 1
Swansea,02920000,     153.4,  99.4,"   1,157",  99.5,  13.3 to 1
Tantasqua,07700000,     140.1,  98.1,     799, 100.0,  12.7 to 1
Taunton,02930000,     512.3,  98.7,"   2,511",  97.5,  15.2 to 1
Tewksbury,02950000,     248.4,  98.4,"   1,275",  99.1,  15.9 to 1
Tisbury,02960000,      36.9, 100.0,     155, 100.0,   8.8 to 1
Topsfield,02980000,      48.4, 100.0,     232, 100.0,  12.7 to 1
Tri County Regional Vocational Technical,08780000,      89.0,  96.1,     251, 100.0,  11.3 to 1
Triton,07730000,     204.8,  99.5,     968,  99.4,  14.5 to 1
Truro,03000000,      15.2,  97.4,      73, 100.0,  10.3 to 1
Tyngsborough,03010000,     129.3,  96.9,     667,  96.4,  14.6 to 1
UP Academy Charter School of Boston (District),04800000,      42.5,  88.2,     114,  89.5,  11.2 to 1
Up-Island Regional,07740000,      39.6,  98.1,     163,  99.4,   8.2 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      60.9,  93.4,     147, 100.0,  10.6 to 1
Uxbridge,03040000,     134.6, 100.0,     816, 100.0,  14.2 to 1
Wachusett,07750000,     472.7,  99.6,"   2,607", 100.0,  15.8 to 1
Wakefield,03050000,     241.6,  99.6,     994,  99.5,  13.9 to 1
Wales,03060000,      12.3,  91.9,      51, 100.0,  12.8 to 1
Walpole,03070000,     269.8,  99.3,"   1,186", 100.0,  14.9 to 1
Waltham,03080000,     431.0, 100.0,"   2,103",  99.8,  11.6 to 1
Ware,03090000,      83.8,  98.8,     356,  97.8,  15.0 to 1
Wareham,03100000,     232.2,  99.6,"   1,089",  98.1,  12.9 to 1
Watertown,03140000,     213.7,  98.3,"   1,022",  98.2,  12.4 to 1
Wayland,03150000,     189.6,  97.9,"   1,009",  99.5,  14.2 to 1
Webster,03160000,     125.8, 100.0,     624,  99.2,  14.6 to 1
Wellesley,03170000,     357.7,  98.5,"   1,862",  97.5,  13.9 to 1
Wellfleet,03180000,      17.0, 100.0,      70, 100.0,   8.1 to 1
West Boylston,03220000,      74.7,  98.7,     395,  98.0,  12.9 to 1
West Bridgewater,03230000,      88.1, 100.0,     463, 100.0,  14.3 to 1
West Springfield,03320000,     308.0,  99.0,"   1,487",  97.2,  12.6 to 1
Westborough,03210000,     264.1,  99.6,"   1,260",  99.9,  13.3 to 1
Westfield,03250000,     462.3,  99.6,"   2,059",  99.5,  12.8 to 1
Westford,03260000,     356.0,  99.7,"   1,786",  99.0,  14.9 to 1
Westhampton,03270000,      12.6, 100.0,      50, 100.0,  10.9 to 1
Weston,03300000,     198.7,  99.2,     855,  98.9,  11.9 to 1
Westport,03310000,     119.9,  99.2,     569,  97.0,  14.5 to 1
Westwood,03350000,     213.8,  98.1,"   1,049",  96.7,  15.0 to 1
Weymouth,03360000,     414.7,  99.0,"   2,064",  98.1,  16.7 to 1
Whately,03370000,      10.0, 100.0,      57, 100.0,  12.8 to 1
Whitman-Hanson,07800000,     202.2,  99.0,"   1,450",  95.0,  21.4 to 1
Whittier Regional Vocational Technical,08850000,     110.4, 100.0,     469, 100.0,  11.2 to 1
Williamsburg,03400000,      16.8, 100.0,      69, 100.0,   9.3 to 1
Williamstown,03410000,      33.8,  97.9,     173, 100.0,  12.3 to 1
Wilmington,03420000,     273.6,  99.6,"   1,309",  99.7,  13.2 to 1
Winchendon,03430000,     107.3, 100.0,     453, 100.0,  13.8 to 1
Winchester,03440000,     293.9, 100.0,"   1,440",  98.2,  14.8 to 1
Winthrop,03460000,     150.7,  98.7,     651,  96.6,  12.8 to 1
Woburn,03470000,     354.6,  99.4,"   2,377", 100.0,  13.4 to 1
Worcester,03480000,"   1,583.9",  98.6,"   9,600",  99.2,  15.4 to 1
Wrentham,03500000,      76.9, 100.0,     353, 100.0,  15.5 to 1
State Total,00000000,"  69,341.9",  97.8," 339,887",  97.8,  13.7 to 1
