2018-19 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Pioneer Valley,07500000,      61.0,  98.3,  12.2 to 1,  89.5,  96.5,  82.6
Pioneer Valley Chinese Immersion Charter (District),04970000,      68.2,  71.0,   7.8 to 1,  55.3,  79.4,  53.9
Pioneer Valley Performing Arts Charter Public (District),04790000,      47.3,  66.0,   8.5 to 1,  61.9,  76.7,  46.3
Pittsfield,02360000,     489.9,  95.5,  11.1 to 1,  78.1,  87.1,  89.4
Plainville,02380000,      54.0, 100.0,  13.2 to 1,  85.6,  98.1, 100.0
Plymouth,02390000,     637.9,  99.4,  11.6 to 1,  84.2,  92.9,  93.9
Plympton,02400000,      18.3, 100.0,  10.9 to 1,  94.5, 100.0, 100.0
Prospect Hill Academy Charter (District),04870000,     104.5,  85.4,  10.8 to 1,  57.3,  88.5,  70.5
Provincetown,02420000,      18.4,  94.6,   6.8 to 1,  89.1,  89.1,  90.0
Quabbin,07530000,     140.6, 100.0,  15.1 to 1,  89.3,  96.0,  94.4
Quaboag Regional,07780000,     101.1,  91.1,  12.9 to 1,  85.2,  91.8,  84.3
Quincy,02430000,     704.8,  99.3,  13.4 to 1,  88.1,  93.3,  95.6
Ralph C Mahar,07550000,      58.4,  92.6,  12.5 to 1,  84.4,  94.9,  64.6
Randolph,02440000,     249.8, 100.0,  11.0 to 1,  86.9,  92.0,  96.5
Reading,02460000,     317.9,  99.7,  13.2 to 1,  89.0,  94.0,  93.8
Revere,02480000,     556.9,  99.1,  13.5 to 1,  79.1,  91.4,  95.6
Richmond,02490000,      21.5,  89.8,   8.3 to 1,  82.8,  93.9,  75.0
Rising Tide Charter Public (District),04830000,      59.9,  73.1,  11.0 to 1,  58.8,  81.0,  59.0
River Valley Charter (District),04820000,      20.8,  86.5,  13.9 to 1,  80.7,  80.7,  68.2
Rochester,02500000,      38.1, 100.0,  13.4 to 1,  91.3,  99.2, 100.0
Rockland,02510000,     173.1, 100.0,  12.9 to 1,  81.6,  90.9,  94.5
Rockport,02520000,      92.0,  97.8,   9.7 to 1,  79.3,  88.0,  84.8
Rowe,02530000,       8.3, 100.0,   7.9 to 1,  88.0,  88.0,  90.0
Roxbury Preparatory Charter (District),04840000,     122.2,  59.3,  12.4 to 1,  16.6,  85.1,  32.3
Sabis International Charter (District),04410000,      64.2,  92.2,  24.6 to 1,  79.7,  81.5,  83.0
Salem,02580000,     338.5,  98.1,  11.0 to 1,  76.4,  86.9,  91.1
Salem Academy Charter (District),04850000,      46.0,  83.6,  10.7 to 1,  57.9,  73.7,  78.0
Sandwich,02610000,     198.7,  99.5,  12.6 to 1,  82.4,  93.0,  90.1
Saugus,02620000,     202.8,  99.9,  12.9 to 1,  87.5,  94.7,  96.2
Savoy,02630000,       5.5, 100.0,  11.5 to 1,  72.7, 100.0,  71.4
Scituate,02640000,     240.0,  99.7,  12.5 to 1,  89.5,  96.1,  95.0
Seekonk,02650000,     158.8,  99.9,  13.1 to 1,  94.4,  95.6,  93.0
Seven Hills Charter Public (District),04860000,      34.0,  88.2,  19.7 to 1,  47.1,  67.6,  85.7
Sharon,02660000,     258.9,  98.8,  13.9 to 1,  85.9,  93.4,  93.3
Shawsheen Valley Regional Vocational Technical,08710000,     125.3,  99.2,  10.3 to 1,  92.2,  90.4,  93.0
Sherborn,02690000,      32.6, 100.0,  12.7 to 1,  92.0,  97.9,  88.6
Shrewsbury,02710000,     413.6,  99.5,  15.0 to 1,  86.5,  95.7,  94.7
Shutesbury,02720000,      16.4, 100.0,   7.8 to 1,  79.3,  87.8,  94.1
Silver Lake,07600000,     139.9,  98.6,  12.5 to 1,  86.3,  90.0,  92.1
Sizer School: A North Central Charter Essential (District),04740000,      40.2,  84.6,   9.2 to 1,  67.4,  82.6,  61.7
Somerset,02730000,     134.4, 100.0,  13.2 to 1,  92.6,  97.8,  99.3
Somerset Berkley Regional School District,07630000,      79.8,  98.7,  13.0 to 1,  90.0,  96.2,  92.7
Somerville,02740000,     420.7,  98.1,  11.7 to 1,  80.0,  92.0,  88.7
South Hadley,02780000,     146.8, 100.0,  13.0 to 1,  85.9,  92.6,  92.5
South Middlesex Regional Vocational Technical,08290000,      80.0,  97.5,   9.4 to 1,  82.4,  78.8,  93.8
South Shore Charter Public (District),04880000,      88.4,  82.6,  10.6 to 1,  61.7,  85.6,  67.6
South Shore Regional Vocational Technical,08730000,      63.0,  93.6,  10.2 to 1,  77.8,  74.6,  86.6
Southampton,02750000,      36.5, 100.0,  13.7 to 1,  86.3,  97.3, 100.0
Southborough,02760000,      90.7,  99.9,  14.0 to 1,  95.6,  98.9,  94.7
Southbridge,02770000,     158.6,  93.7,  12.6 to 1,  56.5,  76.8,  88.9
Southeastern Regional Vocational Technical,08720000,     116.8,  98.7,  12.4 to 1,  85.9,  80.1,  87.7
Southern Berkshire,07650000,      70.9,  98.6,   9.7 to 1,  84.8,  91.8,  93.3
Southern Worcester County Regional Vocational Technical,08760000,     112.0,  97.3,  10.1 to 1,  75.9,  79.5,  97.3
Southwick-Tolland-Granville Regional School District,07660000,     128.8, 100.0,  11.7 to 1,  91.0,  94.2,  96.2
Spencer-E Brookfield,07670000,     112.9,  99.1,  12.2 to 1,  84.9,  93.8,  94.9
Springfield,02810000,"   1,917.1",  93.4,  13.2 to 1,  74.7,  84.7,  67.9
Springfield Preparatory Charter School (District),35100000,      23.6,  83.1,  11.5 to 1,  21.2,  87.3,  58.3
Stoneham,02840000,     195.3,  99.5,  12.3 to 1,  82.3,  90.1,  95.4
Stoughton,02850000,     298.0, 100.0,  11.7 to 1,  84.3,  94.3,  94.6
Sturbridge,02870000,      70.1,  99.7,  12.6 to 1,  90.5,  95.7,  97.2
Sturgis Charter Public (District),04890000,      87.8,  50.2,   9.5 to 1,  55.5,  85.1,  38.4
Sudbury,02880000,     201.0, 100.0,  13.2 to 1,  91.1,  96.6,  99.5
Sunderland,02890000,      23.0,  95.6,  10.1 to 1,  81.7,  95.6,  88.9
Sutton,02900000,      99.3,  98.8,  13.6 to 1,  93.4,  97.2,  84.8
Swampscott,02910000,     184.7,  99.5,  12.0 to 1,  90.0,  94.0,  95.8
Swansea,02920000,     155.6, 100.0,  13.4 to 1,  93.5,  93.6,  95.0
TEC Connections Academy Commonwealth Virtual School District,39020000,      82.2,  98.8,  26.1 to 1,  64.7,  80.6,  81.9
Tantasqua,07700000,     139.2,  99.7,  13.0 to 1,  89.2,  94.0,  94.3
Taunton,02930000,     524.8,  99.0,  15.3 to 1,  86.5,  93.0,  96.5
Tewksbury,02950000,     261.1, 100.0,  13.0 to 1,  85.7,  94.6,  96.6
Tisbury,02960000,      37.7,  99.4,   7.9 to 1,  88.2,  84.3,  97.9
Topsfield,02980000,      54.6,  99.5,  11.7 to 1,  86.6, 100.0,  98.2
Tri-County Regional Vocational Technical,08780000,      87.1,  97.7,  11.8 to 1,  90.8,  87.7,  93.5
Triton,07730000,     199.3,  99.2,  12.1 to 1,  88.8,  92.2,  94.1
Truro,03000000,      16.0, 100.0,   6.6 to 1,  75.0, 100.0,  94.4
Tyngsborough,03010000,     126.3, 100.0,  13.0 to 1,  88.8,  91.8,  94.7
UP Academy Charter School of Boston (District),04800000,      44.5,  97.8,  11.6 to 1,  33.7,  57.3,  71.4
UP Academy Charter School of Dorchester (District),35050000,      55.0,  83.6,  13.2 to 1,  41.8,  60.0,  82.1
Up-Island Regional,07740000,      48.4,  97.9,   8.6 to 1,  79.8,  87.9,  95.2
Upper Cape Cod Regional Vocational Technical,08790000,      72.2,  97.2,   9.7 to 1,  84.6,  77.7,  84.0
Uxbridge,03040000,     130.0, 100.0,  13.2 to 1,  87.0,  93.0,  95.5
Veritas Preparatory Charter School (District),04980000,      29.0,  55.2,  12.0 to 1,  34.5,  96.6,  13.3
Wachusett,07750000,     461.7, 100.0,  15.4 to 1,  90.7,  93.2,  96.6
Wakefield,03050000,     260.6, 100.0,  13.4 to 1,  90.9,  97.7,  95.6
Wales,03060000,      10.4,  99.6,  14.1 to 1,  97.7,  98.1, 100.0
Walpole,03070000,     292.1,  99.9,  12.9 to 1,  89.9,  96.7,  96.5
Waltham,03080000,     515.4,  99.6,  10.9 to 1,  79.6,  93.3,  94.9
Ware,03090000,      92.0,  98.7,  12.9 to 1,  88.8,  91.3,  89.2
Wareham,03100000,     177.9,  98.8,  11.9 to 1,  86.4,  94.5,  89.2
Watertown,03140000,     262.2,  98.5,   9.9 to 1,  81.7,  94.9,  93.5
Wayland,03150000,     216.1,  99.8,  12.5 to 1,  88.9,  95.4,  95.5
Webster,03160000,     139.5,  99.3,  13.1 to 1,  84.6,  85.7,  91.8
Wellesley,03170000,     394.1,  99.4,  12.6 to 1,  90.3,  94.6,  94.1
Wellfleet,03180000,      13.0, 100.0,   8.1 to 1,  95.8, 100.0, 100.0
West Boylston,03220000,      82.7, 100.0,  10.8 to 1,  84.1,  96.6,  97.7
West Bridgewater,03230000,      89.2, 100.0,  15.2 to 1,  92.7,  97.2,  93.8
West Springfield,03320000,     326.5,  98.8,  12.6 to 1,  92.6,  98.2,  94.6
Westborough,03210000,     327.5,  99.4,  12.0 to 1,  83.1,  93.4,  95.7
Westfield,03250000,     421.4,  97.9,  12.6 to 1,  89.4,  94.1,  93.4
Westford,03260000,     364.2,  99.7,  13.9 to 1,  91.7,  96.6,  96.6
Westhampton,03270000,      13.7, 100.0,   8.8 to 1,  85.4, 100.0,  94.7
Weston,03300000,     175.9, 100.0,  12.0 to 1,  88.8,  94.2,  95.7
Westport,03310000,     111.0, 100.0,  13.0 to 1,  90.2,  92.9,  86.0
Westwood,03350000,     242.4,  99.6,  12.7 to 1,  84.8,  92.1,  90.5
Weymouth,03360000,     428.9,  99.4,  13.7 to 1,  85.4,  91.4,  96.4
Whately,03370000,      12.6, 100.0,  11.0 to 1,  79.4, 100.0,  94.4
Whitman-Hanson,07800000,     240.7, 100.0,  15.9 to 1,  87.5,  93.1,  98.4
Whittier Regional Vocational Technical,08850000,     113.2,  97.3,  11.0 to 1,  89.0,  79.7,  94.0
Williamsburg,03400000,      15.3,  96.1,   9.6 to 1,  93.5, 100.0,  89.5
Wilmington,03420000,     275.6,  99.6,  11.6 to 1,  89.8,  94.8,  94.9
Winchendon,03430000,      88.3,  97.7,  14.3 to 1,  81.7,  93.0,  97.8
Winchester,03440000,     355.4,  99.4,  13.1 to 1,  80.9,  95.0,  96.5
Winthrop,03460000,     145.3,  99.3,  13.6 to 1,  71.6,  84.1,  92.8
Woburn,03470000,     367.5,  99.9,  12.3 to 1,  92.3,  94.8,  96.8
Worcester,03480000,"   1,860.7",  96.5,  13.7 to 1,  81.4,  90.9,  70.9
Worthington,03490000,       7.0,  91.4,  10.6 to 1, 100.0,  97.1, 100.0
Wrentham,03500000,      78.2, 100.0,  12.9 to 1,  89.8,  98.7, 100.0
State Totals,00000000,"  73,878.0",  97.3,  12.9 to 1,  82.6,  91.6,  89.2
