2010-11 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Stoughton,02850000,     288.6,  99.1,"   1,270",  99.7,  13.1 to 1
Sturbridge,02870000,      54.3, 100.0,     374, 100.0,  17.3 to 1
Sturgis Charter Public (District),04890000,      38.4,  40.7,     208, 100.0,  10.7 to 1
Sudbury,02880000,     218.9, 100.0,"   1,028", 100.0,  14.1 to 1
Sunderland,02890000,      12.5, 100.0,      64, 100.0,  13.7 to 1
Sutton,02900000,     110.3, 100.0,     645,  95.2,  14.8 to 1
Swampscott,02910000,     175.6,  98.7,     738,  98.4,  12.9 to 1
Swansea,02920000,     146.0, 100.0,"   1,108", 100.0,  14.0 to 1
Tantasqua,07700000,     136.2,  97.0,     717, 100.0,  13.1 to 1
Taunton,02930000,     363.1,  98.4,"   2,382",  97.9,  21.8 to 1
Tewksbury,02950000,     248.9,  98.1,"   1,389",  98.5,  16.3 to 1
Tisbury,02960000,      37.0, 100.0,     181,  97.2,   8.7 to 1
Topsfield,02980000,      49.8, 100.0,     255, 100.0,  13.0 to 1
Tri County Regional Vocational Technical,08780000,      87.2,  95.4,     248, 100.0,  11.0 to 1
Triton,07730000,     208.3,  99.8,     956,  99.6,  14.7 to 1
Truro,03000000,      14.2,  93.0,      67,  89.6,  10.3 to 1
Tyngsborough,03010000,     134.9,  96.9,     694,  98.1,  14.4 to 1
Up-Island Regional,07740000,      37.7,  98.7,     156,  98.7,   8.4 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      61.5,  91.9,     151,  98.7,  10.8 to 1
Uxbridge,03040000,     131.4, 100.0,     844, 100.0,  14.9 to 1
Wachusett,07750000,     467.5,  99.9,"   2,420", 100.0,  16.0 to 1
Wakefield,03050000,     248.2, 100.0,"   1,112", 100.0,  13.5 to 1
Wales,03060000,      10.6, 100.0,      57, 100.0,  15.9 to 1
Walpole,03070000,     262.0,  99.2,"   1,203",  98.3,  15.1 to 1
Waltham,03080000,     435.7,  99.7,"   2,167",  99.9,  11.0 to 1
Ware,03090000,      91.9,  99.3,     357,  96.6,  13.9 to 1
Wareham,03100000,     241.5,  99.2,"   1,096",  99.7,  12.8 to 1
Watertown,03140000,     226.3,  98.7,"   1,128",  97.9,  11.7 to 1
Wayland,03150000,     193.0,  98.0,     995,  99.5,  13.9 to 1
Webster,03160000,     130.2,  99.2,     518,  97.5,  14.5 to 1
Wellesley,03170000,     357.4,  98.2,"   1,834",  99.1,  13.7 to 1
Wellfleet,03180000,      17.6, 100.0,      70, 100.0,   8.0 to 1
West Boylston,03220000,      71.0, 100.0,     383,  99.7,  13.5 to 1
West Bridgewater,03230000,      86.6, 100.0,     523, 100.0,  15.0 to 1
West Springfield,03320000,     299.0,  98.0,"   1,429",  97.0,  13.2 to 1
Westborough,03210000,     256.2,  99.2,"   1,157", 100.0,  13.7 to 1
Westfield,03250000,     464.4,  99.5,"   2,107",  99.6,  12.8 to 1
Westford,03260000,     357.1,  99.0,"   1,768",  97.1,  14.8 to 1
Westhampton,03270000,      12.1, 100.0,      54, 100.0,  11.4 to 1
Weston,03300000,     192.4,  98.4,     850,  98.6,  12.3 to 1
Westport,03310000,     112.3,  99.1,     523,  98.7,  16.3 to 1
Westwood,03350000,     222.7,  97.5,"   1,056",  98.5,  14.1 to 1
Weymouth,03360000,     413.4,  99.4,"   2,033",  99.9,  16.8 to 1
Whately,03370000,      11.3, 100.0,      59, 100.0,  12.2 to 1
Whitman-Hanson,07800000,     254.0,  99.4,"   1,474",  96.7,  17.3 to 1
Whittier Regional Vocational Technical,08850000,     111.0, 100.0,     480, 100.0,  11.3 to 1
Williamsburg,03400000,      16.3, 100.0,      69, 100.0,  10.3 to 1
Williamstown,03410000,      31.5, 100.0,     180,  86.7,  12.9 to 1
Wilmington,03420000,     275.9,  99.3,"   1,191",  99.2,  13.5 to 1
Winchendon,03430000,      66.8,  98.3,     523,  97.9,  23.2 to 1
Winchester,03440000,     300.9,  99.5,"   1,540", 100.0,  14.2 to 1
Winthrop,03460000,     145.2,  95.0,     703,  95.2,  13.5 to 1
Woburn,03470000,     364.3,  98.9,"   2,460", 100.0,  13.2 to 1
Worcester,03480000,"   1,605.7",  97.2,"   8,629",  96.5,  15.1 to 1
Wrentham,03500000,      73.6, 100.0,     357, 100.0,  16.7 to 1
State Total,00000000,"  68,754.2",  97.5," 335,925",  97.7,  13.9 to 1
