2013-14 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Somerville,02740000,     410.6,  97.9,"   1,742",  99.5,  12.0 to 1
South Hadley,02780000,     146.4,  98.6,     669,  99.3,  13.2 to 1
South Middlesex Regional Vocational Technical,08290000,      77.0,  96.1,     197,  94.9,   9.0 to 1
South Shore Charter Public (District),04880000,      50.0,  77.1,     247,  99.6,  11.3 to 1
South Shore Regional Vocational Technical,08730000,      58.7,  97.2,     141, 100.0,  10.2 to 1
Southampton,02750000,      38.7, 100.0,     178, 100.0,  14.2 to 1
Southborough,02760000,     109.8, 100.0,     544,  99.1,  12.5 to 1
Southbridge,02770000,     161.9,  96.1,     813,  97.2,  13.8 to 1
Southeastern Regional Vocational Technical,08720000,     109.6,  97.2,     292,  96.9,  11.7 to 1
Southern Berkshire,07650000,      75.7,  99.5,     534,  99.6,  10.0 to 1
Southern Worcester County Regional Vocational Technical,08760000,     112.1,  98.2,     320, 100.0,   9.9 to 1
Southwick-Tolland-Granville Regional School District,07660000,     136.9, 100.0,     617, 100.0,  12.5 to 1
Spencer-E Brookfield,07670000,     117.7,  99.6,     661,  99.4,  15.7 to 1
Spirit of Knowledge Charter School (District),04760000,        .0,   0.0,       0,   0.0,
Springfield,02810000,"   2,106.3",  95.6,"  11,368",  94.1,  12.3 to 1
Stoneham,02840000,     184.3, 100.0,     917, 100.0,  12.8 to 1
Stoughton,02850000,     288.5, 100.0,"   1,434", 100.0,  12.7 to 1
Sturbridge,02870000,      70.2, 100.0,     282, 100.0,  13.9 to 1
Sturgis Charter Public (District),04890000,      82.5,  41.3,     399, 100.0,   9.7 to 1
Sudbury,02880000,     211.7, 100.0,"   1,056",  99.5,  13.8 to 1
Sunderland,02890000,      18.0,  93.3,      80,  80.0,  11.3 to 1
Sutton,02900000,     100.5,  98.0,     420,  98.6,  15.5 to 1
Swampscott,02910000,     179.7,  99.2,     813,  98.9,  12.8 to 1
Swansea,02920000,     155.2, 100.0,"   1,170",  99.5,  13.3 to 1
Tantasqua,07700000,     140.0,  98.4,     785, 100.0,  12.7 to 1
Taunton,02930000,     499.6,  99.4,"   2,519",  99.5,  15.8 to 1
Tewksbury,02950000,     248.8, 100.0,"   1,266", 100.0,  15.1 to 1
Tisbury,02960000,      35.7,  99.3,     187, 100.0,   9.1 to 1
Topsfield,02980000,      45.5, 100.0,     218, 100.0,  13.2 to 1
Tri County Regional Vocational Technical,08780000,      90.5,  96.7,     252, 100.0,  11.5 to 1
Triton,07730000,     211.8, 100.0,     941,  99.9,  13.2 to 1
Truro,03000000,      15.6, 100.0,      81, 100.0,   8.8 to 1
Tyngsborough,03010000,     131.4,  98.5,     729,  98.5,  14.0 to 1
UP Academy Charter School of Boston (District),04800000,      45.1,  90.0,     100,  88.0,  10.2 to 1
UP Academy Charter School of Dorchester (District),35050000,      55.9,  71.4,     164,  71.3,  10.1 to 1
Up-Island Regional,07740000,      42.7,  99.5,     161,  97.5,   8.0 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      49.8,  96.3,     132,  99.2,  13.6 to 1
Uxbridge,03040000,     125.3, 100.0,     615,  99.7,  15.1 to 1
Veritas Preparatory Charter School (District),04980000,      16.0,  62.5,      18,  77.8,   9.8 to 1
Wachusett,07750000,     456.3, 100.0,"   2,420", 100.0,  16.2 to 1
Wakefield,03050000,     253.8,  99.2,"   1,111",  99.5,  13.2 to 1
Wales,03060000,      11.6,  91.4,      49, 100.0,  13.5 to 1
Walpole,03070000,     284.1, 100.0,"   1,218",  99.9,  14.1 to 1
Waltham,03080000,     464.3, 100.0,"   2,220", 100.0,  11.1 to 1
Ware,03090000,      89.6,  97.8,     381,  95.8,  14.1 to 1
Wareham,03100000,     220.2,  98.3,"   1,176",  98.3,  12.5 to 1
Watertown,03140000,     224.6, 100.0,     965,  99.6,  12.1 to 1
Wayland,03150000,     199.7,  99.3,"   1,038", 100.0,  13.5 to 1
Webster,03160000,     133.6,  99.3,     580,  97.6,  13.9 to 1
Wellesley,03170000,     382.4,  98.7,"   1,913",  97.6,  13.2 to 1
Wellfleet,03180000,      17.7, 100.0,      71, 100.0,   7.1 to 1
West Boylston,03220000,      77.7, 100.0,     379, 100.0,  12.2 to 1
West Bridgewater,03230000,      90.2, 100.0,     489, 100.0,  14.7 to 1
West Springfield,03320000,     299.4,  99.6,"   1,437",  99.0,  13.0 to 1
Westborough,03210000,     270.0,  99.8,"   1,269",  99.8,  13.3 to 1
Westfield,03250000,     448.1,  99.1,"   2,060",  99.6,  13.0 to 1
Westford,03260000,     364.7, 100.0,"   1,737",  99.7,  14.2 to 1
Westhampton,03270000,      11.6, 100.0,      46, 100.0,  12.7 to 1
Weston,03300000,     206.8, 100.0,     998,  66.0,  11.3 to 1
Westport,03310000,     102.8,  99.0,     659,  97.0,  15.8 to 1
Westwood,03350000,     226.6, 100.0,"   1,090", 100.0,  14.1 to 1
Weymouth,03360000,     432.9, 100.0,"   2,061",  97.3,  15.8 to 1
Whately,03370000,      10.2,  98.0,      60,  73.3,  14.2 to 1
Whitman-Hanson,07800000,     237.5,  99.4,"   1,345",  93.0,  17.5 to 1
Whittier Regional Vocational Technical,08850000,     110.4, 100.0,     454, 100.0,  11.6 to 1
Williamsburg,03400000,      14.9,  93.3,      71, 100.0,  10.2 to 1
Williamstown,03410000,      35.2,  98.3,     165,  97.6,  12.5 to 1
Wilmington,03420000,     270.5,  99.8,"   1,213", 100.0,  13.0 to 1
Winchendon,03430000,     104.9,  99.8,     453,  98.9,  13.0 to 1
Winchester,03440000,     322.9, 100.0,"   1,514",  99.9,  13.7 to 1
Winthrop,03460000,     147.4,  96.8,     782,  95.9,  13.5 to 1
Woburn,03470000,     362.2,  99.4,"   2,464",  99.6,  13.4 to 1
Worcester,03480000,"   1,413.0",  97.3,"   8,357",  98.6,  17.4 to 1
Wrentham,03500000,      77.4, 100.0,     269, 100.0,  14.8 to 1
State Totals,00000000,"  70,489.3",  97.6," 351,065",  95.5,  13.6 to 1
