2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
East Longmeadow,00870000,     190.2,  98.9,     863, 100.0,  14.4 to 1
Eastham,00850000,      21.7, 100.0,      90, 100.0,   9.4 to 1
Easthampton,00860000,     118.0,  99.6,     537, 100.0,  13.5 to 1
Easton,00880000,     258.9,  99.7,"   1,107",  99.5,  15.0 to 1
Edgartown,00890000,      39.0,  96.2,     156,  90.4,   9.0 to 1
Edward Brooke Charter (District),04280000,      38.0,  60.5,     219,  81.3,  12.8 to 1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      23.5,  88.7,      77,  98.7,  11.7 to 1
Edward W. Brooke Charter School 2 (District),04430000,      24.3,  47.4,     118,  74.6,  11.0 to 1
Edward W. Brooke Charter School 3 (District),04570000,      15.5,  45.2,      85,  41.2,  11.5 to 1
Erving,00910000,      16.6,  99.4,      76, 100.0,   9.4 to 1
Essex Agricultural Technical,09130000,      48.7, 100.0,     130, 100.0,   9.8 to 1
Everett,00930000,     462.5,  99.1,"   1,988",  98.5,  14.4 to 1
Excel Academy Charter (District),04100000,      19.0,  36.9,      42,  90.5,  11.4 to 1
Excel Academy Charter School - Boston II (District),04590000,       5.3,  37.8,      10,  80.0,  10.4 to 1
Excel Academy Charter School - Chelsea (District),04610000,      10.0,  48.0,      20,  80.0,  11.2 to 1
Fairhaven,00940000,     137.4,  99.3,     742,  98.7,  14.4 to 1
Fall River,00950000,     735.4,  95.0,"   3,338",  95.0,  13.8 to 1
Falmouth,00960000,     287.2,  99.9,"   1,389",  99.6,  12.3 to 1
Farmington River Reg,06620000,      13.3, 100.0,      50,  86.0,  10.8 to 1
Fitchburg,00970000,     351.8,  99.7,"   1,769",  99.5,  14.0 to 1
Florida,00980000,      11.0,  90.9,      55, 100.0,   9.0 to 1
Four Rivers Charter Public (District),04130000,      21.3,  60.8,     137,  96.4,   9.9 to 1
Foxborough,00990000,     206.2,  99.5,"   1,126",  99.9,  13.4 to 1
Foxborough Regional Charter (District),04460000,      78.2,  83.9,     356,  93.3,  15.5 to 1
Framingham,01000000,     647.2,  99.8,"   3,895",  99.9,  12.7 to 1
Francis W. Parker Charter Essential (District),04780000,      45.1,  72.8,     223, 100.0,   8.7 to 1
Franklin,01010000,     406.1, 100.0,"   1,682",  99.8,  14.4 to 1
Franklin County Regional Vocational Technical,08180000,      54.8,  94.5,     224, 100.0,   9.5 to 1
