2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Saugus,02620000,     207.4, 100.0,"   1,135",  98.1,  13.7 to 1
Savoy,02630000,       4.0, 100.0,      21, 100.0,  10.3 to 1
Scituate,02640000,     218.8,  99.5,"   1,021",  99.1,  14.7 to 1
Seekonk,02650000,     142.4,  99.2,     580,  99.7,  14.7 to 1
Seven Hills Charter Public (District),04860000,      51.5,  98.4,     190, 100.0,  12.8 to 1
Sharon,02660000,     245.3,  99.5,"   1,067",  98.7,  14.0 to 1
Shawsheen Valley Regional Vocational Technical,08710000,     129.6,  98.5,     298,  98.3,  10.5 to 1
Sherborn,02690000,      33.1,  97.9,     150, 100.0,  12.2 to 1
Shrewsbury,02710000,     286.4,  99.0,"   1,561",  99.2,  21.0 to 1
Shutesbury,02720000,      15.7, 100.0,      61, 100.0,   9.2 to 1
Silver Hill Horace Mann Charter (District),04770000,      35.9, 100.0,     261, 100.0,  16.1 to 1
Silver Lake,07600000,     132.9,  98.5,     541,  99.1,  14.6 to 1
Smith Leadership Academy Charter Public (District),04190000,      20.2,  34.6,     108, 100.0,  10.8 to 1
Somerset,02730000,     130.0,  99.2,     673,  99.6,  14.1 to 1
Somerset Berkley Regional School District,07630000,      82.5, 100.0,     390, 100.0,  11.3 to 1
Somerville,02740000,     408.8,  98.2,"   1,692",  96.6,  12.0 to 1
South Hadley,02780000,     154.2, 100.0,     723, 100.0,  12.7 to 1
South Middlesex Regional Vocational Technical,08290000,      77.0,  97.4,     195, 100.0,   9.2 to 1
South Shore Charter Public (District),04880000,      48.6,  79.9,     236, 100.0,  11.1 to 1
South Shore Regional Vocational Technical,08730000,      57.9,  94.0,     144, 100.0,  10.2 to 1
Southampton,02750000,      39.4, 100.0,     189, 100.0,  14.0 to 1
Southborough,02760000,     102.6, 100.0,     549, 100.0,  13.9 to 1
Southbridge,02770000,     167.6,  98.8,     771,  98.2,  13.6 to 1
Southeastern Regional Vocational Technical,08720000,     112.1,  93.2,     285, 100.0,  11.2 to 1
Southern Berkshire,07650000,      78.5,  97.2,     524,  99.8,   9.8 to 1
Southern Worcester County Regional Vocational Technical,08760000,     109.9,  97.3,     329, 100.0,  10.0 to 1
Southwick-Tolland-Granville Regional School District,07660000,     138.3, 100.0,     640, 100.0,  12.7 to 1
Spencer-E Brookfield,07670000,     139.4,  99.3,     783,  98.1,  13.9 to 1
Spirit of Knowledge Charter School (District),04760000,      14.7,  95.4,      81,  87.7,  11.8 to 1
Springfield,02810000,"   2,118.6",  94.1,"  10,885",  91.9,  11.9 to 1
Stoneham,02840000,     186.9, 100.0,     939, 100.0,  12.8 to 1
Stoughton,02850000,     290.1, 100.0,"   1,337",  99.9,  12.9 to 1
Sturbridge,02870000,      71.1, 100.0,     287, 100.0,  13.4 to 1
Sturgis Charter Public (District),04890000,      76.2,  36.6,     366, 100.0,   9.7 to 1
Sudbury,02880000,     214.1, 100.0,"   1,047",  99.5,  14.0 to 1
Sunderland,02890000,      15.9,  98.7,      70,  95.7,  11.5 to 1
Sutton,02900000,     103.6,  98.1,     455,  99.3,  15.4 to 1
Swampscott,02910000,     177.5,  99.4,     777,  99.5,  12.9 to 1
Swansea,02920000,     154.0,  99.4,"   1,110", 100.0,  13.3 to 1
Tantasqua,07700000,     142.7,  98.3,     732, 100.0,  12.6 to 1
Taunton,02930000,     495.1,  99.2,"   2,427",  99.6,  15.5 to 1
Tewksbury,02950000,     248.1,  99.2,"   1,269",  99.8,  15.3 to 1
Tisbury,02960000,      35.6, 100.0,     181, 100.0,   9.3 to 1
Topsfield,02980000,      46.8, 100.0,     212, 100.0,  12.8 to 1
Tri County Regional Vocational Technical,08780000,      87.6,  95.4,     241, 100.0,  11.6 to 1
Triton,07730000,     207.3,  99.3,     972,  98.9,  13.9 to 1
Truro,03000000,      15.2, 100.0,      73, 100.0,   9.3 to 1
Tyngsborough,03010000,     134.0,  98.5,     707,  97.6,  13.9 to 1
UP Academy Charter School of Boston (District),04800000,      47.4,  81.2,      98,  89.8,   9.9 to 1
Up-Island Regional,07740000,      38.9, 100.0,     149,  99.3,   8.4 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      63.0,  93.6,     137, 100.0,  10.4 to 1
Uxbridge,03040000,     134.8, 100.0,     809,  98.0,  14.1 to 1
Veritas Preparatory Charter School (District),04980000,       8.0,  62.5,      15,  80.0,  10.2 to 1
Wachusett,07750000,     454.4, 100.0,"   2,438", 100.0,  16.4 to 1
Wakefield,03050000,     243.2,  99.6,"   1,055",  99.4,  13.9 to 1
Wales,03060000,      10.7,  90.6,      50, 100.0,  14.0 to 1
Walpole,03070000,     278.5, 100.0,"   1,207", 100.0,  14.4 to 1
Waltham,03080000,     454.9, 100.0,"   2,200", 100.0,  11.2 to 1
Ware,03090000,      92.6,  97.8,     372,  97.8,  14.0 to 1
Wareham,03100000,     219.2,  98.6,"   1,233", 100.0,  12.9 to 1
Watertown,03140000,     230.3,  98.9,"   1,202",  99.4,  11.7 to 1
Wayland,03150000,     199.0,  98.2,"   1,027",  99.3,  13.7 to 1
Webster,03160000,     129.1,  99.2,     593,  96.5,  14.4 to 1
Wellesley,03170000,     371.2,  98.7,"   1,917",  98.6,  13.3 to 1
Wellfleet,03180000,      17.0, 100.0,      66, 100.0,   8.2 to 1
West Boylston,03220000,      78.1,  98.7,     350, 100.0,  12.1 to 1
West Bridgewater,03230000,      88.3,  98.9,     462, 100.0,  15.2 to 1
West Springfield,03320000,     297.8,  99.6,"   1,493",  98.4,  13.0 to 1
Westborough,03210000,     263.0, 100.0,"   1,294", 100.0,  13.4 to 1
Westfield,03250000,     450.3,  99.4,"   2,112",  99.4,  13.2 to 1
Westford,03260000,     360.2,  99.5,"   1,781",  98.9,  14.6 to 1
Westhampton,03270000,      12.6, 100.0,      46, 100.0,  11.3 to 1
Weston,03300000,     200.4,  99.0,     957,  99.5,  11.8 to 1
Westport,03310000,     117.0,  98.9,     574,  94.8,  14.3 to 1
Westwood,03350000,     222.3,  99.6,"   1,094", 100.0,  14.2 to 1
Weymouth,03360000,     430.4,  99.8,"   2,110",  96.9,  16.0 to 1
Whately,03370000,      10.2,  98.1,      56,  83.9,  15.2 to 1
Whitman-Hanson,07800000,     238.5,  99.6,"   1,378",  95.2,  17.9 to 1
Whittier Regional Vocational Technical,08850000,     109.0, 100.0,     467, 100.0,  11.3 to 1
Williamsburg,03400000,      16.2, 100.0,      75, 100.0,   9.9 to 1
Williamstown,03410000,      34.4,  99.1,     163,  97.5,  12.7 to 1
Wilmington,03420000,     277.0,  99.8,"   1,279", 100.0,  12.8 to 1
Winchendon,03430000,     112.0,  99.1,     451,  97.6,  12.7 to 1
Winchester,03440000,     308.8,  99.8,"   1,466",  97.6,  14.2 to 1
Winthrop,03460000,     150.3,  97.3,     695,  96.5,  13.1 to 1
Woburn,03470000,     344.2,  99.7,"   2,428",  99.8,  13.8 to 1
Worcester,03480000,"   1,581.2",  98.6,"  11,091",  99.5,  15.6 to 1
Wrentham,03500000,      77.0, 100.0,     343, 100.0,  15.0 to 1
State Totals,00000000,"  70,635.8",  97.5," 345,316",  98.0,  13.5 to 1
