2014-15 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Southborough,02760000,     109.4, 100.0,     575,  99.3,  12.2 to 1
Southbridge,02770000,     165.5,  97.9,     850,  95.6,  13.5 to 1
Southeastern Regional Vocational Technical,08720000,     112.0,  96.4,     276, 100.0,  11.8 to 1
Southern Berkshire,07650000,      79.9,  99.9,     517,  98.3,   9.5 to 1
Southern Worcester County Regional Vocational Technical,08760000,     107.7, 100.0,     319, 100.0,  10.4 to 1
Southwick-Tolland-Granville Regional School District,07660000,     141.0, 100.0,     615,  99.3,  11.6 to 1
Spencer-E Brookfield,07670000,     114.8, 100.0,     636, 100.0,  14.8 to 1
Springfield,02810000,"   1,985.4",  94.4,"  11,703",  92.6,  12.9 to 1
Stoneham,02840000,     186.5,  99.5,     891,  99.3,  12.4 to 1
Stoughton,02850000,     292.0, 100.0,"   1,478", 100.0,  12.5 to 1
Sturbridge,02870000,      67.8, 100.0,     295, 100.0,  14.5 to 1
Sturgis Charter Public,04890000,      85.3,  47.7,     411, 100.0,   9.5 to 1
Sudbury,02880000,     210.9, 100.0,"   1,036", 100.0,  13.6 to 1
Sunderland,02890000,      14.2,  92.9,      68, 100.0,  14.5 to 1
Sutton,02900000,      98.9,  96.9,     430,  98.8,  15.4 to 1
Swampscott,02910000,     182.9,  98.4,     879,  98.1,  12.3 to 1
Swansea,02920000,     162.7, 100.0,"   1,087", 100.0,  12.9 to 1
TEC Connections Academy Commonwealth Virtual School District,39020000,      12.9,  92.2,     308,  88.3,  30.7 to 1
Tantasqua,07700000,     144.7,  98.4,     893, 100.0,  12.4 to 1
Taunton,02930000,     519.2,  99.6,"   2,533",  98.9,  15.2 to 1
Tewksbury,02950000,     248.8, 100.0,"   1,254", 100.0,  14.7 to 1
The Sizer School: A North Central Charter Essential (District),04740000,      39.0,  92.3,     248,  98.8,   9.4 to 1
Tisbury,02960000,      36.4,  96.6,     179,  89.9,   9.1 to 1
Topsfield,02980000,      48.5, 100.0,     236, 100.0,  12.6 to 1
Tri County Regional Vocational Technical,08780000,      90.2,  96.2,     247, 100.0,  11.3 to 1
Triton,07730000,     219.8,  99.5,     987,  99.5,  12.5 to 1
Truro,03000000,      15.8, 100.0,      73, 100.0,   8.1 to 1
Tyngsborough,03010000,     130.6,  99.2,     760,  99.1,  13.5 to 1
UP Academy Charter School of Boston,04800000,      45.5,  81.1,      98,  83.7,  10.3 to 1
UP Academy Charter School of Dorchester (District),35050000,      58.0,  75.9,     167,  76.6,  10.8 to 1
Up-Island Regional,07740000,      42.9,  98.3,     161, 100.0,   8.4 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      51.6,  96.2,     117, 100.0,  13.5 to 1
Uxbridge,03040000,     124.6, 100.0,     555,  99.8,  15.1 to 1
Veritas Preparatory Charter School,04980000,      19.0,  63.2,      43,  62.8,  12.9 to 1
Wachusett,07750000,     457.0, 100.0,"   2,227", 100.0,  16.1 to 1
Wakefield,03050000,     253.9, 100.0,"   1,076",  98.8,  13.5 to 1
Wales,03060000,      11.5,  91.1,      48, 100.0,  14.4 to 1
Walpole,03070000,     289.5, 100.0,"   1,251",  99.8,  13.6 to 1
Waltham,03080000,     473.1, 100.0,"   2,247", 100.0,  11.1 to 1
Ware,03090000,      88.8,  98.9,     385,  95.3,  14.0 to 1
Wareham,03100000,     202.3,  99.1,"   1,032",  99.0,  13.0 to 1
Watertown,03140000,     230.6,  99.0,     978,  99.7,  10.8 to 1
Wayland,03150000,     205.0,  99.0,"   1,020", 100.0,  13.0 to 1
Webster,03160000,     131.8,  97.7,     579,  97.4,  14.2 to 1
Wellesley,03170000,     377.9,  98.9,"   1,924",  97.8,  13.4 to 1
Wellfleet,03180000,      14.4, 100.0,      61, 100.0,   8.2 to 1
West Boylston,03220000,      79.0,  99.7,     413,  99.0,  11.8 to 1
West Bridgewater,03230000,      91.2, 100.0,     495, 100.0,  14.3 to 1
West Springfield,03320000,     293.9,  99.7,"   1,486",  99.5,  13.5 to 1
Westborough,03210000,     270.8,  99.2,"   1,313",  99.6,  13.4 to 1
Westfield,03250000,     438.7,  98.8,"   1,892",  99.1,  13.0 to 1
Westford,03260000,     358.5, 100.0,"   1,734",  99.9,  14.3 to 1
Westhampton,03270000,      11.9,  91.6,      50, 100.0,  12.5 to 1
Weston,03300000,     196.7,  99.6,     965,  97.0,  11.5 to 1
Westport,03310000,     108.7,  99.5,     498,  99.8,  14.4 to 1
Westwood,03350000,     232.3,  99.1,"   1,107",  99.6,  13.8 to 1
Weymouth,03360000,     415.3,  99.5,"   2,049",  97.1,  16.2 to 1
Whately,03370000,       6.6, 100.0,      37, 100.0,  20.5 to 1
Whitman-Hanson,07800000,     240.3, 100.0,"   1,335",  97.3,  16.9 to 1
Whittier Regional Vocational Technical,08850000,     109.2, 100.0,     471, 100.0,  12.0 to 1
Williamsburg,03400000,      16.5, 100.0,      67, 100.0,   9.6 to 1
Williamstown,03410000,      36.6, 100.0,     176,  85.2,  12.5 to 1
Wilmington,03420000,     271.1,  99.8,"   1,268",  99.9,  12.7 to 1
Winchendon,03430000,     100.0,  99.0,     438,  99.1,  13.4 to 1
Winchester,03440000,     332.8, 100.0,"   1,512", 100.0,  13.5 to 1
Winthrop,03460000,     150.5,  96.0,     822,  96.1,  12.9 to 1
Woburn,03470000,     363.9,  99.5,"   1,887",  99.2,  13.1 to 1
Worcester,03480000,"   1,809.7",  96.6,"   7,506",  98.7,  14.0 to 1
Wrentham,03500000,      76.8, 100.0,     268, 100.0,  13.9 to 1
State Totals,00000000,"  71,886.8",  97.4," 346,081",  95.4,  13.3 to 1
