District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
dighton-rehoboth,6500000,Rural,86.4,2011,medium,11627.7,11440.0826446281,low,63458.0,62434.08107044470,low,18.5,medium
douglas,770000,Suburban,87.4,2011,medium,9673.75,9517.660369933100,low,59762.0,58797.717434081100,low,20.1,large
dover,780000,Rural,97.7,2011,high,17607.26,17323.160173160200,high,92765.0,91268.20149547420,high,19.0,large
dover-sherborn,6550000,Rural,84.3,2011,low,16495.2,16229.04368358910,medium,88438.0,87011.01928374660,high,15.2,small
dracut,790000,Suburban,90.9,2011,high,10169.7,10005.608028335300,low,68284.0,67182.21172766630,medium,22.7,large
dudley-charlton reg,6580000,Suburban,93.1,2011,high,10347.74,10180.77528532070,low,61110.0,60123.96694214880,low,19.9,large
duxbury,820000,Suburban,93.2,2011,high,11729.18,11539.925226288900,low,66588.0,65513.57733175920,medium,20.9,large
east bridgewater,830000,Suburban,86.7,2011,medium,10495.57,10326.219992129100,low,72557.0,71386.26524990160,high,22.2,large
east longmeadow,870000,Suburban,95.0,2011,high,11771.72,11581.778827233400,low,66723.0,65646.39905549000,medium,20.8,large
eastham,850000,Suburban,87.5,2011,medium,19312.23,19000.619834710700,high,71920.0,70759.54348681620,high,16.4,small
easthampton,860000,Suburban,92.9,2011,high,12253.07,12055.362062180200,low,62483.0,61474.813065722200,low,18.4,medium
easton,880000,Suburban,93.2,2011,high,10922.22,10745.985832349500,low,67837.0,66742.42424242420,medium,19.8,large
edgartown,890000,Suburban,87.8,2011,medium,21095.08,20754.702872884700,high,75025.0,73814.44313262500,high,16.4,small
erving,910000,Rural,88.9,2011,medium,15731.01,15477.184179456900,medium,56405.0,55494.88390397480,low,18.6,medium
essex agricultural technical,9130000,Suburban,87.8,2011,medium,22749.08,22382.01495474220,high,59256.0,58299.881936245600,low,18.1,medium
everett,930000,Suburban,87.7,2011,medium,12047.65,11853.256591893000,low,69151.0,68035.22235340420,medium,18.6,medium
fairhaven,940000,Suburban,93.3,2011,high,11366.43,11183.028335301100,low,60033.0,59064.34474616290,low,17.1,medium
fall river,950000,Suburban,82.0,2011,low,13550.24,13331.601731601700,low,74949.0,73739.6694214876,high,19.5,large
falmouth,960000,Rural,86.4,2011,medium,14216.46,13987.0720188902,medium,72191.0,71026.17079889810,high,16.4,small
farmington river reg,6620000,Rural,87.5,2011,medium,14081.74,13854.52577725310,low,55175.0,54284.73042109410,low,17.0,medium
fitchburg,970000,Rural,90.5,2011,high,12540.3,12337.957497048400,low,69317.0,68198.54388036210,medium,21.1,large
florida,980000,Rural,71.4,2011,low,12401.84,12201.731601731600,low,37580.0,36973.63242817790,low,12.1,small
foxborough,990000,Suburban,92.2,2011,high,12803.12,12596.536796536800,low,72232.0,71066.50924832740,high,17.7,medium
framingham,1000000,Urban,90.6,2011,high,15769.16,15514.718614718600,medium,73653.0,72464.58087367180,high,19.6,large
franklin,1010000,Suburban,87.3,2011,medium,10708.07,10535.291223927600,low,71127.0,69979.33884297520,medium,20.8,large
franklin county regional vocational technical,8180000,Rural,91.2,2011,high,21378.55,21033.598976780800,high,62928.0,61912.63282172370,low,12.0,small
freetown-lakeville,6650000,Rural,84.8,2011,low,11119.02,10939.61038961040,low,65728.0,64667.45375836290,medium,19.5,large
frontier,6700000,Suburban,94.2,2011,high,15138.46,14894.195198740700,medium,60006.0,59037.78040141680,low,13.8,small
gardner,1030000,Suburban,88.3,2011,medium,11072.18,10893.5261707989,low,66028.0,64962.61314443130,medium,19.4,large
gateway,6720000,Rural,82.6,2011,low,13809.06,13586.245572609200,low,59043.0,58090.318772137000,low,17.8,medium
georgetown,1050000,Suburban,89.6,2011,medium,9871.0,9711.727666273120,low,62638.0,61627.31208185750,low,25.1,large
gill-montague,6740000,Rural,79.4,2011,low,14594.73,14359.238488783900,medium,55819.0,54918.33923652110,low,14.9,small
gloucester,1070000,Suburban,91.1,2011,high,13817.55,13594.598583234900,low,67541.0,66451.20031483670,medium,17.9,medium
grafton,1100000,Suburban,90.0,2011,medium,9904.63,9744.815033451400,low,63673.0,62645.61196379380,low,19.0,large
granby,1110000,Rural,89.4,2011,medium,10376.36,10208.933490751700,low,58487.0,57543.29004329000,low,16.9,medium
greater fall river regional vocational technical,8210000,Suburban,95.9,2011,high,17678.7,17393.447461629300,high,74700.0,73494.68713105080,high,14.2,small
greater lawrence regional vocational technical,8230000,Suburban,89.1,2011,medium,20764.16,20429.122392758800,high,71000.0,69854.38803620620,medium,12.8,small
greater lowell regional vocational technical,8280000,Suburban,94.4,2011,high,17673.71,17388.53797717430,high,75541.0,74322.11727666270,high,14.6,small
greater new bedford regional vocational technical,8250000,Suburban,93.2,2011,high,17309.65,17030.352223534000,high,73929.0,72736.12750885480,high,18.7,medium
greenfield,1140000,Rural,85.3,2011,low,12664.8,12460.448642266800,low,87172.0,85765.44667453760,high,18.3,medium
groton-dunstable,6730000,Rural,91.9,2011,high,11786.69,11596.50728059820,low,71921.0,70760.52735143640,high,21.3,large
hadley,1170000,Suburban,96.2,2011,high,9769.91,9612.268791814250,low,56714.0,55798.89807162530,low,16.8,medium
halifax,1180000,Rural,82.9,2011,low,11023.19,10845.326643053900,low,68746.0,67636.75718221170,medium,19.0,large
hamilton-wenham,6750000,Rural,89.5,2011,medium,14545.7,14310.999606454200,medium,72310.0,71143.25068870520,high,19.7,large
hampden-wilbraham,6800000,Rural,92.1,2011,high,11507.55,11321.871310507700,low,63491.0,62466.54860291220,low,19.4,large
hampshire,6830000,Rural,92.3,2011,high,13821.47,13598.455332546200,low,66491.0,65418.14246359700,medium,15.4,small
hancock,1210000,Rural,62.5,2011,low,10628.32,10456.828020464400,low,61491.0,60498.819362455700,low,10.6,small
harvard,1250000,Rural,87.1,2011,medium,13475.68,13258.244785517500,low,79461.0,78178.8665879575,high,18.0,medium
hatfield,1270000,Suburban,81.0,2011,low,11229.67,11048.475009838600,low,50028.0,49220.77922077920,low,14.1,small
haverhill,1280000,Suburban,89.7,2011,medium,11527.61,11341.607634789500,low,66213.0,65144.628099173600,medium,19.1,large
hawlemont,6850000,Rural,84.6,2011,low,16146.28,15885.753640299100,medium,49426.0,48628.49271940180,low,13.2,small
hingham,1310000,Suburban,91.8,2011,high,11076.12,10897.402597402600,low,73081.0,71901.81031090120,high,19.7,large
holbrook,1330000,Suburban,78.6,2011,low,13937.47,13712.583628492700,low,60030.0,59061.39315230230,low,19.3,large
holland,1350000,Rural,85.0,2011,low,11460.48,11275.56080283350,low,54590.0,53709.16961826050,low,16.7,small
holliston,1360000,Suburban,93.7,2011,high,12089.07,11894.00826446280,low,71152.0,70003.93545848090,medium,17.0,medium
holyoke,1370000,Suburban,88.3,2011,medium,15412.5,15163.813459268000,medium,64686.0,63642.26682408500,medium,15.0,small
hopedale,1380000,Suburban,93.3,2011,high,9832.04,9673.396300669030,low,64378.0,63339.23652105470,low,19.2,large
hopkinton,1390000,Suburban,89.4,2011,medium,12297.63,12099.203069657600,low,74294.0,73095.23809523810,high,20.1,large
hull,1420000,Suburban,91.2,2011,high,14018.81,13792.611176702100,low,71967.0,70805.78512396690,high,20.3,large
ipswich,1440000,Suburban,88.5,2011,medium,11368.74,11185.30106257380,low,63121.0,62102.51869342780,low,18.8,medium
king philip,6900000,Suburban,88.2,2011,medium,11936.37,11743.772136954000,low,63716.0,62687.9181424636,low,21.0,large
kingston,1450000,Rural,86.8,2011,medium,10199.63,10035.055096418700,low,64526.0,63484.84848484850,medium,22.6,large
lanesborough,1480000,Rural,78.9,2011,low,14286.03,14055.519480519500,medium,88071.0,86649.94096812280,high,17.5,medium
lawrence,1490000,Suburban,88.8,2011,medium,13462.8,13245.572609209000,low,70949.0,69804.21094057460,medium,19.2,large
lee,1500000,Suburban,85.9,2011,medium,13821.41,13598.396300669000,low,56898.0,55979.92916174730,low,14.2,small
lenox,1520000,Suburban,91.4,2011,high,15138.84,14894.569067296300,medium,68077.0,66978.55175127900,medium,13.5,small
leominster,1530000,Suburban,91.6,2011,high,11470.71,11285.625737898500,low,62401.0,61394.13616686340,low,21.6,large
leverett,1540000,Rural,86.4,2011,medium,15382.29,15134.09090909090,medium,59975.0,59007.28059818970,low,17.6,medium
lexington,1550000,Suburban,89.7,2011,medium,16552.4,16285.320739866200,medium,73400.0,72215.66312475400,high,19.6,large
lincoln,1570000,Suburban,90.7,2011,high,20776.33,20441.096025186900,high,81963.0,80640.4958677686,high,17.7,medium
lincoln-sudbury,6950000,Rural,89.1,2011,medium,16371.82,16107.654466745400,medium,82985.0,81646.00550964190,high,20.4,large
littleton,1580000,Suburban,91.7,2011,high,12691.86,12487.072018890200,low,77242.0,75995.670995671,high,23.6,large
longmeadow,1590000,Suburban,90.4,2011,medium,12562.93,12360.222353404200,low,64403.0,63363.83313656040,low,19.6,large
lowell,1600000,Suburban,90.9,2011,high,12779.54,12573.337268791800,low,76454.0,75220.38567493110,high,20.4,large
