District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
chesterfield-goshen,6320000,Suburban,88.9,2016,medium,14788.69,13386.30485545040,medium,63827.0,57774.39922054160,low,13.7,small
chicopee,610000,Suburban,90.2,2016,medium,14281.03,12926.785349468600,medium,70320.0,63651.67958996180,medium,16.7,small
clarksburg,630000,Suburban,94.1,2016,high,14911.89,13497.822018782100,medium,64132.0,58050.47661353000,low,17.1,medium
clinton,640000,Suburban,84.9,2016,low,13215.01,11961.854128244300,low,66410.0,60112.45792902960,low,17.2,medium
cohasset,650000,Suburban,85.8,2016,low,14921.88,13506.864684867200,medium,80832.0,73166.84534436560,high,19.3,large
concord,670000,Suburban,91.1,2016,high,18856.55,17068.41693361910,high,95732.0,86653.90487068000,high,16.6,small
concord-carlisle,6400000,Rural,88.4,2016,medium,21505.85,19466.4885311402,high,97978.0,88686.92068921040,high,15.3,small
conway,680000,Suburban,93.3,2016,high,16956.89,15348.898309474200,medium,68685.0,62171.72372918830,low,16.1,small
danvers,710000,Suburban,90.1,2016,medium,15105.38,13672.963706550300,medium,80735.0,73079.0436816775,high,18.2,medium
dartmouth,720000,Suburban,88.7,2016,medium,13957.81,12634.2157266434,low,66282.0,59996.59594115250,low,19.0,large
dedham,730000,Suburban,91.3,2016,high,18724.33,16948.735120829200,high,78480.0,71037.88131712450,high,16.6,small
deerfield,740000,Suburban,87.5,2016,medium,14875.3,13464.701783341300,medium,64596.0,58470.47631958430,low,15.2,small
dennis-yarmouth,6450000,Rural,88.3,2016,medium,16498.78,14934.23006520580,medium,68351.0,61869.3963545716,low,16.4,small
dighton-rehoboth,6500000,Suburban,92.0,2016,high,13683.63,12386.035727923600,low,70120.0,63470.64523390380,medium,18.5,medium
douglas,770000,Rural,82.1,2016,low,12646.35,11447.119143664900,low,69277.0,62707.58542311970,low,20.4,large
dover,780000,Rural,91.9,2016,high,23232.55,21029.44864416620,high,96429.0,87284.80960154180,high,20.4,large
dover-sherborn,6550000,Suburban,93.0,2016,high,18998.56,17196.960378138000,high,90341.0,81774.123803139,high,14.8,small
dracut,790000,Suburban,86.0,2016,medium,11781.81,10664.561932733300,low,71835.0,65023.014837100400,medium,21.5,large
dudley-charlton reg,6580000,Suburban,92.4,2016,high,11749.78,10635.569280610600,low,69300.0,62728.4043740664,low,19.2,large
duxbury,820000,Suburban,89.7,2016,medium,13607.35,12316.989224523100,low,75040.0,67924.09039292850,medium,20.9,large
east bridgewater,830000,Suburban,86.5,2016,medium,10970.84,9930.4947740719,low,72393.0,65528.100690502000,medium,21.6,large
east longmeadow,870000,Suburban,93.1,2016,high,14359.41,12997.732713607700,medium,72728.0,65831.33323689900,medium,17.9,medium
eastham,850000,Suburban,92.0,2016,high,26001.18,23535.53439022930,high,80792.0,73130.638473154,high,12.8,small
easthampton,860000,Suburban,86.4,2016,medium,13082.72,11842.108953429800,low,66469.0,60165.86306406670,low,19.6,large
easton,880000,Suburban,89.1,2016,medium,13093.18,11851.57705025160,low,74227.0,67188.18573555310,medium,20.0,large
edgartown,890000,Rural,83.7,2016,low,24705.98,22363.155900398200,high,88139.0,79780.93554294140,high,16.2,small
erving,910000,Suburban,88.9,2016,medium,21499.23,19460.496293954700,high,75990.0,68784.00358420350,medium,18.4,medium
essex north shore agricultural and technical school district,8170000,Suburban,83.2,2016,low,19693.52,17826.018558568000,high,72507.0,65631.29027345500,medium,16.1,small
everett,930000,Suburban,84.2,2016,low,13954.57,12631.282970075300,low,79227.0,71714.04463700080,high,19.3,large
fairhaven,940000,Suburban,94.4,2016,high,12233.26,11073.201732945000,low,67165.0,60795.86262314820,low,18.0,medium
fall river,950000,Suburban,78.6,2016,low,14633.99,13246.274781039600,medium,69591.0,62991.80936213070,low,19.5,large
falmouth,960000,Rural,91.1,2016,high,16473.5,14911.34732260000,medium,74775.0,67684.21987115170,medium,18.0,medium
farmington river reg,6620000,Rural,81.3,2016,low,18539.69,16781.60420331650,high,59329.0,53702.93655279920,low,14.6,small
fitchburg,970000,Rural,90.2,2016,medium,13814.39,12504.395989914300,low,72736.0,65838.57461114130,medium,19.5,large
florida,980000,Rural,85.7,2016,low,18237.49,16508.06129131300,high,44257.0,40060.18748027500,low,9.4,small
foxborough,990000,Suburban,90.3,2016,medium,16067.77,14544.091976183200,medium,82651.0,74813.3528127123,high,16.2,small
framingham,1000000,Urban,88.4,2016,medium,18088.21,16372.937247951400,high,76898.0,69605.89956070650,medium,16.9,medium
franklin,1010000,Suburban,88.5,2016,medium,13310.36,12048.162257494900,low,76208.0,68981.33103230670,medium,18.6,medium
franklin county regional vocational technical,8180000,Rural,93.0,2016,high,23716.81,21467.787130489200,high,71890.0,65072.79928501640,medium,13.1,small
freetown-lakeville,6650000,Rural,90.8,2016,high,12645.93,11446.738971517100,low,69336.0,62760.990558156800,low,19.3,large
frontier,6700000,Suburban,87.5,2016,medium,17436.37,15782.910074687400,high,66019.0,59758.53576293640,low,13.3,small
gardner,1030000,Suburban,85.2,2016,low,12449.98,11269.370561169400,low,65977.0,59720.5185481642,low,17.6,medium
gateway,6720000,Rural,85.9,2016,medium,17380.6,15732.428644500700,high,59440.0,53803.41062041140,low,14.3,small
georgetown,1050000,Suburban,81.1,2016,low,13097.31,11855.315409704200,low,69594.0,62994.52487747150,low,18.9,medium
gill-montague,6740000,Rural,83.3,2016,low,16418.49,14861.553822966300,medium,58330.0,52798.66994428990,low,14.1,small
gloucester,1070000,Suburban,88.7,2016,medium,16398.36,14843.332715029100,medium,74743.0,67655.25437418250,medium,17.5,medium
grafton,1100000,Suburban,88.1,2016,medium,11408.64,10326.778979482700,low,73300.0,66349.09149522460,medium,20.8,large
granby,1110000,Rural,88.6,2016,medium,14557.63,13177.155863896700,medium,64294.0,58197.114441936900,low,15.0,small
greater fall river regional vocational technical,8210000,Suburban,91.2,2016,high,18869.77,17080.3833045545,high,79250.0,71734.8635879475,high,13.5,small
greater lawrence regional vocational technical,8230000,Suburban,88.7,2016,medium,20488.02,18545.17753800810,high,83206.0,75315.723150773,high,12.7,small
greater lowell regional vocational technical,8280000,Suburban,95.4,2016,high,18641.94,16874.15801785110,high,83577.0,75651.54188126040,high,17.9,medium
greater new bedford regional vocational technical,8250000,Suburban,93.1,2016,high,19667.59,17802.547454305100,high,90408.0,81834.77031241840,high,14.5,small
greenfield,1140000,Rural,82.8,2016,low,15960.35,14446.858423544500,medium,61206.0,55401.943984402700,low,14.7,small
groton-dunstable,6730000,Rural,90.3,2016,medium,14247.22,12896.181491577000,medium,78414.0,70978.13997962540,high,18.6,medium
hadley,1170000,Suburban,80.8,2016,low,13185.53,11935.169664161400,low,64425.0,58315.6919451548,low,17.2,medium
halifax,1180000,Rural,89.7,2016,medium,15074.96,13645.42838099390,medium,79989.0,72403.78553358150,high,19.4,large
hamilton-wenham,6750000,Rural,91.1,2016,high,16785.28,15193.561780258700,medium,77047.0,69740.7701559696,medium,17.4,medium
hampden-wilbraham,6800000,Rural,89.0,2016,medium,14485.07,13111.476599518900,medium,74503.0,67438.01314691300,medium,19.1,large
hampshire,6830000,Rural,84.7,2016,low,16185.89,14651.01086687100,medium,73369.0,66411.5483480646,medium,13.3,small
hancock,1210000,Rural,71.4,2016,low,16465.21,14903.84344854140,medium,56830.0,51440.9122738556,low,5.1,small
hanover,1220000,Suburban,90.1,2016,medium,13526.15,12243.48927596360,low,76595.0,69331.63251127870,medium,18.9,medium
harvard,1250000,Rural,94.4,2016,high,16388.67,14834.561600478100,medium,87711.0,79393.52202097750,high,16.6,small
hatfield,1270000,Suburban,97.8,2016,high,14367.47,13005.028398156800,medium,60646.0,54895.04778744060,low,13.6,small
haverhill,1280000,Suburban,89.7,2016,medium,12642.69,11443.806214949000,low,72472.0,65599.60926114490,medium,18.3,medium
hawlemont,6850000,Rural,92.3,2016,high,15979.79,14464.454962953300,medium,55992.0,50682.37832197300,low,12.5,small
hingham,1310000,Suburban,92.9,2016,high,13009.86,11776.158137517900,low,79812.0,72243.57012847020,high,18.5,medium
holbrook,1330000,Suburban,91.0,2016,high,15040.84,13614.543919850400,medium,65359.0,59161.122387945200,low,14.9,small
holland,1350000,Rural,100.0,2016,high,14113.2,12774.870369582600,low,64632.0,58503.06250367470,low,15.3,small
holliston,1360000,Suburban,89.0,2016,medium,13211.03,11958.251544558800,low,78566.0,71115.72609022950,high,17.7,medium
holyoke,1370000,Suburban,72.8,2016,low,16393.09,14838.562459747000,medium,62446.0,56524.356991961800,low,17.9,medium
hopedale,1380000,Suburban,87.4,2016,medium,12822.34,11606.420325278000,low,64303.0,58205.260987959500,low,17.5,medium
hopkinton,1390000,Suburban,91.2,2016,high,14127.44,12787.76001573390,low,84350.0,76351.23966742430,high,19.9,large
hudson,1410000,Suburban,88.7,2016,medium,15528.96,14056.37636924530,medium,74710.0,67625.3837054329,medium,17.2,medium
hull,1420000,Suburban,86.2,2016,medium,18768.94,16989.114833947900,high,83594.0,75666.92980152530,high,14.3,small
ipswich,1440000,Suburban,92.1,2016,high,15575.46,14098.466857028800,medium,68584.0,62080.301379379100,low,17.3,medium
king philip,6900000,Suburban,91.1,2016,high,14342.48,12982.408155367400,medium,72079.0,65243.87675149110,medium,19.6,large
kingston,1450000,Rural,92.3,2016,high,13310.59,12048.370447004400,low,72141.0,65299.99740186900,medium,20.6,large
lanesborough,1480000,Rural,85.0,2016,low,17314.01,15672.153255651200,high,70616.0,63919.610436927500,medium,16.1,small
lawrence,1490000,Suburban,75.3,2016,low,15127.44,13692.931796023500,medium,68851.0,62321.98224471640,low,19.1,large
lee,1500000,Suburban,86.8,2016,medium,16888.44,15286.939301113400,medium,64629.0,58500.34698833390,low,13.4,small
leicester,1510000,Suburban,89.7,2016,medium,13116.01,11872.24212199570,low,74797.0,67704.1336503181,medium,18.6,medium
lenox,1520000,Suburban,93.9,2016,high,18526.35,16769.529211767500,high,72502.0,65626.76441455360,medium,13.1,small
leominster,1530000,Suburban,91.3,2016,high,13301.96,12040.558814540500,low,68778.0,62255.904704755200,low,16.3,small
leverett,1540000,Rural,65.0,2016,low,17814.77,16125.427076349000,high,55613.0,50339.31821724320,low,16.6,small
lexington,1550000,Suburban,87.8,2016,medium,18002.58,16295.4273884052,high,78776.0,71305.81216409030,high,19.6,large
lincoln,1570000,Suburban,94.4,2016,high,21798.63,19731.504724973400,high,89757.0,81245.5034834499,high,15.8,small
lincoln-sudbury,6950000,Rural,93.6,2016,high,19282.33,17453.820974230800,high,92859.0,84053.34634590810,high,19.7,large
littleton,1580000,Suburban,90.8,2016,high,14349.14,12988.436599424100,medium,72997.0,66074.8244457969,medium,19.0,large
longmeadow,1590000,Suburban,91.0,2016,high,14856.02,13447.250071417300,medium,71752.0,64947.8855793364,medium,19.3,large
lowell,1600000,Suburban,92.9,2016,high,14411.77,13045.12750802370,medium,79547.0,72003.6996066935,high,18.9,medium
ludlow,1610000,Suburban,92.0,2016,high,15025.77,13600.902981121400,medium,62457.0,56534.31388154500,low,16.3,small
lunenburg,1620000,Suburban,94.4,2016,high,12982.32,11751.22970668870,low,76147.0,68926.11555370900,medium,19.1,large
lynn,1630000,Suburban,87.7,2016,medium,13785.21,12477.983077365400,low,73256.0,66309.26393689190,medium,20.0,large
lynnfield,1640000,Suburban,91.1,2016,high,14501.95,13126.755899170200,medium,84444.0,76436.32581477150,high,18.4,medium
malden,1650000,Suburban,90.2,2016,medium,13887.61,12570.672667667100,low,83403.0,75494.04199149000,high,20.7,large
manchester essex regional,6980000,Suburban,89.2,2016,medium,16326.74,14778.504312124700,medium,76658.0,69388.65833343700,medium,17.4,medium
mansfield,1670000,Suburban,92.7,2016,high,14456.97,13086.041272492700,medium,80248.0,72638.22502467650,high,17.0,medium
marblehead,1680000,Suburban,86.6,2016,medium,14709.95,13315.03162947040,medium,72199.0,65352.497365125800,medium,18.2,medium
marion,1690000,Suburban,91.4,2016,high,15899.13,14391.443807155100,medium,82488.0,74665.8098125251,high,19.4,large
marlborough,1700000,Suburban,88.7,2016,medium,16196.99,14661.058273632200,medium,78940.0,71454.26033605770,high,17.6,medium
marshfield,1710000,Suburban,90.8,2016,high,12646.05,11446.847592130800,low,71092.0,64350.472204345300,medium,18.7,medium
martha's vineyard,7000000,Suburban,87.8,2016,medium,29898.2,27063.006921453300,high,91262.0,82607.78701278570,high,12.0,small
masconomet,7050000,Suburban,91.2,2016,high,16694.21,15111.127786227700,medium,86350.0,78161.58322800340,high,17.4,medium
mashpee,1720000,Suburban,91.9,2016,high,16454.45,14894.103800185500,medium,78810.0,71336.58800462010,high,15.8,small
mattapoisett,1730000,Suburban,90.0,2016,medium,16991.95,15380.633632091200,medium,74191.0,67155.59955146260,medium,17.5,medium
maynard,1740000,Suburban,85.5,2016,low,14889.33,13477.40134341870,medium,73398.0,66437.798329693,medium,17.9,medium
medfield,1750000,Suburban,85.1,2016,low,14325.24,12966.802993875200,medium,81710.0,73961.58616745980,high,17.8,medium
medway,1770000,Suburban,92.1,2016,high,13876.64,12560.742933237300,low,85410.0,77310.72175453120,high,18.7,medium
melrose,1780000,Suburban,86.5,2016,medium,12003.1,10864.867395993600,low,63645.0,57609.65795652890,low,20.1,large
mendon-upton,7100000,Suburban,91.6,2016,high,15032.77,13607.239183583500,medium,78705.0,71241.5449676897,high,17.7,medium
methuen,1810000,Suburban,89.3,2016,medium,13392.62,12122.621688141500,low,79565.0,72019.99269873870,high,19.4,large
middleborough,1820000,Suburban,89.7,2016,medium,14137.73,12797.074233353100,low,71133.0,64387.58424733720,medium,19.0,large
middleton,1840000,Suburban,93.9,2016,high,16142.37,14611.61779099280,medium,70237.0,63576.550332197700,medium,14.8,small
milford,1850000,Suburban,91.8,2016,high,13883.19,12566.671808398200,low,74924.0,67819.09046641490,medium,17.6,medium
millbury,1860000,Suburban,88.6,2016,medium,15268.32,13820.45239643070,medium,75339.0,68194.73675523510,medium,18.6,medium
millis,1870000,Suburban,91.6,2016,high,14336.61,12977.094797017100,medium,74694.0,67610.90095694830,medium,17.7,medium
milton,1890000,Suburban,87.2,2016,medium,14387.57,13023.222350940600,medium,81164.0,73467.36237542170,high,18.9,medium
minuteman regional vocational technical,8300000,Rural,90.0,2016,medium,30468.26,27579.00914652510,high,87471.0,79176.28079370800,high,12.0,small
mohawk trail,7170000,Rural,78.1,2016,low,17170.59,15542.333518922100,medium,78047.0,70645.94193625920,high,14.0,small
monomoy regional school district,7120000,Suburban,88.6,2016,medium,16135.24,14605.163916199300,medium,71574.0,64786.76500244490,medium,15.4,small
monson,1910000,Rural,80.7,2016,low,14854.48,13445.856106875600,medium,59704.0,54042.3759704078,low,16.8,medium
montachusett regional vocational technical,8320000,Suburban,92.7,2016,high,18265.09,16533.044032449000,high,77485.0,70137.23539573640,medium,18.7,medium
mount greylock,7150000,Rural,87.8,2016,medium,18372.3,16630.087499013900,high,79132.0,71628.05331787330,high,13.3,small
nahant,1960000,Suburban,91.7,2016,high,14982.35,13561.600422421300,medium,67043.0,60685.43166595290,low,18.1,medium
nantucket,1970000,Rural,89.8,2016,medium,21236.63,19222.798184450600,high,87769.0,79446.02198423430,high,17.0,medium
narragansett,7200000,Rural,92.2,2016,high,12807.1,11592.625507346400,low,67811.0,61380.603593215200,low,17.1,medium
nashoba,7250000,Suburban,89.5,2016,medium,14838.07,13431.002237961100,medium,72946.0,66028.66068500210,medium,17.8,medium
nashoba valley regional vocational technical,8520000,Suburban,77.6,2016,low,18120.93,16402.55446860250,high,71504.0,64723.40297782460,medium,15.6,small
natick,1980000,Suburban,89.4,2016,medium,14290.64,12935.484050277200,medium,70293.0,63627.23995189390,medium,19.4,large
nauset,6600000,Suburban,93.4,2016,high,19426.31,17584.147607156900,high,83041.0,75166.36980702520,high,15.0,small
needham,1990000,Suburban,91.4,2016,high,16546.96,14977.84124158010,medium,89622.0,81123.30529311080,high,18.9,medium
new bedford,2010000,Suburban,80.0,2016,low,13256.97,11999.835136145300,low,77380.0,70042.19235880600,medium,18.7,medium
new salem-wendell,7280000,Rural,78.6,2016,low,15352.16,13896.341998490100,medium,55659.0,50380.95611913650,low,20.1,large
newburyport,2040000,Suburban,90.9,2016,high,15306.62,13855.12047561580,medium,77930.0,70540.0368379653,high,17.8,medium
newton,2070000,Urban,89.5,2016,medium,18778.66,16997.913103652300,high,78209.0,70792.57976466610,high,18.0,medium
norfolk,2080000,Suburban,95.8,2016,high,15193.48,13752.7093403938,medium,84159.0,76178.35185738900,high,21.3,large
norfolk county agricultural,9150000,Suburban,90.7,2016,high,21685.81,19629.38324472110,high,67117.0,60752.414377694300,low,16.5,small
north adams,2090000,Rural,87.5,2016,medium,15586.86,14108.785815324100,medium,56267.0,50931.30056155260,low,14.7,small
north andover,2110000,Suburban,91.3,2016,high,12638.61,11440.113114085400,low,80009.0,72421.88896918730,high,21.4,large
north attleborough,2120000,Suburban,92.7,2016,high,11648.11,10543.54046570860,low,74761.0,67671.54746622770,medium,18.5,medium
north brookfield,2150000,Rural,76.1,2016,low,13490.11,12210.866885002000,low,62990.0,57016.770440439300,low,15.6,small
north middlesex,7350000,Rural,86.6,2016,medium,14385.04,13020.93226633650,medium,65809.0,59568.44968907560,low,19.3,large
north reading,2170000,Suburban,92.2,2016,high,14503.96,13128.575294448500,medium,75143.0,68017.32308629830,medium,18.9,medium
northampton,2100000,Suburban,91.3,2016,high,14260.26,12907.984931592000,medium,61387.0,55565.78007663510,low,15.6,small
northampton-smith vocational agricultural,4060000,Urban,84.3,2016,low,21710.74,19651.94917720370,high,60654.0,54902.28916168290,low,13.0,small
northboro-southboro,7300000,Urban,90.5,2016,high,15859.59,14355.653314962500,medium,87558.0,79255.03073859320,high,16.4,small
northborough,2130000,Suburban,88.4,2016,medium,15978.85,14463.60410147980,medium,82360.0,74549.94782464800,high,17.7,medium
northbridge,2140000,Suburban,89.7,2016,medium,12772.53,11561.333718901800,low,69511.0,62919.395619707500,low,18.3,medium
northeast metropolitan regional vocational technical,8530000,Suburban,94.7,2016,high,20910.86,18927.920373585700,high,85551.0,77438.350975552,high,19.4,large
northern berkshire regional vocational technical,8510000,Rural,93.8,2016,high,20557.46,18608.032666431400,high,73536.0,66562.71203537300,medium,12.6,small
norton,2180000,Suburban,90.1,2016,medium,13949.62,12626.80236976280,low,70276.0,63611.85203162900,medium,19.0,large
norwell,2190000,Rural,95.3,2016,high,15117.26,13683.717147300100,medium,81321.0,73609.47434492720,high,18.1,medium
norwood,2200000,Suburban,92.2,2016,high,16302.06,14756.164672587200,medium,77355.0,70019.5630642988,medium,17.6,medium
oak bluffs,2210000,Suburban,82.8,2016,low,19880.33,17995.113698843900,high,79981.0,72396.54415933920,high,14.6,small
old colony regional vocational technical,8550000,Rural,96.4,2016,high,19264.36,17437.55503733900,high,73935.0,66923.8755757085,medium,14.0,small
old rochester,7400000,Rural,94.4,2016,high,14918.64,13503.931928299000,medium,82102.0,74316.41350533330,high,17.9,medium
orange,2230000,Rural,89.1,2016,medium,12767.01,11556.337170674600,low,63203.0,57209.572029641000,low,17.2,medium
orleans,2240000,Suburban,85.7,2016,low,22559.64,20420.34950149150,high,77254.0,69928.14071448960,medium,16.4,small
oxford,2260000,Suburban,83.0,2016,low,13437.57,12163.309159665600,low,65114.0,58939.3553017743,low,18.5,medium
palmer,2270000,Suburban,90.2,2016,medium,14523.86,13146.588212876300,medium,64036.0,57963.58012262220,low,14.8,small
pathfinder regional vocational technical,8600000,Suburban,91.4,2016,high,22585.71,20443.947329803700,high,75301.0,68160.34022758400,medium,11.4,small
peabody,2290000,Suburban,90.4,2016,medium,14299.41,12943.422406790300,medium,78605.0,71151.02778966070,high,18.3,medium
pelham,2300000,Suburban,80.0,2016,low,17253.03,15616.955880489200,high,69864.0,63238.921258149700,low,17.7,medium
pembroke,2310000,Suburban,86.5,2016,medium,12279.33,11114.902996863000,low,77259.0,69932.66657339100,medium,19.2,large
pentucket,7450000,Suburban,90.0,2016,medium,14804.52,13400.633724732400,medium,73003.0,66080.25547647860,medium,16.8,medium
petersham,2340000,Rural,91.7,2016,high,14280.9,12926.667677137200,medium,64274.0,58179.01100633110,low,17.2,medium
pioneer valley,7500000,Rural,90.2,2016,medium,17719.23,16038.946964460200,high,56367.0,51021.81773958150,low,12.9,small
pittsfield,2360000,Urban,89.9,2016,medium,14429.75,13061.402496633300,medium,70613.0,63916.89492158660,medium,15.2,small
plainville,2380000,Suburban,70.4,2016,low,15099.23,13667.396900101500,medium,71002.0,64269.00674411920,medium,20.5,large
plymouth,2390000,Suburban,91.7,2016,high,15704.81,14215.55082680930,medium,67593.0,61183.27614511210,low,17.4,medium
plympton,2400000,Rural,95.0,2016,high,16808.58,15214.652282739500,medium,69027.0,62481.29247804740,low,15.8,small
provincetown,2420000,Suburban,80.0,2016,low,31007.98,28067.548459783000,high,77382.0,70044.0027023666,medium,12.5,small
quabbin,7530000,Rural,85.6,2016,low,14577.71,13195.331713244900,medium,75136.0,68010.98688383630,medium,19.1,large
quaboag regional,7780000,Rural,85.0,2016,low,12209.85,11052.011661568500,low,65880.0,59632.71688547610,low,18.8,medium
quincy,2430000,Suburban,94.9,2016,high,16463.8,14902.567156331200,medium,80894.0,73222.96599474350,high,16.8,medium
ralph c mahar,7550000,Suburban,81.4,2016,low,15765.22,14270.232254056600,medium,63841.0,57787.0716254657,low,12.7,small
randolph,2440000,Suburban,82.1,2016,low,16304.89,14758.726308725400,medium,72547.0,65667.49714466660,medium,18.1,medium
reading,2460000,Suburban,86.1,2016,medium,13284.57,12024.817877281300,low,72366.0,65503.66105243420,medium,19.4,large
revere,2480000,Suburban,89.0,2016,medium,14534.14,13155.893378777700,medium,80579.0,72937.83688395230,high,20.1,large
richmond,2490000,Rural,81.8,2016,low,15115.9,13682.486113678900,medium,72941.0,66024.13482610070,medium,17.5,medium
rochester,2500000,Rural,91.4,2016,high,14153.22,12811.095344229800,low,92484.0,83713.90692829950,high,19.3,large
rockland,2510000,Suburban,88.1,2016,medium,13899.85,12581.75197025780,low,74500.0,67435.2976315721,medium,19.6,large
rockport,2520000,Suburban,87.1,2016,medium,17277.95,15639.512761254000,high,76249.0,69018.44307529850,medium,16.7,small
rowe,2530000,Rural,90.0,2016,medium,22607.6,20463.761540074200,high,68830.0,62302.9736373303,low,11.7,small
salem,2580000,Suburban,77.2,2016,low,18898.94,17106.787165385500,high,85224.0,77142.35980339730,high,15.5,small
sandwich,2610000,Suburban,84.9,2016,low,15628.43,14146.413806230700,medium,77617.0,70256.71807073470,high,18.3,medium
saugus,2620000,Suburban,91.6,2016,high,14628.9,13241.66745667790,medium,73250.0,66303.83290621020,medium,16.5,small
savoy,2630000,Rural,85.7,2016,low,13196.9,11945.461467303300,low,48790.0,44163.33116032760,low,6.7,small
scituate,2640000,Suburban,91.2,2016,high,14844.32,13436.659561587900,medium,83137.0,75253.26629793300,high,18.8,medium
seekonk,2650000,Suburban,95.5,2016,high,15020.79,13596.395225655600,medium,76796.0,69513.57203911690,medium,17.4,medium
sharon,2660000,Suburban,88.9,2016,medium,15419.6,13957.386783352900,medium,79829.0,72258.95804873520,high,18.3,medium
shawsheen valley regional vocational technical,8710000,Suburban,96.9,2016,high,19905.78,18018.150320652300,high,84006.0,76039.86057500460,high,16.7,small
sherborn,2690000,Rural,93.9,2016,high,19134.79,17320.27192976680,high,95159.0,86135.24144057410,high,20.3,large
shrewsbury,2710000,Suburban,86.2,2016,medium,13372.35,12104.273856155100,low,77043.0,69737.14946884850,medium,20.2,large
shutesbury,2720000,Rural,86.7,2016,medium,17707.8,16028.600851011400,high,58972.0,53379.79022723580,low,14.7,small
silver lake,7600000,Suburban,89.4,2016,medium,14405.52,13039.47018439680,medium,82471.0,74650.42189226020,high,19.5,large
somerset,2730000,Suburban,90.2,2016,medium,14378.26,13014.795201666100,medium,73763.0,66768.1860294987,medium,21.4,large
somerset berkley regional school district,7630000,Suburban,92.0,2016,high,15520.38,14048.609995370500,medium,62968.0,56996.85666127290,low,13.9,small
somerville,2740000,Suburban,86.1,2016,medium,18843.12,17056.260476609800,high,74698.0,67614.52164406940,medium,16.4,small
south middlesex regional vocational technical,8290000,Urban,88.5,2016,medium,26396.36,23893.240174364100,high,78111.0,70703.8729301977,high,13.4,small
south shore regional vocational technical,8730000,Suburban,92.2,2016,high,21354.58,19329.5631959358,high,79353.0,71828.09628131730,high,13.0,small
southampton,2750000,Suburban,84.6,2016,low,11573.88,10476.349564457700,low,69357.0,62779.999165542900,low,18.6,medium
southborough,2760000,Suburban,94.8,2016,high,17763.41,16078.937453713300,high,84812.0,76769.42902991800,high,17.8,medium
southbridge,2770000,Rural,61.0,2016,low,14158.77,12816.119047610400,low,72502.0,65626.76441455360,medium,17.6,medium
southeastern regional vocational technical,8720000,Suburban,88.6,2016,medium,20607.63,18653.445134648500,high,80922.0,73248.31080459170,high,16.1,small
southern berkshire,7650000,Rural,87.8,2016,medium,19701.69,17833.41381201300,high,62147.0,56253.71062965520,low,12.6,small
southern worcester county regional vocational technical,8760000,Rural,91.0,2016,high,18812.82,17028.83377166700,high,73587.0,66608.87579616770,medium,13.9,small
southwick-tolland-granville regional school district,7660000,Suburban,74.8,2016,low,13955.67,12632.278659033600,low,63846.0,57791.59748436710,low,15.8,small
spencer-e brookfield,7670000,Suburban,82.1,2016,low,13944.81,12622.448493499600,low,63401.0,57388.796042138300,low,17.7,medium
springfield,2810000,Urban,79.5,2016,low,15435.47,13971.75185950610,medium,65832.0,59589.26864002220,low,16.8,medium
stoneham,2840000,Suburban,90.3,2016,medium,15222.19,13778.696822205900,medium,71442.0,64667.28232744660,medium,16.5,small
stoughton,2850000,Suburban,89.2,2016,medium,14373.8,13010.758135526100,medium,81832.0,74072.01712465520,high,17.1,medium
sturbridge,2870000,Suburban,90.0,2016,medium,13369.44,12101.639806274400,low,76357.0,69116.20162756980,medium,23.1,large
sudbury,2880000,Rural,88.0,2016,medium,15258.96,13811.97998856720,medium,83234.0,75341.0679606211,high,21.5,large
sunderland,2890000,Suburban,87.0,2016,medium,13017.43,11783.010287894700,low,62191.0,56293.53818798790,low,15.5,small
sutton,2900000,Rural,93.3,2016,high,12814.78,11599.577226619000,low,71689.0,64890.85975717820,medium,21.3,large
swampscott,2910000,Suburban,92.3,2016,high,16170.74,14637.297514399600,medium,77776.0,70400.6403838007,high,17.1,medium
swansea,2920000,Suburban,95.1,2016,high,13668.8,12372.612030421900,low,66511.0,60203.88027883880,low,16.8,medium
tantasqua,7700000,Rural,95.1,2016,high,13480.76,12202.403528856300,low,78911.0,71428.01035442930,high,14.5,small
taunton,2930000,Suburban,90.7,2016,high,13025.0,11789.862438271500,low,76077.0,68862.75352908870,medium,20.9,large
tewksbury,2950000,Suburban,89.9,2016,medium,15468.85,14001.966493532100,medium,74727.0,67640.77162569780,medium,20.6,large
tisbury,2960000,Suburban,87.0,2016,medium,22393.73,20270.172451423700,high,84942.0,76887.10136135570,high,13.1,small
topsfield,2980000,Rural,88.9,2016,medium,15813.0,14313.481361718800,medium,69077.0,62526.551067061800,low,15.4,small
tri-county regional vocational technical,8780000,Suburban,86.8,2016,medium,18275.47,16542.439715528400,high,79531.0,71989.21685820890,high,16.8,medium
triton,7730000,Rural,87.2,2016,medium,15802.26,14303.759816798500,medium,80200.0,72594.77677922260,high,18.5,medium
truro,3000000,Suburban,100.0,2016,high,26809.42,24267.13042993050,high,70876.0,64154.95509980270,medium,14.4,small
tyngsborough,3010000,Suburban,90.9,2016,high,13811.63,12501.897715800700,low,74205.0,67168.27195638670,medium,18.0,medium
up-island regional,7740000,Rural,86.0,2016,medium,26913.94,24361.738984406400,high,84431.0,76424.5585816277,high,15.3,small
