2012Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Pathfinder Regional Vocational Technical,08600000,"          $13,167,936.92",             653.4,"              $20,152.95","          $13,186,986.92",             657.2,"              $20,065.41",
Peabody,02290000,"          $73,620,482.00","           6,053.5","              $12,161.64","          $81,824,008.00","           6,280.2","              $13,028.89",
Pelham,02300000,"           $1,878,747.43",             127.7,"              $14,712.20","           $1,885,182.43",             128.7,"              $14,647.88",
Pembroke,02310000,"          $33,501,093.92","           3,339.7","              $10,031.17","          $35,823,171.82","           3,416.8","              $10,484.42",
Pentucket,07450000,"          $33,450,999.33","           3,025.0","              $11,058.18","          $37,082,876.34","           3,137.0","              $11,821.13",
Petersham,02340000,"           $1,540,621.00",             114.0,"              $13,514.22","           $1,629,150.00",             122.4,"              $13,310.05",
Pioneer Valley,07500000,"          $14,677,040.62","           1,056.1","              $13,897.40","          $15,598,630.36","           1,100.2","              $14,178.00",
Pittsfield,02360000,"          $78,729,654.00","           6,091.0","              $12,925.57","          $84,120,620.34","           6,619.0","              $12,708.96",
Plainville,02380000,"           $9,378,930.31",             788.4,"              $11,896.16","           $9,884,029.44",             804.7,"              $12,282.87",
Plymouth,02390000,"         $101,010,276.73","           7,995.7","              $12,633.07","         $111,856,901.56","           8,539.2","              $13,099.22",
Plympton,02400000,"           $2,532,797.13",             230.6,"              $10,983.51","           $3,076,806.68",             240.7,"              $12,782.74",
Provincetown,02420000,"           $4,911,212.73",             105.7,"              $46,463.70","           $5,703,951.83",             168.7,"              $33,811.21",
Quabbin,07530000,"          $31,396,310.28","           2,703.2","              $11,614.50","          $34,378,733.38","           2,830.8","              $12,144.53",
Quaboag Regional,07780000,"          $16,588,927.00","           1,369.8","              $12,110.47","          $18,038,454.00","           1,493.6","              $12,077.17",
Quincy,02430000,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",
Ralph C Mahar,07550000,"          $11,115,282.00",             829.5,"              $13,399.98","          $12,862,159.00",             938.0,"              $13,712.32",
Randolph,02440000,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",
Reading,02460000,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",
Revere,02480000,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",
Richmond,02490000,"           $2,791,434.00",             176.6,"              $15,806.53","           $3,424,707.00",             242.2,"              $14,140.00",
Rochester,02500000,"           $6,409,829.00",             543.9,"              $11,784.94","           $6,812,325.00",             555.2,"              $12,270.04",
Rockland,02510000,"          $27,239,822.60","           2,224.8","              $12,243.72","          $30,745,720.60","           2,350.4","              $13,081.06",
Rockport,02520000,"          $13,753,383.00",             922.0,"              $14,916.90","          $14,889,517.00",             961.6,"              $15,484.11",
Rowe,02530000,"           $1,650,366.75",              69.1,"              $23,883.74","           $1,992,339.75",              97.3,"              $20,476.26",
Salem,02580000,"          $64,385,005.44","           4,523.9","              $14,232.19","          $72,704,006.44","           4,943.7","              $14,706.40",
Sandwich,02610000,"          $37,517,497.00","           3,293.9","              $11,389.99","          $42,540,986.00","           3,519.6","              $12,086.88",
Saugus,02620000,"          $34,220,135.24","           2,845.3","              $12,026.90","          $38,374,535.24","           3,023.9","              $12,690.41",
Savoy,02630000,"             $759,534.00",              41.0,"              $18,525.22","           $1,196,557.00",              89.4,"              $13,384.31",
Scituate,02640000,"          $37,508,912.00","           3,211.0","              $11,681.38","          $40,182,460.00","           3,263.9","              $12,311.18",
Seekonk,02650000,"          $23,798,711.00","           2,129.5","              $11,175.73","          $25,807,264.00","           2,169.0","              $11,898.23",
Sharon,02660000,"          $45,768,969.15","           3,402.7","              $13,450.78","          $50,411,634.79","           3,470.2","              $14,527.01",
Shawsheen Valley Regional Vocational Technical,08710000,"          $23,661,449.00","           1,344.1","              $17,603.93","          $23,772,118.00","           1,360.7","              $17,470.51",
Sherborn,02690000,"           $6,107,825.00",             405.3,"              $15,069.89","           $6,465,606.00",             411.3,"              $15,719.93",
Shrewsbury,02710000,"          $60,570,854.59","           5,892.3","              $10,279.66","          $70,820,293.14","           6,257.4","              $11,317.85",
Shutesbury,02720000,"           $2,387,883.00",             151.3,"              $15,782.44","           $2,489,875.00",             161.3,"              $15,436.30",
Silver Lake,07600000,"          $24,307,677.29","           1,879.7","              $12,931.68","          $24,560,620.29","           1,903.9","              $12,900.16",
Somerset,02730000,"          $20,206,762.00","           1,851.7","              $10,912.55","          $23,580,161.00","           1,894.4","              $12,447.30",
Somerset Berkley Regional School District,07630000,"          $11,386,536.00",             966.1,"              $11,786.08","          $13,270,679.00","           1,011.6","              $13,118.50",
Somerville,02740000,"          $78,134,131.71","           4,863.0","              $16,067.06","          $89,179,106.95","           5,402.8","              $16,506.09",
South Hadley,02780000,"          $25,772,402.00","           1,967.1","              $13,101.72","          $28,763,960.59","           2,161.1","              $13,309.87",
South Middlesex Regional Vocational Technical,08290000,"          $16,081,266.81",             653.8,"              $24,596.61","          $16,082,541.81",             653.8,"              $24,598.57",
South Shore Regional Vocational Technical,08730000,"          $11,017,393.00",             601.1,"              $18,328.72","          $11,018,888.00",             602.1,"              $18,300.76",
Southampton,02750000,"           $5,274,078.00",             549.5,"               $9,597.96","           $5,908,375.00",             586.5,"              $10,073.96",
Southborough,02760000,"          $19,325,122.15","           1,446.2","              $13,362.69","          $22,066,309.92","           1,487.9","              $14,830.51",
Southbridge,02770000,"          $26,533,692.82","           2,166.0","              $12,250.09","          $31,184,542.57","           2,418.5","              $12,894.17",
Southeastern Regional Vocational Technical,08720000,"          $25,293,868.00","           1,280.7","              $19,750.03","          $25,293,868.00","           1,280.7","              $19,750.03",
Southern Berkshire,07650000,"          $14,237,658.47",             807.1,"              $17,640.51","          $15,338,329.39",             952.7,"              $16,099.85",
Southern Worcester County Regional Vocational Technical,08760000,"          $18,194,524.00","           1,053.8","              $17,265.63","          $18,335,551.00","           1,080.7","              $16,966.37",
Southwick-Tolland,07660000,"          $18,097,500.30","           1,655.6","              $10,931.08","          $19,898,936.56","           1,723.3","              $11,547.00",
Spencer-E Brookfield,07670000,"          $22,815,810.64","           1,953.3","              $11,680.65","          $26,114,366.00","           2,124.8","              $12,290.27",
Springfield,02810000,"         $363,023,878.26","          24,521.1","              $14,804.55","         $411,921,758.04","          28,215.8","              $14,598.95",
Stoneham,02840000,"          $29,553,152.73","           2,479.3","              $11,919.96","          $34,502,253.73","           2,608.6","              $13,226.35",
Stoughton,02850000,"          $42,647,955.22","           3,823.8","              $11,153.29","          $46,863,462.57","           3,918.2","              $11,960.46",
Sturbridge,02870000,"           $9,954,627.00",             949.3,"              $10,486.28","          $11,260,770.00",             956.8,"              $11,769.20",
Sudbury,02880000,"          $37,168,835.81","           3,068.3","              $12,113.82","          $40,338,740.39","           3,127.2","              $12,899.32",
Sunderland,02890000,"           $2,440,240.66",             168.5,"              $14,482.14","           $2,777,782.66",             197.6,"              $14,057.60",
Sutton,02900000,"          $17,446,463.20","           1,579.7","              $11,044.16","          $18,171,823.94","           1,604.0","              $11,329.07",
Swampscott,02910000,"          $29,158,412.31","           2,277.5","              $12,802.82","          $32,315,874.31","           2,350.9","              $13,746.17",
Swansea,02920000,"          $23,236,238.14","           2,043.4","              $11,371.36","          $23,982,862.51","           2,084.7","              $11,504.23",
Tantasqua,07700000,"          $23,075,432.00","           1,743.1","              $13,238.16","          $23,201,699.00","           1,786.8","              $12,985.06",
Taunton,02930000,"          $83,101,583.66","           7,753.8","              $10,717.53","          $91,077,257.55","           7,977.1","              $11,417.34",
Tewksbury,02950000,"          $44,581,221.60","           3,932.9","              $11,335.46","          $50,346,806.65","           4,096.3","              $12,290.80",
Tisbury,02960000,"           $7,060,821.77",             324.3,"              $21,772.50","           $8,094,941.77",             400.5,"              $20,212.09",
Topsfield,02980000,"           $7,987,060.00",             618.6,"              $12,911.51","           $8,265,882.00",             628.5,"              $13,151.76",
Tri County Regional Vocational Technical,08780000,"          $16,262,152.00","           1,032.1","              $15,756.37","          $16,271,908.00","           1,032.1","              $15,765.83",
Triton,07730000,"          $36,112,833.62","           2,892.0","              $12,487.15","          $40,490,459.54","           3,176.1","              $12,748.48",
Truro,03000000,"           $3,565,405.00",             151.6,"              $23,518.50","           $5,064,098.00",             245.4,"              $20,636.10",
Tyngsborough,03010000,"          $20,964,307.32","           1,871.1","              $11,204.27","          $23,542,959.32","           1,997.5","              $11,786.21",
Up-Island Regional,07740000,"           $8,406,516.00",             324.7,"              $25,890.10","           $9,349,101.30",             393.6,"              $23,752.80",
Upper Cape Cod Regional Vocational Technical,08790000,"          $13,899,864.30",             656.5,"              $21,172.68","          $13,899,864.30",             656.5,"              $21,172.68",
Uxbridge,03040000,"          $22,627,979.42","           1,904.2","              $11,883.19","          $25,546,843.02","           2,115.9","              $12,073.75",
Wachusett,07750000,"          $77,519,660.93","           7,473.0","              $10,373.30","          $83,517,275.52","           7,721.1","              $10,816.76",
Wakefield,03050000,"          $38,686,813.58","           3,333.0","              $11,607.20","          $43,235,597.58","           3,455.5","              $12,512.11",
Wales,03060000,"           $1,779,156.00",             161.2,"              $11,036.95","           $2,048,595.00",             170.8,"              $11,994.12",
Walpole,03070000,"          $45,493,661.34","           3,995.6","              $11,385.94","          $48,793,295.57","           4,059.1","              $12,020.72",
Waltham,03080000,"          $88,816,431.91","           4,925.5","              $18,031.96","          $96,038,069.94","           5,081.6","              $18,899.18",
Ware,03090000,"          $14,106,230.99","           1,220.2","              $11,560.59","          $16,609,622.52","           1,393.6","              $11,918.50",
Wareham,03100000,"          $33,620,685.00","           2,951.0","              $11,392.98","          $36,497,321.44","           3,053.4","              $11,953.01",
Watertown,03140000,"          $39,520,281.04","           2,622.5","              $15,069.70","          $45,565,351.22","           2,762.7","              $16,493.05",
Wayland,03150000,"          $41,051,978.08","           2,684.0","              $15,295.07","          $43,495,911.89","           2,735.2","              $15,902.28",
Webster,03160000,"          $22,275,222.16","           1,826.5","              $12,195.58","          $25,442,290.16","           1,989.8","              $12,786.36",
Wellesley,03170000,"          $68,210,593.69","           4,932.7","              $13,828.25","          $75,408,548.20","           4,999.0","              $15,084.73",
Wellfleet,03180000,"           $3,184,978.31",             132.6,"              $24,019.44","           $3,238,758.42",             143.1,"              $22,632.83",
West Boylston,03220000,"          $11,539,753.30",             971.4,"              $11,879.51","          $13,598,547.78","           1,098.1","              $12,383.71",
West Bridgewater,03230000,"          $13,231,503.14","           1,260.8","              $10,494.53","          $14,051,918.01","           1,283.0","              $10,952.39",
West Springfield,03320000,"          $46,903,331.00","           3,873.3","              $12,109.40","          $52,492,251.67","           4,025.9","              $13,038.64",
Westborough,03210000,"          $46,575,673.41","           3,505.9","              $13,284.94","          $51,956,544.74","           3,572.2","              $14,544.69",
Westfield,03250000,"          $73,106,719.59","           5,946.8","              $12,293.46","          $76,570,013.83","           6,092.3","              $12,568.33",
Westford,03260000,"          $57,299,148.99","           5,233.6","              $10,948.32","          $60,592,369.52","           5,292.5","              $11,448.72",
Westhampton,03270000,"           $1,643,842.07",             138.1,"              $11,903.27","           $1,931,731.07",             156.1,"              $12,374.96",
Weston,03300000,"          $45,368,633.00","           2,343.7","              $19,357.70","          $47,151,226.95","           2,367.6","              $19,915.20",
Westport,03310000,"          $19,078,586.00","           1,710.1","              $11,156.42","          $20,528,222.00","           1,751.9","              $11,717.69",
Westwood,03350000,"          $43,131,301.29","           3,166.4","              $13,621.56","          $45,349,617.40","           3,194.2","              $14,197.49",
Weymouth,03360000,"          $76,866,224.00","           6,791.4","              $11,318.17","          $84,638,220.00","           6,980.3","              $12,125.30",
Whately,03370000,"           $2,087,123.00",             126.5,"              $16,499.00","           $2,451,017.00",             153.1,"              $16,009.26",
Whitman-Hanson,07800000,"          $42,681,703.90","           4,297.1","               $9,932.68","          $45,523,451.91","           4,372.2","              $10,412.02",
Whittier Regional Vocational Technical,08850000,"          $21,421,102.23","           1,198.4","              $17,874.75","          $21,506,006.85","           1,211.3","              $17,754.48",
Williamsburg,03400000,"           $2,141,511.60",             159.3,"              $13,443.26","           $2,674,678.60",             205.1,"              $13,040.85",
Williamstown,03410000,"           $5,151,014.00",             413.6,"              $12,454.10","           $5,270,733.00",             419.6,"              $12,561.33",
Wilmington,03420000,"          $43,956,615.00","           3,607.7","              $12,184.11","          $49,006,309.00","           3,678.9","              $13,320.91",
Winchendon,03430000,"          $17,812,626.00","           1,443.7","              $12,338.18","          $20,829,556.49","           1,635.4","              $12,736.67",
Winchester,03440000,"          $49,268,935.33","           4,335.2","              $11,364.86","          $52,526,300.68","           4,394.1","              $11,953.82",
Winthrop,03460000,"          $21,459,270.24","           1,935.6","              $11,086.62","          $22,909,735.24","           1,980.3","              $11,568.82",
Woburn,03470000,"          $60,960,821.13","           4,765.3","              $12,792.65","          $66,562,467.21","           4,871.8","              $13,662.81",
Worcester,03480000,"         $316,753,961.31","          24,259.0","              $13,057.17","         $367,267,343.38","          27,227.8","              $13,488.69",
Wrentham,03500000,"          $12,571,376.76","           1,143.0","              $10,998.58","          $13,119,747.76","           1,161.4","              $11,296.49",
State Total,00000000,"      $12,061,720,394.53","         919,228.8","              $13,121.56","      $13,351,740,246.90","         979,087.2","              $13,636.93",
